"osm_id","osm_type","osm_url","lat","lon","name","name:en","name:gv","natural","ele","wikidata"
"440623053","node","https://osm.org/node/440623053","54.215503","-4.390352","Laxey Bay","","","bay","","Q26715137"
"10141404653","node","https://osm.org/node/10141404653","54.225855","-4.386423","Laxey Head","","","cape","","Q26715139"
"283510213","node","https://osm.org/node/283510213","54.21735","-4.560727","Lhargee Ruy","","","peak","432",""
"486696653","node","https://osm.org/node/486696653","54.119703","-4.737183","Lhiattee ny Beinnee","","Lhiattee ny Beinnee","peak","301",""
"7711865699","node","https://osm.org/node/7711865699","54.108737","-4.763992","Lhoob ny Charran","","","bay","",""
"186704449","way","https://osm.org/way/186704449","","","Little Head","","","scrub","",""
"7762882744","node","https://osm.org/node/7762882744","54.063281","-4.794924","Little Sound","","","strait","",""
"10141541808","node","https://osm.org/node/10141541808","54.083471","-4.608665","Loch Skillicore","","","bay","",""
"81765896","way","https://osm.org/way/81765896","","","Lough Cranstal","","","wetland","",""
"39658899","way","https://osm.org/way/39658899","","","Lough Gat e Whing","","","water","",""
"1006848204","way","https://osm.org/way/1006848204","","","Lough ny Shuin","","","water","",""
"62520073","way","https://osm.org/way/62520073","","","Lower Ballacannell Reservoir","","","water","",""
"901828395","way","https://osm.org/way/901828395","","","Manannan's Chair","","","scrub","",""
"182200253","way","https://osm.org/way/182200253","","","Manusan Rocks","","","coastline","",""
"476944806","node","https://osm.org/node/476944806","54.062627","-4.615208","Martha Gullet","","","bay","",""
"4844237432","node","https://osm.org/node/4844237432","54.29788","-4.312466","Maughold Head","","","cape","","Q6792365"
"11197747120","node","https://osm.org/node/11197747120","54.070499","-4.760172","Meayll Peninsula","","","peninsula","","Q3411811"
"78029236","way","https://osm.org/way/78029236","","","Molly Quirk's Glen","","","wood","",""
"283488350","node","https://osm.org/node/283488350","54.297307","-4.49518","Mount Karrin","","","peak","331",""
"283516446","node","https://osm.org/node/283516446","54.072673","-4.768831","Mull Hill","Mull Hill","Cronk Meayll","peak","163","Q1473271"
"283522865","node","https://osm.org/node/283522865","54.245992","-4.460317","Mullagh Ouyr","","","peak","491",""
"104869127","way","https://osm.org/way/104869127","","","Niarbyl","","","coastline","",""
"441984184","node","https://osm.org/node/441984184","54.159045","-4.742594","Niarbyl Bay","","","bay","",""
"283485363","node","https://osm.org/node/283485363","54.290657","-4.393427","North Barrule","","","peak","565","Q147429"
"100540321","way","https://osm.org/way/100540321","","","Old Limestone Quarry","","","water","",""
"526811244","way","https://osm.org/way/526811244","","","Old Slate Tip","","","scree","",""
"526811242","way","https://osm.org/way/526811242","","","Old Slate Tip","","","scree","",""
"526811243","way","https://osm.org/way/526811243","","","Old Slate Tip","","","scree","",""
"1974486113","node","https://osm.org/node/1974486113","54.168867","-4.444594","Onchan Harbour","","","bay","",""
"1974486109","node","https://osm.org/node/1974486109","54.16699","-4.449116","Onchan Head","","","headland","",""
"8637739431","node","https://osm.org/node/8637739431","54.303774","-4.583758","Orrisdale Head","","","cape","","Q26715145"
"440623051","node","https://osm.org/node/440623051","54.226522","-4.691508","Peel Bay","","","bay","",""
"525953018","way","https://osm.org/way/525953018","","","Peel Hill","","","heath","",""
"99620589","way","https://osm.org/way/99620589","","","Penguins","","","water","",""
"441984177","node","https://osm.org/node/441984177","54.067081","-4.746175","Perwick Bay","","","bay","",""
"10141524233","node","https://osm.org/node/10141524233","54.111455","-4.539633","Pistol Bay","","","bay","",""
"283502832","node","https://osm.org/node/283502832","54.417463","-4.36655","Point of Ayre","Point of Ayre","Kione ny h-Ayrey","cape","","Q125363"
"832850059","way","https://osm.org/way/832850059","","","Pollock Rocks","","","bare_rock","",""
"112609764","way","https://osm.org/way/112609764","","","Polly Dub","","","water","",""
"476944803","node","https://osm.org/node/476944803","54.056624","-4.631107","Port Bravag","","","bay","",""
"8563979141","node","https://osm.org/node/8563979141","54.262429","-4.344501","Port Cornaa","","","bay","",""
"440623047","node","https://osm.org/node/440623047","54.087893","-4.767744","Port Erin Bay","Port Erin Bay","Bay Purt Çhiarn","bay","",""
"40530626","way","https://osm.org/way/40530626","","","Port Erin Beach","","","beach","",""
"1974486103","node","https://osm.org/node/1974486103","54.16604","-4.453069","Port Jack","","","bay","",""
"8563980830","node","https://osm.org/node/8563980830","54.290516","-4.323708","Port Mooar","","","bay","",""
"440623050","node","https://osm.org/node/440623050","54.074966","-4.731878","Port Saint Mary Bay","","","bay","",""
"186122327","way","https://osm.org/way/186122327","","","Port Skillion","","","beach","",""
"7714836389","node","https://osm.org/node/7714836389","54.093773","-4.59356","Port Soldrick","","","bay","",""
"8330279085","node","https://osm.org/node/8330279085","54.130178","-4.494471","Port Wallberry","","","bay","",""
"476944811","node","https://osm.org/node/476944811","54.067358","-4.620536","Poyll Breinn","","Poyll Breinn","locality","",""
