Planning Application No,Proposal,Property Address,Decision,Date decision issued
20/01363/B,Erection of an extension to existing garage,81 Anagh Coar Road Douglas Isle Of Man IM2 2AS,PER,12-Jan-21
20/01364/B,"Alterations, erection of extension to provide ancillary accommodation and alteration to access and parking arrangement",Kingston 23 Ballanard Road Douglas Isle Of Man IM2 5HA,PER,05-Mar-21
20/01365/B,Alterations to extend and increase height of existing rear boundary/party wall,14 Berkeley Street Douglas Isle Of Man IM2 3QA,PER,01-Feb-21
20/01366/B,Landscaping works to alter field ground levels,Field 330290 Gordon Peel Isle Of Man  ,PER,21-Jan-21
20/01367/B,"Development of 19 dwellings (class 3.3), retail unit (class 1.1), children's nursery (class 4.2), and associated drainage and highway services",Land North Of 15 Auldyn Walk Ramsey Isle Of Man  ,PER,26-Aug-21
20/01368/B,Alterations and erection of a lobby to main entrance elevation and replacement conservatory to side elevation,Royal Court Arbory Road Castletown Isle Of Man IM9 1RA,PER,14-Jan-21
20/01369/B,Installation of windows and a door (retrospective),112 Malew Street Castletown Isle Of Man IM9 1LT,PER,26-Jan-21
20/01370/B,Erection of a dwelling,30 Mylchreest Drive Reayrt Mie Ballasalla Isle Of Man IM9 2BB ,PER,13-Jan-21
20/01371/B,Removal of a chimney stack,43 Briarfield Avenue Onchan Isle Of Man IM3 3JH,PER,18-Jan-21
20/01372/B,Removal of existing doorway to East elevation and alteration to existing window to North elevation,116 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2JL ,PER,20-Jan-21
20/01374/C,Additional use of site as retail showroom,Wool Control Peel Road Douglas Isle Of Man IM1 4LX ,PER,27-Jan-21
20/01375/REM,Reserved matters application to PA 18/00601/A for the erection of a detached dwelling,Plot 14 Adjacent Number 12 Clifton Drive Ramsey Isle Of Man  ,PER,22-Jan-21
20/01376/B,Alterations and erection of an extension,Carrigan Head Old Laxey Hill Laxey Isle Of Man IM4 7DA,PER,11-Jan-21
20/01377/B,Erection of an extension to the rear elevation,Rose Hill Cottage Richmond Hill Douglas Isle Of Man IM4 1JG,PER,10-Feb-21
20/01378/B,Alterations and erection of extension to front porch and rear elevation,Glenaspet Patrick Road St Johns Isle Of Man IM4 3BP,PER,09-Feb-21
20/01379/A,Approval in Principle for the erection of a new dwelling addressing matters of means of access,Plot 7 Riverbank Road Ramsey Isle Of Man  ,PER,02-Feb-21
