,Proposal,Property Address,Decision,Date decision issued
22/01152/B,Erection of oak timber frame car port over the existing hardstand area at land between The Nook & Riverside House,Land Between The Nook & Riverside House Crossag Road Ballasalla Isle Of Man IM9 3EE ,REF,23-Nov-22
22/01154/B,Erection of single storey garage to the rear and installation of replacement french doors to existing rear window.,31 Waterloo Road Ramsey Isle Of Man IM8 1DT,PER,28-Nov-22
22/01155/B,Variation of condition 11 of Planning Application: 18/00977 to extend the opening hours of the KFC store from 11:00 to 23:00 to 10:30 to 00:00,KFC Peel Road Douglas Isle Of Man IM1 5EE ,PER,09-Nov-22
22/01156/CON,"Registered Building Consent for alterations and fit out works at basement, ground and first floor levels RB 120 (in association with application 22/01157/GB",New Market Hall Market Hill Douglas Isle Of Man IM1 2BH ,PER,08-Dec-22
22/01157/GB,"Alterations and change of use from a cafe and shop with associated bicycle repair and servicing and cycle storage, showers and public conveniences to a cafe (Class 1.3), financial and professional services (Class 1.2) and public conveniences and including",New Market Hall Market Hill Douglas Isle Of Man IM1 2BH ,PER,08-Dec-22
22/01159/B,"Installation of replacement entrance doors and glazed screen with bi-parting automatic doors with glazed screen, replace existing paving, cladding of walls, wall tiles and installation of lighting",St Georges Court Upper Church Street Douglas Isle Of Man IM1 1EE ,PER,02-Dec-22
22/01160/B,"Demolition of front elevation wall, rear outrigger and rear boundary wall, rebuilding of front wall and rear boundary wall, and construction of two storey rear extension and additional use of ground floor as Class 1.2 (Financial and professional services)",37 Michael Street Peel Isle Of Man IM5 1HD,PER,25-Oct-22
22/01161/CON,"Registered Building Consent for the demolition of front elevation wall, rear outrigger and rear boundary wall (in association with 22/01160/B)",37 Michael Street Peel Isle Of Man IM5 1HD,PER,25-Oct-22
22/01162/B,"Erection of extension over raised patio area to provide roof terrace with storage under, to rear of dwelling",Luss House 14 Patrick Street Peel Isle Of Man IM5 1BR ,PER,06-Dec-22
22/01163/B,Installation of Air Source Heat Pump,Glenarm Glen Road Colby Isle Of Man IM9 4HW,PER,28-Oct-22
22/01165/B,Installation of a flue,12 All Saints Park Lonan Laxey Isle Of Man IM4 7LA ,PER,02-Nov-22
22/01168/CON,Installation of replacement windows - RB 1,Bishopscourt Mansion House Bishopscourt Kirk Michael Isle Of Man IM6 2EZ ,PER,26-Oct-22
22/01169/B,Form a Concrete base and footpath to facilitate the erection of a cycle shelter for the School staff,Willaston School School Road Douglas Isle Of Man IM2 6RD,PER,11-Nov-22
22/01170/MCH,Minor Change application to change the external finish of the new build and to replace glass material with wood on the proposed external staircase.,Ballaterson Manor Ballaterson Beg Ballaugh Isle Of Man IM7 5BN,PER,09-Dec-22
22/01171/B,"Installation of 3No antenna, 1No dish, erection of 1No equipment enclosure and installation of ancillary apparatus",Field 334703 Communications Cabinet Raby Farm Main Road Glen Maye Isle Of Man IM5 3AU ,PER,19-Dec-22
22/01173/B,Installation of replacement front and rear doors and the majority of front windows,24 Windsor Road Douglas Isle Of Man IM1 3LG,PER,10-Nov-22
22/01174/B,The erection of a single storey detached building to be used as a nursery and pre-school.,Saint Josephs Nursery  St Josephs Church Snaefell Road Douglas Isle Of Man IM2 6PD ,PER,12-Dec-22
22/01177/B,Demolition of 24 Parliament Street (in association with 21/00993/CON) (retrospective),Auldyn House 24 Parliament Street Ramsey Isle Of Man IM8 1AP,PER,08-Nov-22
22/01180/B,Installation of a replacement front door,1 Bay View Terrace Laxey Isle Of Man IM4 7DG,PER,19-Oct-22
22/01181/B,Creation of parking area and vehicular access,23 Greeba Drive Onchan Isle Of Man IM3 1ER,PER,09-Dec-22
22/01182/B,Erection of a replacement dwelling and garage,Berwyn South Cape Laxey Isle Of Man IM4 7JA ,PER,14-Dec-22
22/01184/B,Installation of rear windows (retrospective),6 Osborne Grove Douglas Isle Of Man IM1 3LE,PER,23-Nov-22
22/01185/C,Additional use of dwelling (class 3.3) as tourist accommodation (class 3.6),Kingsley Cottage Ballamodha Straight Ballasalla Isle Of Man IM9 3EL ,PER,04-Nov-22
22/01188/B,Erection of replacement detached single garage.,Kyrenia Mines Road Foxdale Isle Of Man IM4 3ET,PER,15-Nov-22
22/01192/B,Variation of Planning Condition 6 to change the landscape drawing ref 01 Rev I to Hart 32-100,Jacksons  Eden Business Park Douglas Isle Of Man IM4 2AZ ,PER,11-Nov-22
22/01193/LAW,Certificate of lawful development for installation of replacement roof slate,6 Osborne Grove Douglas Isle Of Man IM1 3LE,CLAWA,16-Nov-22
22/01194/B,Removal of existing yard enclosure walls and erection of replacement oil tank enclosure. Rendering and painting of existing brickwork walls and existing cladding. Installation of replacement windows and doors and existing flat roof. Alterations to parking,Unit 36 Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QS,PER,19-Dec-22
22/01195/B,Replacement front porch,Ballaquine Glen Roy Laxey Isle Of Man IM4 7QE ,PER,22-Nov-22
22/01196/C,Change of use application for additional use as holiday accommodation,Stovell Tromode Road Douglas Isle Of Man IM2 5PB,PER,11-Nov-22
22/01197/B,Installation of replacement bi-fold doors from sliding patio doors,Apartment 56 Millennium Court Queens Promenade Douglas Isle Of Man IM2 4NN ,PER,02-Dec-22
22/01198/B,Installation of bi-fold door replacing existing rear door and window,67 Ard Reayrt Laxey Isle Of Man IM4 7QQ ,PER,11-Nov-22
22/01199/B,"Alterations to provide improved living accommodation, removal of existing roof and building an additional storey above to be clad in natural timber and re roofed in either natural slate or standing seam metal",Broadlands Churchtown Ramsey Isle Of Man IM7 2AN ,REF,02-Dec-22
22/01202/CON,Registered Building consent for demolition elements to PA 22/01095/B,Peveril Building Peveril Square Douglas Isle Of Man IM1 2BS,PER,26-Oct-22
22/01203/B,Installation of three replacement windows to front elevation,5 Atholl Place Peel Isle Of Man IM5 1HE ,PER,11-Nov-22
22/01208/LAW,Certificate of lawful development for erection of a tack room and feed store,Ballaclucas Farm Top Road Crosby Isle Of Man IM4 4HN,CLAWA,22-Nov-22
22/01209/B,Erection of a replacement greenkeepers store,Bowling Green Walpole Road / Queens Grove Ramsey Isle Of Man IM8 1LX ,PER,09-Nov-22
22/01210/C,Additional use of existing first floor garage store/hobby room accommodation for tourist use,Ballagarrow Cottage Glen Auldyn Ramsey Isle Of Man IM7 2AF ,REF,19-Dec-22
22/01211/B,Conversion and extension of existing outbuildings to provide living accommodation,Lower Milntown Farm Lezayre Road Ramsey Isle Of Man IM8 2TH,PER,21-Dec-22
22/01216/B,Installation of replacement double doors opening on to balcony,Apartment 6 Millennium Court Queens Promenade Douglas Isle Of Man IM2 4NN ,PER,28-Nov-22
22/01219/B,Alterations to rear extension and installation of upvc windows to replace existing timber windows (retrospective),7 Groudle Road Onchan Isle Of Man IM3 2EJ,PER,12-Dec-22
22/01220/B,Erection of single storey extension to the rear of the garage and erection of dormer extension to the rear,60 Wybourn Drive Onchan Isle Of Man IM3 4AT,REF,19-Dec-22
22/01224/B,Replace detached garage/workshop with a double garage with storage room over.,Annie's Cottage West Baldwin Isle Of Man IM4 5HA ,PER,23-Nov-22
22/01225/B,Erection of 2 storey extension to the rear replacing existing conservatory,30 The Park Onchan Isle Of Man IM3 1HR,PER,14-Dec-22
22/01226/B,"Partial infill wall to carport to garage, erection of Perspex rear (retrospective) and application of render and timber style cladding",11 Hilltop View Douglas Isle Of Man IM2 2LD,PER,09-Dec-22
22/01227/B,Installation of a flue,1 Larivane Meadows Andreas Isle Of Man IM7 4JE,PER,01-Dec-22
22/01228/B,Demolition of a rear conservatory and erection of a two storey side extension. Conversion of Existing Garage and reconfiguration of driveway,11 Whitebridge Road Onchan Isle Of Man IM3 4HQ,PER,02-Dec-22
22/01229/B,Installation of a flue,The Old Hall Glen Road Ballaugh Isle Of Man IM7 5JG ,PER,02-Nov-22
22/01230/B,Installation of a flue,11 Rheast Mooar Close Ramsey Isle Of Man IM8 3LT,PER,02-Nov-22
22/01231/B,Installation of ground mounted solar array (retrospective),2 Lhargan Port St Mary Isle Of Man IM9 5AR ,PER,02-Nov-22
22/01233/B,Alterations and erection of a two storey extension to rear elevation,Glen Chass The Level Colby Isle Of Man IM9 4AG,REF,24-Nov-22
22/01234/B,Erection of extension and installation of two roof lights and first floor dormer,114 Slieau Dhoo Douglas Isle Of Man IM2 5LD,PER,02-Nov-22
22/01235/B,Installation of three replacement windows and a front door,1 Withington Court Withington Road Douglas Isle Of Man IM2 3BE,PER,02-Nov-22
22/01236/B,Installation of replacement windows to front elevation,16 Kingswood Grove Douglas Isle Of Man IM1 3LX,PER,09-Dec-22
22/01237/C,Additional use of fenced paddock for private dog walking (retrospective),Field 534504 Sunnyside Whitebridge Road Onchan Isle Of Man IM4 6AD ,PER,05-Dec-22
22/01239/C,Additional use of a Residential Apartment with a single garage to provide tourist living accommodation,Flat 2  Derby Court 42 The Promenade Castletown Isle Of Man IM9 1BG,PER,02-Dec-22
22/01241/MCH,Minor change application to PA 21/01272/B to change roof tiles to a traditional slate finish,Bwaane Mwyllin Rhenab Road Glen Mona Ramsey Isle Of Man IM7 1EL ,PER,09-Nov-22
22/01242/B,"Erection of single storey rear extension, installation of a replacement window to rear utility room and side entrance gate with associated landscaping alterations",4 First Avenue Douglas Isle Of Man IM2 6BA,PER,22-Nov-22
22/01243/B,Erection of a first Floor extension to dwelling,Narradale Ballamenagh Road Baldrine Isle Of Man IM4 6AL,PER,02-Dec-22
22/01244/B,Installation of replacement roof light to front elevation and replacement rear window and rear door (retrospective),3 Lhargan Port St Mary Isle Of Man IM9 5AR ,PER,08-Nov-22
22/01245/B,Installation of replacement roof to detached garage,32 Douglas Street Peel Isle Of Man IM5 1BB,PER,02-Nov-22
22/01248/B,Erection of replacement chimney stack and associated works (retrospective),Rowena Glen Chass Road Glen Chass Port St Mary Isle Of Man IM9 5PN ,PER,02-Dec-22
22/01250/B,Installation of replacement bay windows (retrospective),20 Berkeley Street Douglas Isle Of Man IM2 3QA,PER,11-Nov-22
22/01251/CON,Registered building consent for creation of opening in ground floor tv room to form double-sided fireplace - RB 268,Glen Mooar House Glen Mooar Road St Johns Isle Of Man IM4 3AQ ,PER,23-Nov-22
22/01254/C,Additional use of residential dwelling for self-catering tourist accommodation,Calf View Cregneash Isle Of Man IM9 5PT ,PER,23-Nov-22
22/01256/B,Erection of boundary fence and open barbecue outbuilding and the widening of driveway and off road parking (retrospective),1 Friary Cottages Main Road Ballabeg Castletown Isle Of Man IM9 4EQ,REF,19-Dec-22
22/01258/B,Installation of replacement rear patio door,Oak Tree Cottage 4 Paradise Court Castletown Isle Of Man IM9 1AQ ,PER,15-Nov-22
22/01259/C,Change of use for property to be residential and tourist accommodation,14 Milner Terrace Castletown Isle Of Man IM9 1AJ,PER,02-Dec-22
22/01262/LAW,Certificate of lawful development for the erection of a tree house,Glen Bower Little Mill Road Onchan Isle Of Man IM4 5BD,CLAWA,12-Dec-22
22/01265/C,Ground floor change of use from retail (class 1.1) back to Advocates office space (class 1.2) with reception area and meeting rooms,10 Victoria Street Douglas Isle Of Man IM1 2LH,PER,28-Nov-22
22/01267/C,Basement change of use from storage to internal meeting training rooms,10 Victoria Street Douglas Isle Of Man IM1 2LH,PER,28-Nov-22
22/01269/B,"Proposed alterations and extensions to provide additional living and garage accommodation, (re-submission to P.A. No- 22/00640/B)",28 Belgravia Road Onchan Isle Of Man IM3 1HH,PER,23-Nov-22
22/01270/B,Erection of a summer house within rear garden,78 Eary Veg Douglas Isle Of Man IM2 5LZ,PER,12-Dec-22
22/01272/B,Erection of roof terrace over existing rear garage.,14 Rosemount Douglas Isle Of Man IM1 3EU,REF,02-Dec-22
22/01275/B,Installation of replacement of windows and widening of driveway,Green Oak Clay Head Road Baldrine Isle Of Man IM4 6DL ,PER,02-Dec-22
22/01276/B,Erection of single storey detached single garage replacing existing shed,Berk Farm House Peel Road Kirk Michael Isle Of Man IM6 1AP,PER,02-Dec-22
22/01277/B,Form a concrete base and footpath to facilitate the erection of a cycle shelter,Marown Primary School Glen Darragh Road Glen Vine Isle Of Man IM4 4RD ,PER,05-Dec-22
22/01278/B,"Erection of single storey extension to the rear, and rendering stonework on rear projection of existing building",Westend House 7 Arbory Road Castletown Isle Of Man IM9 1NA,PER,29-Dec-22
22/01279/B,Sunroom extension to the rear of the property to replace existing conservatory,59 Cronk Drean Douglas Isle Of Man IM2 6AT,PER,06-Dec-22
22/01284/B,Creation of driveway for one vehicle,1 St Annes Terrace Newtown Santon Isle Of Man IM4 1JA,PER,19-Dec-22
22/01285/D,Installation of illuminated and non illuminated signage,88 Strand Street Douglas Isle Of Man IM1 2EP ,PER,30-Nov-22
22/01286/B,Installation of new rooflight,12 Woodbourne Villas 46 Alexander Drive Douglas Isle Of Man IM2 3QG,PER,05-Dec-22
22/01287/B,"Installation of new shopfront with 2 ATMs, relocation of main entrance location and clear and black glazing. Installation of new shopfront surround portal with integral lighting. Redecoration of existing first floor windows to black and redecoration of fa",88 Strand Street Douglas Isle Of Man IM1 2EP ,PER,30-Nov-22
22/01290/B,Erection of a timber shed to be used as garden room / gym and retrospective planning for structural works to replace existing conservatory,Bix House 2 Farmhill Lane Douglas Isle Of Man IM2 2EB,PER,02-Dec-22
22/01299/B,Erection of office cabin to the rear to be used for private clients,The Chapel Main Road Greeba Isle Of Man IM4 3LD ,PER,02-Dec-22
22/01300/LAW,Certificate of lawful development for flat roof conservatory and detached garage,Sycamore Cottage Bride Road Bride Isle Of Man IM7 4AF,CLAWA,12-Dec-22
22/01302/B,Alteration of vehicular access and driveway,Langdale House Lower Dukes Road Douglas Isle Of Man IM2 4BQ,PER,05-Dec-22
