,Proposal,Property Address,Decision,Date decision issued
22/00004/B,First floor extension above existing garage and a single storey extension to the rear with associated works.,67 Ard Reayrt Laxey Isle Of Man IM4 7QQ ,PER,08-Feb-22
22/00005/B,Conversion of attic space to bedroom with front and rear dormers and associated works,14 Inner Circle Douglas Isle Of Man IM2 5BE,REF,21-Feb-22
22/00006/B,Erection of a single storey extension to rear of property,63 Ard Reayrt Laxey Isle Of Man IM4 7QQ ,PER,28-Mar-22
22/00007/B,Erection of Polytunnel structure with associated works,Ballaoates Farm Ballavagher Road St Johns Isle Of Man IM4 3JE,PER,29-Mar-22
22/00008/B,Installation of roof windows and associated balconies to front and rear elevations of dwelling,5 Windsor Terrace Douglas Isle Of Man IM1 3LU,PER,17-Feb-22
22/00009/B,Replacement of existing rear rooflight with a dormer window and erection of a summer house to the rear,Squeen Lodge Station Road Ballaugh Isle Of Man IM7 5AH,PER,13-Jul-22
22/00012/C,Additional use of office as a GP clinic,Unit 22 Tower House Loch Promenade Douglas Isle Of Man IM1 2EZ,PER,18-Mar-22
22/00013/D,Installation of illuminated and non-illuminated signage,Transport HQ Banks Circus Douglas Isle Of Man IM1 5AB,PER,30-Mar-22
22/00014/B,Removal of 38 shared chimney stacks from above roof level,Odd Numbers From 1 To 103 Heather Crescent Even Numbers From 36 To 82 Hazel Crescent Douglas Isle Of Man IM2 1AU,PER,29-Mar-22
22/00017/B,Alterations and erection of extensions,39 Douglas Street Peel Isle Of Man IM5 1BB,PER,10-Nov-22
22/00018/CON,Registered Building consent for demolition elements to PA 22/00017/B,39 Douglas Street Peel Isle Of Man IM5 1BB,PER,10-Nov-22
22/00019/B,Removal of two chimney stacks,39 Douglas Street Peel Isle Of Man IM5 1BB,PER,04-Mar-22
22/00020/B,Additional use of existing 2 storey annex for tourist use,Ballacallum Cottage Ballaragh Road Laxey Isle Of Man IM4 7PE ,PER,08-Apr-22
22/00021/B,Installation of replacement windows and doors to front and rear elevations,5 Hildesley Road Douglas Isle Of Man IM2 5AU,PER,09-May-22
22/00022/CON,Registered Building consent for demolition elements to PA 22/00019/B,39 Douglas Street Peel Isle Of Man IM5 1BB,PER,04-Mar-22
22/00023/B,Erection of extension to front elevation and raising of section of rear flat roof,131 Friary Park Road Ballabeg Castletown Isle Of Man IM9 4EY,PER,12-Apr-22
22/00024/B,Erection of side extension with roof terrace above and associated works,Ballasalla Farm Coast Road Jurby Isle Of Man IM7 3AS ,REF,13-Jun-22
22/00025/B,"Erection of proposed replacement dwelling, together with extension to existing residential curtilage.",Ballasaig Cottage School House Road Dreemskerry Ramsey Isle Of Man IM7 1BJ,PER,21-Jun-22
22/00026/B,"Alterations, erection of extension, roofing works and creation of first floor access with associated external stairs to existing garage block",Cronk-E-Chule Wheel Hill Laxey Isle Of Man IM4 7NL,PER,23-Feb-22
22/00027/B,Replacement of current boiler for air source heat pump.,2 Bramble Close Douglas Isle Of Man IM2 1QN ,PER,14-Mar-22
22/00028/B,Construction of 3 town houses and garages.,28 - 30 Derby Square Douglas Isle Of Man IM1 3LN,PER,17-Mar-22
22/00029/B,Widening existing driveway and vehicular access,16 Falkland Drive Onchan Isle Of Man IM3 1EF,PER,22-Mar-22
22/00031/B,"Erection of detached ancillary accommodation with associated garden area, access, retaining walls, fencing and planting",Corrins Court Heywood Avenue Onchan Isle Of Man IM3 3AP ,PER,19-Jul-22
22/00032/B,"Alterations, erection of two extensions and installation of a flue",23 Sunnybank Avenue Onchan Isle Of Man IM3 3BP,PER,25-Apr-22
22/00033/B,Alterations and erection of an extension,2 Strawberry Fields Croit E Caley Colby Isle Of Man IM9 4BZ,PER,13-Apr-22
22/00034/B,Construction of nine new garages and two bike stores,Land At Corner Of Lhon Vane Close And Lhon Dhoo Close Onchan Isle Of Man IM3 3BD ,PER,06-Jul-22
22/00035/B,"Demolition of existing garage. Erection of attached garage with first floor extension above, and raise the roof of original cottage and replacement of existing front porch",Hillside View Gordon Peel Isle Of Man IM5 3AR ,PER,16-Mar-22
22/00036/B,Creation of pond,Ballachrink Beg Fields 214314 And 210194 Jurby East Isle Of Man IM7 3HD ,PER,24-May-22
22/00037/B,Single storey sun lounge extension & pergola to rear of property,7 Carnane Lane Ballakilley Port St Mary Isle Of Man IM9 5NQ ,PER,26-Apr-22
22/00038/B,Installation of replacement windows and patio doors,Primrose Lodge Athol Park Port Erin Isle Of Man IM9 6ES,PER,28-Mar-22
22/00039/B,Erection of Summerhouse adjacent to pond,Sky View Gardeners Lane Ramsey Isle Of Man IM8 3PN ,PER,30-Mar-22
22/00041/B,Replacement of existing conservatory with extension,11 Kirby Hill Douglas Isle Of Man IM2 1PA,PER,28-Mar-22
22/00042/B,"Erection of a building to provide storage, toilet facilities for the shooting range as well as a clubhouse",Skyhill Shooting Centre  Millenium Way Ramsey Isle Of Man ,PER,09-Aug-22
22/00043/B,Installation of front and rear dormers and widening of existing access and driveway,10 Ramsey Road Peel Isle Of Man IM5 1UB,PER,06-Jun-22
22/00045/CON,Registered Building consent for installation of a replacement front door,The Court House Main Road Kirk Michael Isle Of Man IM6 1AJ ,PER,23-Mar-22
22/00046/B,Creation of two fire door exits,Manx Museum Kingswood Grove Douglas Isle Of Man IM1 3LY ,PER,18-Mar-22
22/00047/B,"Rear extension, conversion of attic space and internal reconfiguration with associated works",Dreamwood 1 Woodlands Close Douglas Isle Of Man IM2 3QT,PER,13-May-22
22/00048/B,Installation of 16 groundwater monitoring boreholes.,Current And Former Landfill Site Cranstal Bride Isle Of Man IM7 4BR ,PER,28-Mar-22
22/00049/B,Reduction in size of an existing window,Ash House 18 Birch Hill Crescent Onchan Isle Of Man IM3 3HT,PER,18-Mar-22
22/00050/B,Alteration and extension to create two residential units with additional use for tourist accommodation,Building Adjacent To The Cottage Ashley Road Onchan Isle Of Man IM4 5BB ,PER,11-Jul-22
22/00051/B,Replacement windows and roof to existing conservatory,Alto Vista 35 Majestic Drive Onchan Isle Of Man IM3 2JL,PER,22-Mar-22
22/00052/B,"Alterations, erection of extension and creation of a gable window",5 Rheast Mooar Close Ramsey Isle Of Man IM8 3LT,PER,29-Mar-22
22/00053/B,"Replace rear timber sash windows with pvc sash windows, and replacement of front and side elevation door with pvc doors.",Ballamaria Bay View Road Port St. Mary Isle Of Man IM9 5AQ,PER,15-Feb-22
22/00054/B,Replacement of front sash windows to pvc  and replacement window arches (retrospective).,2 Brighton Terrace Douglas Isle Of Man IM1 4AP,PER,17-Mar-22
22/00055/D,Erection of signage to front elevation (in association with 22/00056/CON),5 Parliament Square Castletown Isle Of Man IM9 1LA,PER,18-Mar-22
22/00056/CON,Registered Building consent for the erection of signage to front elevation (in association with 22/00055/D) Registered Building Nos. 64,5 Parliament Square Castletown Isle Of Man IM9 1LA,PER,18-Mar-22
22/00057/B,"Removal of front garden wall and formation of hardstanding for car parking facility, lowering of kerb for access. Erection of rear decking and replacement of doors and windows to detached outbuilding with associated works.",20 Seaview Road Onchan Isle Of Man IM3 4AQ,REF,14-Mar-22
22/00058/B,Erection of extension to replace existing conservatory,Cronk-E-Berry House Johnny Watterson Lane Douglas Isle Of Man IM2 6JZ,PER,16-Mar-22
22/00059/B,Replacement of flat roof with a pitched roof,Burn Brae 34 Cannan Avenue Kirk Michael Isle Of Man IM6 1HG,PER,18-Mar-22
22/00060/B,"Re roofing, and glazing of existing conservatory and formation of a new front porch from existing portico",46 Turnberry Avenue Onchan Isle Of Man IM3 2JX ,PER,18-May-22
22/00061/B,Erection of detached garage to the rear (Retrospective) replacing previous timber shed.,Ellan Vannin Main Road Ballaugh Isle Of Man IM7 5EF,PER,29-Mar-22
22/00062/B,Erection of a replacement detached garage,Ballachrink House Glen Mooar Road St Johns Isle Of Man IM4 3AG,PER,30-May-22
