"Name","Number","Inc/Reg Date","Status","Registry Type","Name Status","URL","Index Date"
"GAM Whitethorn Fund Inc.","000582F","26 Sep 1988","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=1bd%2b0MVzk4hUKmtunSt8Pg%3d%3d","2024-04-28"
"GAM Worldwide Inc.","000583F","26 Sep 1988","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=p0B5vlQ6zGVXqDaT4rcxsw%3d%3d","2024-04-28"
"GAMut Investments Inc.","000584F","26 Sep 1988","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=tgEyzKkuos9PNLc%2bMlmN1Q%3d%3d","2024-04-28"
"GSAM Composite Inc.","000585F","26 Sep 1988","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=IlVkgUnhIWDTXNwthmg%2fWQ%3d%3d","2024-04-28"
"GSAM Interest Inc.","000586F","26 Sep 1988","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=RtSxGZljITPtF8PaMNHqMQ%3d%3d","2024-04-28"
"Maritime Marketing Inc","000939F","1 Dec 1988","Live","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=U4%2bv2xZE5MSkUorfSCXvYA%3d%3d","2024-04-28"
"Paraholdings Inc","018620V","3 Jan 1989","Live","2006 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=verdsyVn9oONpHjK436ySw%3d%3d","2024-04-28"
"Sun Life Secure High Income Fund Limited","042870C","10 Feb 1989","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=LNt3p79XyEqIVOCzeqqyhw%3d%3d","2024-04-28"
"Sun Life Secure High Income Fund PLC","042870C","10 Feb 1989","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=LNt3p79XyEqIVOCzeqqyhw%3d%3d","2024-04-28"
"The CMI High Income Fund P.L.C.","043089C","24 Feb 1989","Live","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=HekRL%2fB3T5uM2AejaJfYHg%3d%3d","2024-04-28"
"The CMI High Income Fund Limited","043089C","24 Feb 1989","Live","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=HekRL%2fB3T5uM2AejaJfYHg%3d%3d","2024-04-28"
"CAPITAL INTERNATIONAL HIGH INCOME FUND P.L.C.","043089C","24 Feb 1989","Live","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=HekRL%2fB3T5uM2AejaJfYHg%3d%3d","2024-04-28"
"SMP HIGH INCOME FUND PLC","043089C","24 Feb 1989","Live","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=HekRL%2fB3T5uM2AejaJfYHg%3d%3d","2024-04-28"
"SUNTERA HIGH INCOME FUND PLC","043089C","24 Feb 1989","Live","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=HekRL%2fB3T5uM2AejaJfYHg%3d%3d","2024-04-28"
"Inca Limited","043368C","16 Mar 1989","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=823Zro37l6OmW5%2beMjBx4w%3d%3d","2024-04-28"
"Air Ambulance Network Inc. Limited","043875C","18 Apr 1989","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=Zjg1YkWmljIjCB%2blQCk9mg%3d%3d","2024-04-28"
"P J HOLDINGS INC.","006006F","6 Jun 1989","Ceased","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=q5mVppD%2fa5Sbcv56ZUPCaw%3d%3d","2024-04-28"
"Overseas Incorporations Limited","044595C","7 Jun 1989","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=uPlq9qWOTMD17rUiQyI9zw%3d%3d","2024-04-28"
"Alfa Harris Income and Growth Fund Limited","044705C","16 Jun 1989","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=5bLLJTW%2bWOdIY1T4Nt8WfQ%3d%3d","2024-04-28"
"National Computer Transatlantic Inc.","000624F","29 Sep 1989","Dissolved","Foreign Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=6LjouhpPE1uiNymw14IULw%3d%3d","2024-04-28"
"National Computer Transatlantic Investments Inc.","000624F","29 Sep 1989","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=6LjouhpPE1uiNymw14IULw%3d%3d","2024-04-28"
"First Oceanic Inc Limited","046083C","5 Oct 1989","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=omkzDOXZ%2f57CIumj%2fkZ25A%3d%3d","2024-04-28"
"Lavashaki Inc. Limited","046562C","3 Nov 1989","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=ZYQ9mo7M0GPBvzmT5APpNQ%3d%3d","2024-04-28"
