"Name","Number","Inc/Reg Date","Status","Registry Type","Name Status","URL","Index Date"
"Corporate Developments Limited","023955C","13 Apr 1984","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=ygZ3vW7aLaBdQBT1hB2VIg%3d%3d","2024-04-28"
"Corporate Enterprises Limited","024007C","24 Apr 1984","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=%2fHqD8p8U9SBcB%2fSVDLpNZA%3d%3d","2024-04-28"
"Corporate Secretaries Limited","024164C","29 May 1984","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=T7NMEjWLolqcYwjRMxzGFg%3d%3d","2024-04-28"
"Hellerup Bank Trust Corporation (I.O.M.) Limited","024204C","4 Jun 1984","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=T9vGbSE%2bku7L2%2fFDTPzwhQ%3d%3d","2024-04-28"
"Guardian Corporate Services Limited","024258C","18 Jun 1984","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=xnMJGbp5UDVeS4DqoRaXdw%3d%3d","2024-04-28"
"Corporate Capital Company Limited","024419C","11 Jul 1984","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=uyKb0Puhqr6KREdn3nEzlQ%3d%3d","2024-04-28"
"Corporate Advisory Services Limited","024480C","19 Jul 1984","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=rQ6eLRlLf%2f4vl4w3cbNnEw%3d%3d","2024-04-28"
"Pickwick Corporate Services Limited","025093C","15 Oct 1984","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=vMvr8YXMMhgHSU%2bvip7%2bxA%3d%3d","2024-04-28"
"Travellers Worldwide Excess Corporation Limited","025565C","14 Dec 1984","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=p4xrWQDuHsHuPY0hwkXrQQ%3d%3d","2024-04-28"
"Dominion Corporate Services Limited","025577C","17 Dec 1984","Live","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=n0EhNsbqUKPjhoQ7afokGw%3d%3d","2024-04-28"
"Dominion Marine Corporate Services Limited","025577C","17 Dec 1984","Live","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=n0EhNsbqUKPjhoQ7afokGw%3d%3d","2024-04-28"
"Corporate Resources Limited","025583C","19 Dec 1984","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=UBtplW%2f%2f0fbwKfy%2bfPJqXQ%3d%3d","2024-04-28"
"Grosvenor Corporate Services Limited","025776C","24 Jan 1985","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=k2QWBbT9TEO5ZBuK8PMYMQ%3d%3d","2024-04-28"
"Universal Corporate Services Limited","026230C","28 Mar 1985","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=SmtRSrkThGBNu8V8Z6g%2fZA%3d%3d","2024-04-28"
"International Trust Corporation (Isle of Man) Limited","026463C","1 May 1985","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=5lJhFqjR8U5V6d6oYU33cw%3d%3d","2024-04-28"
