SubUnit_Name,House_Number,House_Name,Street_Name,Locality,Town,Postcode,Parish_,Market_Value,Consideration,Acquisition_Date,CompletionDate
,,Lheakerrow Cottage,Andreas Road,,Bride,IM7 4EJ,Bride,"475,000.00","475,000.00",26/07/2021,16/09/2021
,,Field Number 114040,Land At Dogmills,Bride Road,Bride,IM7 4AE,Bride,"55,000.00","55,000.00",05/01/2017,28/04/2017
,,Field Number 114040,Land At Dogmills,Bride Road,Bride,IM7 4AE,Bride,"49,950.00","49,950.00",10/01/2019,27/02/2019
,,,Land At Ballakesh,,Bride,,Bride,"498,400.00","498,400.00",18/11/2016,20/06/2017
,,,Land At Ballacregga Farm,,Bride,,Bride,"300,000.00","300,000.00",21/02/2017,19/09/2017
,,Lough Cottage,Cranstal,,Bride,IM7 4BP,Bride,"260,000.00",0.50,26/04/2017,27/04/2017
,,Port-E-Chee,Nassau Road,Dogmills,Bride,IM7 4AQ,Bride,"300,000.00","300,000.00",16/09/2016,12/07/2017
,,Hilcroft,Cranstal,,Bride,IM7 4BP,Bride,"280,000.00","280,000.00",20/06/2017,25/09/2017
,,Ballacondra Barn,Cranstal,,Bride,IM7 4BP,Bride,"181,000.00","181,000.00",19/05/2016,17/07/2018
,,Ballacondra Barn,Cranstal,,Bride,IM7 4BP,Bride,"620,000.00","620,000.00",18/08/2021,29/10/2021
,,,Land At Ballamin,,Bride,IM7 4BQ,Bride,"255,000.00","255,000.00",24/04/2017,20/04/2018
,,Glen Truan Lodge,Lhen Road,,Bride,IM7 4BG,Bride,"850,000.00","198,000.00",01/06/2001,11/12/2018
,,,Land At Ballakesh,,Bride,IM7 4BF,Bride,"116,520.00","116,520.00",14/07/2017,21/02/2018
,,,Land At Ballakesh,,Bride,IM7 4BF,Bride,"130,000.00","130,000.00",07/01/2019,25/01/2019
,,Ballabeg Cottage,Ballamin,,Bride,IM7 4BG,Bride,"355,000.00","355,000.00",22/09/2017,15/08/2018
,,Dolphin Cottage,Cranstal,,Bride,IM7 4BR,Bride,"150,000.00","150,000.00",11/06/2018,13/07/2018
,,Lighthouse,Point Of Ayre,,Bride,,Bride,,0.00,31/10/2019,03/10/2019
,,Orry's Mount,Grenaby Road,Dog Mills,Bride,IM7 4AN,Bride,"625,000.00","625,000.00",20/06/2018,21/11/2018
,,Land At Kerrowdhoo,Cranstal,,Bride,IM7 4BR,Bride,"35,000.00","35,000.00",03/10/2019,13/02/2020
,,Glen Truan,Lhen Road,,Bride,IM7 4BG,Bride,,"282,750.00",30/09/2019,06/02/2020
,,,Meadow View,Cranstal,Bride,IM7 4BN,Bride,"378,000.00","378,000.00",23/12/2019,31/01/2020
, 11,,Kelly Close,Ballastowell Gardens,Ramsey,IM8 2AR,Maughold,"152,000.00","152,000.00",07/02/2020,14/08/2020
,,,Land At Ballagarrett,,Bride,IM7 3EA,Bride,"15,000.00","15,000.00",27/08/2019,21/09/2020
,,Curragh Glass,Curragh Beg Farm ,,Bride,IM7 4AH,Bride,"90,000.00","90,000.00",03/06/2020,24/07/2020
,,Theleme,Cranstal,,Bride,IM7 4BR,Bride,"265,000.00","265,000.00",05/11/2018,05/08/2020
,,Confederate Cottage,Cranstal,,Bride,IM7 4BR,Bride,"151,000.00",0.00,09/09/2022,26/09/2022
,,Confederate Cottage,Cranstal,,Bride,IM7 4BR,Bride,"300,000.00","150,000.00",06/10/2022,20/10/2022
,,,Land At Ballagarrett,,Bride,,Bride,"80,000.00","80,000.00",13/02/2019,28/10/2020
,,Land And Premises,Point Of Ayre,,Bride,,Bride,"250,000.00",0.00,01/01/2019,09/02/2021
,,Heart And Soil Farm,Nassau Road,Dog Mills,Bride,,Bride,"45,000.00","45,000.00",23/02/2021,06/05/2022
,,Field No. 111393,Part Of The Estate Of Ballavarteen,,Bride,,Bride,"20,000.00","20,000.00",14/05/2021,16/08/2021
,,Cronk Ghennie,Nassau Road,Dog Mills,Bride,IM7 4AQ,Bride,"280,000.00","280,000.00",20/08/2021,23/11/2021
,,Cronk Ghennie,Nassau Road,Dog Mills,Bride,IM7 4AQ,Bride,"280,000.00",0.00,13/12/2023,22/12/2023
,,Field Number 111249,Grenaby Road,,Bride,,Bride,"85,000.00","85,000.00",26/11/2021,10/01/2022
,,Field Number 111249,Grenaby Road,,Bride,,Bride,"85,000.00","85,000.00",11/04/2023,25/04/2023
,,,Glebe Land,,Bride,,Bride,"27,500.00","27,500.00",03/12/2021,28/02/2022
,,Ballachrink Croft,Ballacorey Road,,Bride,IM7 4AW,Bride,"300,000.00","300,000.00",26/11/2021,23/03/2022
