"osm_id","osm_type","osm_url","lat","lon","name","name:en","ref"
"10297041907","node","https://osm.org/node/10297041907","54.280911","-4.58803","","",""
"10297042713","node","https://osm.org/node/10297042713","54.284736","-4.586153","","",""
"10297047839","node","https://osm.org/node/10297047839","54.299146","-4.57072","","",""
"10297208524","node","https://osm.org/node/10297208524","54.322167","-4.480679","","",""
"10297246705","node","https://osm.org/node/10297246705","54.319082","-4.423432","","",""
"10297246706","node","https://osm.org/node/10297246706","54.313531","-4.408434","","",""
"10297362455","node","https://osm.org/node/10297362455","54.318794","-4.382461","","",""
"10297362457","node","https://osm.org/node/10297362457","54.318749","-4.377138","","",""
"10297362459","node","https://osm.org/node/10297362459","54.316291","-4.374399","","",""
"10297401447","node","https://osm.org/node/10297401447","54.308563","-4.351521","","",""
"10297403401","node","https://osm.org/node/10297403401","54.271506","-4.37704","","",""
"10297405878","node","https://osm.org/node/10297405878","54.242858","-4.377339","","",""
"10297481485","node","https://osm.org/node/10297481485","54.230355","-4.404766","","",""
"10298338861","node","https://osm.org/node/10298338861","54.222914","-4.396663","","",""
"10298338876","node","https://osm.org/node/10298338876","54.226041","-4.391942","","",""
"10298509329","node","https://osm.org/node/10298509329","54.204251","-4.410082","","",""
"10298516497","node","https://osm.org/node/10298516497","54.22957","-4.401581","","",""
"10312964426","node","https://osm.org/node/10312964426","54.215385","-4.502382","East Baldwin","","90"
"10313010198","node","https://osm.org/node/10313010198","54.175139","-4.490467","","",""
"10313011212","node","https://osm.org/node/10313011212","54.216143","-4.40416","","",""
"10313018524","node","https://osm.org/node/10313018524","54.098667","-4.631329","Ballasalla Post Office","","110"
"10313018525","node","https://osm.org/node/10313018525","54.102355","-4.631026","","",""
"10313019335","node","https://osm.org/node/10313019335","54.076647","-4.646802","Bowling Green Road","","126"
"10313023993","node","https://osm.org/node/10313023993","54.09428","-4.62814","","",""
"10313045469","node","https://osm.org/node/10313045469","54.15734","-4.482176","","",""
"10313045926","node","https://osm.org/node/10313045926","54.078267","-4.656177","","",""
"10313069962","node","https://osm.org/node/10313069962","54.154774","-4.483494","","",""
"10313108238","node","https://osm.org/node/10313108238","54.155774","-4.492148","","",""
"10313108239","node","https://osm.org/node/10313108239","54.155301","-4.488215","","",""
"10313108240","node","https://osm.org/node/10313108240","54.158022","-4.491561","","",""
"10314823785","node","https://osm.org/node/10314823785","54.16731","-4.469909","","",""
"10314823786","node","https://osm.org/node/10314823786","54.169795","-4.460407","","",""
"10314823787","node","https://osm.org/node/10314823787","54.172153","-4.456273","","",""
"10314823788","node","https://osm.org/node/10314823788","54.174097","-4.455582","","",""
"10314823789","node","https://osm.org/node/10314823789","54.169675","-4.452914","","",""
"10314823790","node","https://osm.org/node/10314823790","54.167482","-4.451951","","",""
"10314834619","node","https://osm.org/node/10314834619","54.177714","-4.448035","","",""
"10601711796","node","https://osm.org/node/10601711796","54.32673","-4.389939","","",""
"10661831335","node","https://osm.org/node/10661831335","54.310026","-4.541785","","",""
"10686736854","node","https://osm.org/node/10686736854","54.172665","-4.51141","","",""
"10717600769","node","https://osm.org/node/10717600769","54.134227","-4.521105","","",""
"10720886909","node","https://osm.org/node/10720886909","54.132364","-4.531074","","",""
"10720897688","node","https://osm.org/node/10720897688","54.174547","-4.550363","","",""
"10720897830","node","https://osm.org/node/10720897830","54.123646","-4.573798","","",""
"10721020931","node","https://osm.org/node/10721020931","54.220032","-4.690456","","",""
"10721031034","node","https://osm.org/node/10721031034","54.197097","-4.60871","","",""
"10721053851","node","https://osm.org/node/10721053851","54.238784","-4.64728","","",""
"10721114802","node","https://osm.org/node/10721114802","54.085856","-4.758428","","",""
"10731485542","node","https://osm.org/node/10731485542","54.32307","-4.392238","","",""
"10748132246","node","https://osm.org/node/10748132246","54.224464","-4.684697","","",""
"10751947418","node","https://osm.org/node/10751947418","54.171725","-4.478974","","","260"
"10827283635","node","https://osm.org/node/10827283635","54.321675","-4.382021","","",""
"10914723673","node","https://osm.org/node/10914723673","54.089205","-4.630745","Freeport","",""
"11162786637","node","https://osm.org/node/11162786637","54.087216","-4.641646","","",""
"11704902912","node","https://osm.org/node/11704902912","54.15133","-4.529119","","",""
