Planning  Applications Determined between 1/1/16 - 31/12/16,,,,,
Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,16/00341/B,Erection of replacement roofs and refurbishment works,06-May-16,Senior Planning Officer - North (CB),"1,3,5,7,9,11,13 &15  Archallagan Terrace Foxdale Isle Of Man IM4 3EZ"
Permitted,16/00626/B,Alterations and erection of extensions to dwelling,11-Jul-16,Senior Planning Officer - South (SC),Ballaglonney Cottage Ballaglonney Santon Isle Of Man IM4 1ER 
Permitted,16/00627/B,Extension of driveway to provide additional parking / turning area and widening of existing vehicular access,26-Jul-16,Interim Director 2016,The Cottage New Castletown Road Douglas Isle Of Man IM2 1HR 
Permitted,16/00628/B,Alterations and erection of extensions to dwelling,08-Jul-16,Senior Planning Officer - South (SC),Overdale Quarterbridge Road Douglas Isle Of Man IM2 3RJ
Permitted,16/00265/B,Removal of a lean-to greenhouse and installation of a replacement window to dwelling,27-May-16,Senior Planning Officer - South (SC),Thie-Ny-Mara Shore Road Laxey Isle Of Man IM4 7DJ
Permitted,16/00267/B,Replacement of existing glazed conservatory roof with tiles,05-Apr-16,Senior Planning Officer - South (SC),11 Olafs Close Douglas Isle Of Man IM2 7AR
Refused,16/00899/B,Erection of an agricultural storage shed (retrospective),02-Nov-16,Senior Planning Officer - South (SC),Field 130688 Kella Road Sulby Isle Of Man  
Permitted,16/00900/B,Extension to existing detached garage (amendment to PA 12/01273/B),29-Sep-16,Senior Planning Officer - South (SC),Thie Lewaigue Port Lewaigue Ramsey Isle Of Man IM7 1AG 
Permitted,16/00901/B,Alterations and extensions to provide additional living accommodation (amendments to PA 14/01324/B),08-Sep-16,Senior Planning Officer - South (SC),Thalloo Mitchell Dhoon Loop Road Dhoon Ramsey Isle Of Man IM7 1HP 
Refused,16/00902/B,Erection of one wind turbine (shown as number 1 on the plans) and associated underground cabling,14-Dec-16,Planning Committee,"Field No.s  334815, 330290, 334814 & 334835 Ballacallin Farm Gordon Peel Isle Of Man  "
Permitted,16/00904/B,Erection of a horticultural storage and implement shed (retrospective),24-Nov-16,Senior Planning Officer - South (SC),Former Fruit Farm Site To Rear Of Croit E Caley Methodist Chapel Croit E Caley Colby Isle Of Man  
Permitted,16/00906/B,Installation of replacement windows to rear elevation,19-Oct-16,Senior Planning Officer - South (SC),7 Eastfield Douglas Isle Of Man IM1 4AU
Permitted,16/00907/B,Widening of existing vehicular access,20-Sep-16,Planning Committee,Rose Cottage 28 Bowling Green Road Castletown Isle Of Man IM9 1EB
Permitted,16/00629/B,"Alterations, erection of an extension and creation of a patio area",26-Jul-16,Interim Director 2016,3 Mourne View Peel Isle Of Man IM5 1UJ 
Refused,16/00712/B,Replacement of front door,05-Aug-16,Senior Planning Officer - South (SC),9 Drury Terrace Douglas Isle Of Man IM2 3HY
Permitted,16/00719/B,Replacement of conservatory roof and creation of porch,04-Aug-16,Senior Planning Officer - South (SC),Felicity Cottage Main Road Foxdale Isle Of Man IM4 3EN
Permitted,16/00720/B,Replacement roof to existing conservatory,21-Sep-16,Senior Planning Officer - North (CB),18 Queens Valley Ramsey Isle Of Man IM8 1NG 
Refused,16/00749/B,Erection of an agricultural storage shed (retrospective),03-Nov-16,Senior Planning Officer - South (SC),Field 130578 St Judes Road Sulby Isle Of Man  
Permitted,16/00751/B,Variation of condition two of PA 14/00295/A Approval in principle for residential development of the site and means of access to extend the period of permission,05-Sep-16,Planning Committee,"Fields 333135, 33500, 334998 And 334999 Land Opposite Springfield Terrace Foxdale Isle Of Man "
Permitted,16/00752/B,Replacement of polycarbonate conservatory roof with lightweight roof tiles,09-Aug-16,Senior Planning Officer - South (SC),11 Ashberry Avenue Douglas Isle Of Man IM2 1PY
Permitted,16/00771/B,Erection of an attached garage to dwelling,12-Oct-16,Senior Planning Officer - South (SC),Greeba Park Avenue Douglas Isle Of Man IM2 5HR
Permitted,16/00772/B,Replacement of existing glazed conservatory roof with tiles,22-Aug-16,Senior Planning Officer - South (SC),6 Beechwood Rise Douglas Isle Of Man IM2 5NE
Permitted,16/00773/B,Removal of a chimney stack,18-Aug-16,Senior Planning Officer - South (SC),Tyrerhennie 2 The Crescent Douglas Isle Of Man IM2 5ET 
Refused,16/00908/B,"Alterations, erection of a porch and erection of a side bungalow extension and side three storey extension to create two additional dwellings",20-Sep-16,Interim Director 2016,Upper Billown Farm Grenaby Road Ballasalla Isle Of Man IM9 3DP
Permitted,16/00909/B,"Demolition with retention of front and side walls and construction of a two storey retail unit, with alterations to front facade at ground floor to provide access and windows suitable for retail purposes",01-Nov-16,Planning Committee,Douglas Post Office Regent Street Douglas Isle Of Man IM1 2EA 
Permitted,16/01275/CON,Replacement of existing windows and door with UPVC - RB 139 (in connection with PA 16/01274/GB),22-Dec-16,Senior Planning Officer - South (SC),Flat 3  Thurwood Place 26 West Quay Ramsey Isle Of Man IM8 1DJ
