RB_Number,Building_Name,Date_Registered,Links,Parish,Features,Status
149,Douglas Head Lighthouse,05/11/1993,https://www.gov.im/media/632237/0500149regblddouglasheadlighthous.pdf,Douglas,,Registered
150,Balladoole Farm Buildings,08/02/1994,https://www.gov.im/media/631517/0500150regbldballadoolefarm.pdf,Arbory,,Registered
151,"2, 4, 6, 8, 10, 12, 14, 16, & 18, Albion Terrace",24/08/1994,https://www.gov.im/media/632915/0500151regbld218albionterrace.pdf,Ramsey,,Registered
152,"3, 4, 5, 6, 7, 8, 9 & 10 Auckland Terrace & West House",24/08/1994,https://www.gov.im/media/632921/0500152regbldbeanoa.pdf,Ramsey,,Registered
154,Queens Pier,06/02/1995,https://www.gov.im/media/632927/0500154regbldqueenspierentrance.pdf,Ramsey,,Registered
155,Ballure Inn,12/07/1995,https://www.gov.im/media/632933/0500155regbld7ballureroad.pdf,Ramsey,,Registered
156,"Facade and Foyer, Strand Cinema",11/07/1995,https://www.gov.im/media/632243/0500156regbldsiteformerlyknownas.pdf,Douglas,,Registered
157,"The Village House, Foxdale",31/10/1995,https://www.gov.im/media/632795/0500157regbldvillagehouse.pdf,Patrick,,Registered
159,"""Ivydene"", Little Switzerland",26/01/1996,https://www.gov.im/media/632249/0500159regbldivydene.pdf,Douglas,Baillie Scott,Registered
160,"The Red House, Victoria Road",26/01/1996,https://www.gov.im/media/632255/0500160regbldredhouse.pdf,Douglas,Baillie Scott,Registered
161,"""Oakleigh"", Glencrutchery Road",26/01/1996,https://www.gov.im/media/632261/0500161regbldoakleigh.pdf,Douglas,Baillie Scott,Registered
162,"Myrtle Bank, Little Switzerland",26/01/1996,https://www.gov.im/media/632267/0500162regbldmyrtlebank.pdf,Douglas,Baillie Scott,Registered
163,"Hollybank, Little Switzerland",26/01/1996,https://www.gov.im/media/632273/0500163regbldhollybank.pdf,Douglas,Baillie Scott,Registered
164,"Falcon Cliff Terrace, Ivy Cottage, Thie Bannee, Inglenook, Thorn Bank",26/01/1996,https://www.gov.im/media/632279/rb-164-falcon-cliff-terrace-ivy-cottage-thie-bannee-inglenook-thorn-bank-terrace-registration-documents-130623.pdf,Douglas,Baillie Scott,Registered
166,"Cadran Cottage, Ballanard Road",15/09/1996,https://www.gov.im/media/632285/0500166regbldcadrancottage.pdf,Douglas,,Registered
167,Douglas Courthouse and 13 Athol Street,15/04/1997,https://www.gov.im/media/632291/0500167regbldformerdouglascourth.pdf,Douglas,,Registered
168,"Milntown House, Including the Old Mill, Mill Pond and Mill Race",21/05/1997,https://www.gov.im/media/632555/0500168regbldmilntownmansion.pdf,Lezayre,,Registered
169,"Douglas Town Hall and Public Library, Ridgeway Street",22/05/1997,https://www.gov.im/media/632297/0500169regbldfreelibrary.pdf,Douglas,,Registered
170,"St Stephens Church and former School Room, Sulby",22/4/1998,https://www.gov.im/media/1348568/rb-170-a4.pdf,Lezayre,,Registered
171,"Sulby Old School, Sulby",22/4/1998,https://www.gov.im/media/1348569/rb-171-a4.pdf,Lezayre,,Registered
172,"Sulby Methodist Church, Sulby",22/4/1998,https://www.gov.im/media/1348570/rb-172v2.pdf,Lezayre,,Registered
173,Central Hotel,25/06/1998,https://www.gov.im/media/632303/0500173regbld-central-hotel-website.pdf,Douglas,,Registered
174,1 Albert Terrace,25/06/1998,https://www.gov.im/media/632309/0500174regbld1albertterrace.pdf,Douglas,,Registered
175,Majestic Hotel,,https://www.gov.im/media/632777/0500175regbld-majestic-hotel-add.pdf,Onchan,,De-registered
