Planning Application No,Proposal,Property Address,Decision,Date decision issued
18/01180/B,Extension to existing agricultural building,Ballakeigh Farm West Kimmeragh Road Bride Isle Of Man IM7 4BA,PER,18-Dec-18
18/01181/B,Alterations and erection of an extension to rear elevation (in association with 18/01182/CON),10 Albany Street Douglas Isle Of Man IM2 3LE,PER,21-Dec-18
18/01182/CON,Registered Building consent for alterations and erection of an extension to rear elevation (in association with 18/01181/B),10 Albany Street Douglas Isle Of Man IM2 3LE,PER,21-Dec-18
18/01184/B,Installation of a flue,The Old Granary Harbour Road Santon Isle Of Man IM4 1HF ,PER,21-Dec-18
18/01185/B,Alterations and erection of extension,2 Barrule Park Ramsey Isle Of Man IM8 2BW,PER,21-Dec-18
18/01186/B,Single storey extension to front elevation to provide ground floor wc (amendment to PA 18/00236/B),81 Anagh Coar Road Douglas Isle Of Man IM2 2AS,PER,21-Dec-18
18/01187/B,Demolition of existing conservatory and erection of kitchen/dining extension,24 Harcroft Avenue Douglas Isle Of Man IM2 1PD,PER,21-Dec-18
18/01188/B,Widening of driveway,17 Reayrt Ny Glionney Drive Laxey Isle Of Man IM4 7LG ,PER,21-Dec-18
18/01194/LAW,Application for certificate of Lawful Development for the installation of windows and two roof lights,6 Springfield Terrace Castletown Isle Of Man IM9 1AW,CLAWA,28-Dec-18
18/01195/B,Installation of a window to rear elevation of detached garage (retrospective),39 Vicarage Park Douglas Isle Of Man IM2 2QE ,PER,21-Dec-18
18/01198/B,"Removal of existing deck footbridge and steps within playground area and installation of deck ramps, landings, steps and footbridge, along with door and window alteration, to provide wheelchair access to upper playground and school building at first floor",Schoill Yn Jubilee Laureston Avenue Douglas Isle Of Man IM2 3BR,PER,21-Dec-18
18/01202/B,Alterations and erection of an extension,2 Groudle View Onchan Isle Of Man IM3 2EY ,PER,21-Dec-18
18/01205/B,Creation of a swimming pool,Thie Y Chleree Church Road Maughold Isle Of Man IM7 1AS ,PER,24-Dec-18
18/01213/B,Creation of a field access,Field 421642 Balladoole Farm Arbory Isle Of Man  ,PER,28-Dec-18
18/01221/B,Alterations and erection of two storey extensions to both front and rear elevations,Seafield Beach Road Port St. Mary Isle Of Man IM9 5NG,PER,28-Dec-18
18/01225/B,Block up an external doorway to side elevation,35 Droghadfayle Park Port Erin Isle Of Man IM9 6EW,PER,28-Dec-18
