Planning Application No,Proposal,Property Address,Decision,Date decision issued
19/01303/B,Installation of a flue and new windows and door on rear elevation  (all retrospective),Gumtree Cottage Glen Road Laxey Isle Of Man IM4 7AJ ,PER,10-Mar-20
19/01304/B,Conversion of garage to provide living accommodation,19 Manor Drive Douglas Isle Of Man IM2 2NY,PER,22-Jan-20
19/01305/B,Conversion of existing car port to provide living accommodation,27 Slieau Curn Park Kirk Michael Isle Of Man IM6 1EP,PER,02-Jan-20
19/01306/B,Window / door alterations,3 Douglas Avenue Douglas Isle Of Man IM2 5EL,PER,06-Jan-20
19/01308/B,Installation of four replacement windows to front and rear elevations,39 Hildesley Road Douglas Isle Of Man IM2 5AX,PER,06-Jan-20
19/01309/B,Erection of detached dwelling,Plot North Of Turnberry Alberta Drive Onchan Isle Of Man IM3 1LT ,REF,24-Jan-20
19/01312/B,Replacement of existing conservatory roof with a solid roof,7 Ashbourne Avenue Douglas Isle Of Man IM2 1NW,PER,24-Jan-20
19/01314/B,Replacement of existing conservatory roof with a solid roof,157 Royal Avenue Onchan Isle Of Man IM3 1LG,PER,24-Jan-20
19/01315/B,"Alterations, installation of replacement windows and door to conservatory and replacement of existing conservatory roof with tiles",17 Seaview Road Onchan Isle Of Man IM3 4AQ,PER,06-Jan-20
19/01316/B,Erection of glazed porch on front of building to replace timber portico.,Ballakaneen Chapel Andreas Road Andreas Isle Of Man IM7 4EN ,REF,28-Jan-20
19/01317/B,Replacement of existing glazed conservatory roof with tiles,6 Erin Lane Port Erin Isle Of Man IM9 6FE ,PER,10-Feb-20
19/01318/B,Installation of replacement front door and creation of new windows,19 Hutchinson Square Douglas Isle Of Man IM2 4HS,PER,24-Jan-20
19/01319/B,Replacement of existing front door with window,Milntown Gatehouse Gardeners Lane Ramsey Isle Of Man IM8 2TF,PER,28-Jan-20
19/01321/B,Erection of a replacement dwelling (amendment to application 19/00536/B),Plot 1 The Quadrant Phildraw Road Ballasalla Isle Of Man IM9 3EG,PER,02-Jan-20
19/01322/B,Erection of agricultural barn,Field 434623 Springwaters Ballamodha Straight Ballamodha Ballasalla Isle Of Man IM9 3AZ,PER,12-Mar-20
19/01323/B,Installation of a replacement door (retrospective),9 Rosemount Douglas Isle Of Man IM1 3EZ,PER,28-Jan-20
19/01324/B,Erection of a detached dwelling,Field 314758 Main Road St Johns Isle Of Man  ,REF,24-Jun-20
19/01325/B,"Variation of condition 1 of application 15/01332/B for alterations, conversion of garage and erection of a single storey extension, to extend the period of approval for a further 4 years.",Tudor Lodge 18 Stanley Terrace Douglas Isle Of Man IM2 4EP,PER,28-Jan-20
19/01326/B,Conversion of building in to 3 self-contained apartments (revisions to approval 16/01100/B),12 Market Street Peel Isle Of Man IM5 1AD,PER,06-Jan-20
19/01330/B,Installation of three replacement windows to front elevation,28 Glenfaba Road Peel Isle Of Man IM5 1BU,PER,17-Jan-20
19/01335/B,Installation of replacement windows to front elevation,St James Chapelry Niarbyl Road Dalby Isle Of Man IM5 3BR,PER,29-Jan-20
19/01337/B,"Alterations to roof to side elevation and installation of patio door, roof light and replacement windows",2 Selborne Drive Douglas Isle Of Man IM2 3LS,PER,17-Jan-20
19/01339/B,Alterations and erection of extension to rear elevation,Dreeym Lang Woodlands Avenue Douglas Isle Of Man IM2 3QS,PER,13-May-20
19/01340/CON,Registered building consent for roof repair works,5 The Quay Castletown Isle Of Man IM9 1LD ,PER,04-Feb-20
19/01341/B,Installation of replacement shop front,65 Strand Street Douglas Isle Of Man IM1 2EN ,PER,04-Feb-20
19/01342/B,Creation of two apartments (retrospective),Sea View Flats 1 & 2 To Rear Of Queens Promenade Ramsey Isle Of Man  ,PER,05-Feb-20
19/01344/A,Approval in principle for the erection of 34 industrial / commercial units addressing siting and means of access,Land Off Harcourt Drive Balthane Industrial Estate Ballasalla Isle Of Man  ,PER,17-Aug-20
19/01345/B,Erection of ground floor extension,The Firs Glen Wyllin Kirk Michael Isle Of Man IM6 1AW ,PER,30-Jan-20
19/01346/B,Installation of air source heat pumps and roof mounted solar panels,Wallberry Farm Old Castletown Road Douglas Isle Of Man IM4 1AQ ,PER,04-Feb-20
19/01347/B,Installation of roof lights to side elevation,Flat Above   73 Parliament Street Ramsey Isle Of Man IM8 1AQ,PER,29-Jan-20
19/01348/B,Conversion of barns to create two residential dwellings with additional use as tourist accommodation,Ballaglass Farm Buildings Corony Ramsey Isle Of Man IM7 1ES ,PER,13-May-20
19/01349/B,Installation of air source heat pump,11 Castlemona Avenue Douglas Isle Of Man IM2 4EA,PER,29-Jan-20
19/01350/B,Erection of agricultural building,West Kimmeragh West Kimmeragh Road Bride Isle Of Man IM7 4BA,PER,20-Feb-20
19/01351/B,"Installation of a flue to rear elevation, re location of attic restaurant to ground floor and change of use of attic area to retail (Class 1)",9 - 11 Duke Street Douglas Isle Of Man  ,PER,05-Feb-20
19/01352/B,Erection of a detached garage and creation of a driveway and vehicular access,96 Ballamaddrell Port Erin Isle Of Man IM9 6AZ,PER,17-Jan-20
19/01353/B,Alterations and erection of single storey extensions to side and rear elevations,96 Ballamaddrell Port Erin Isle Of Man IM9 6AZ,PER,30-Jan-20
19/01355/CON,Registered building consent for roof repair works,21 Governors Road Onchan Isle Of Man IM3 1AY,PER,23-Jan-20
19/01356/B,Erection of extension to north elevation to provide entrance lobby and toilet,Glen Mona Hotel Glen Mona Ramsey Isle Of Man IM7 1HF ,PER,17-Jan-20
19/01357/B,"Alterations to property to prov, erection of two storey extension, erection of replacement workshop",12 Lime Street Port St. Mary Isle Of Man IM9 5ED,PER,04-Feb-20
19/01359/B,Installation of two 10 cycle shelters,Upper School  St Ninians High School Ballaquayle Road Douglas Isle Of Man IM2 5RA,PER,11-Mar-20
19/01360/B,Erection of extension to rear elevation,12 Copse Hill Douglas Isle Of Man IM2 1ND,PER,17-Jan-20
19/01361/B,Removal of a rear chimney stack,11 Dumbells Terrace Laxe Isle Of Man IM4 7NY,PER,20-Jan-20
19/01363/B,Erection of extension to rear and side elevations,6 Third Avenue Douglas Isle Of Man IM2 6AL,PER,20-Jan-20
19/01364/B,Erection of a front porch,73 Cronk Grianagh Estate Douglas Isle Of Man IM4 4RN,PER,04-Feb-20
19/01365/B,Permanent installation of existing mobile satellite antenna unit at ground level,Greenlight House Ballafletcher Road Cronkbourne Douglas Isle Of Man IM4 4QJ ,PER,05-Feb-20
19/01366/B,Extension of existing driveway and vehicular access sufficient to provide space for wheelchair access,25 Close Famman Port Erin Isle Of Man IM9 6BL ,PER,20-Jan-20
19/01367/B,Installation of replacement windows to rear annex,Inglewood 26 Palace Terrace Queens Promenade Douglas Isle Of Man IM2 4NF ,PER,20-Jan-20
19/01369/B,"Replacement of conservatory roof with tiled roof, removal of bathroom window, and installation of roof light and sun tunnel.",59 Selborne Drive Douglas Isle Of Man IM2 3NJ ,PER,20-Jan-20
19/01370/B,Installation of flue from wood burning stove at rear of property.,38 Murrays Lake Drive Mount Murray Douglas Isle Of Man IM4 2HY,PER,10-Mar-20
19/01371/B,Installation of air source heat pump,Brandon Chapel Lane Baldrine Isle Of Man IM4 6DG,PER,20-Jan-20
19/01372/B,"Replacement of first floor windows, ground floor kitchen window and rear door with pvc units, and replacement front door with composite door.",6 Rivers Court Glen Road Laxey Isle Of Man IM4 7AG,PER,20-Jan-20
19/01373/B,Installation of a flue,20 Close Corlett Peel Isle Of Man IM5 1QH ,PER,10-Feb-20
19/01374/B,Replacement roof covering to property,Thie Ellyn Withington Road Douglas Isle Of Man IM2 3BF ,PER,20-Jan-20
19/01377/B,Blocking up of existing entrance door,Grianagh Curragh Road St Johns Isle Of Man IM4 3LN,PER,20-Jan-20
19/01378/B,Erection of first floor extension to rear elevation,Cooilbane Cottage Ballacaley Road Sulby Isle Of Man IM7 2HR ,PER,20-Jan-20
19/01379/B,"Creation of a doorway from existing window, access ramp, extension of existing driveway and additional use of residential dwelling for tourist accommodation",Ballawattleworth House Tynwald Road Peel Isle Of Man IM5 1JP,PER,31-Mar-20
19/01380/B,Alterations and erection of front porch extension (retrospective),Hilltop Howe Road Port St. Mary Isle Of Man IM9 5PR,PER,20-Jan-20
19/01382/B,"Alterations, installation of doors, and creation of first floor balcony",17 Alexander Drive Douglas Isle Of Man IM2 3QD,PER,20-Jan-20
19/01385/B,"Rear extension to create additional living accommodation at ground and first floor, raising of existing roof level and removal of two chimneys",Carrick Beg The Level Colby Isle Of Man IM9 4AF,PER,10-Feb-20
19/01386/D,Erection of information board next to the perimeter fence of the school playground.,Foxdale Primary School Mines Road Foxdale Isle Of Man IM4 3EX,PER,30-Jan-20
19/01387/B,Alterations to dwelling,Kerrowkneale Summerhill Road Jurby Isle Of Man IM7 3BR,PER,10-Mar-20
