"PA Ref","Proposal","Property Address","Decision","Decision Issued","Year"
"16/01254/B","Erection of two summerhouses","Awinside Surby Road Surby Port Erin Isle Of Man IM9 6TB","PER","15-Dec-16","2016"
"16/00962/B","Installation of replacement shop front (retrospective)","23 Parliament Street Ramsey Isle Of Man IM8 1AS","PER","07-Oct-16","2016"
"16/01006/B","Demolition of existing wall and construction of new ring beam and decking area.","Cliff Cottage Bay View Road Port St. Mary Isle Of Man IM9 5AW","PER","13-Oct-16","2016"
"16/01051/B","Alterations and additions.","5 Milner Park Port Erin Isle Of Man IM9 6DH ","PER","01-Nov-16","2016"
"16/01109/B","Erection of an extension and decking to dwelling","8 Douglas Road Peel Isle Of Man IM5 1JW","PER","25-Nov-16","2016"
"16/01111/B","Erection of an agricultural building","Field 134313 Adjacent To Kerrowmooar Croft Kerrowmooar Sulby Isle Of Man  ","PER","09-Nov-16","2016"
"16/01164/B","Creation of sunroom extension to rear elevation of existing dwelling.","Plot 2 Of Approved Residential Development 18 Rockmount Road Peel Isle Of Man IM5 1QN ","PER","09-Dec-16","2016"
"16/01190/B","Alterations, installation of dormer windows and erection of extensions. Creation of vehicular access and driveway, and extension of residential curtilage.","Balnahow Farm Balnahowe Santon Isle Of Man IM4 1HN ","PER","24-Nov-16","2016"
"16/00183/B","Erection of a first floor extension  above existing garage to provide additional living accommodation","12 Faaie-Ny-Cabbal Kirk Michael Isle Of Man IM6 2HW","PER","13-Apr-16","2016"
"16/00180/C","Additional use of dwelling as child-minders (retrospective)","Lewins Cottage Glen Road Laxey Isle Of Man IM4 7AB","PER","13-Apr-16","2016"
"16/01100/B","Conversion of building into 3 self contained apartments.","12 Market Street Peel Isle Of Man IM5 1AD","PER","09-Nov-16","2016"
"16/01044/C","Change of use for the attic from residential to tourist accomodation.","Shore Hotel Shore Road Bay Ny Carrickey Port St. Mary Isle Of Man IM9 5LZ","PER","01-Nov-16","2016"
"15/01381/B","Erection of extensions to provide additional bedrooms","Holiday Cottages Ballafreer Farm Ballafreer Farm Lane Union Mills Isle Of Man  ","PER","19-Jan-16","2016"
"15/01386/B","Alterations and erection of a replacement detached garage","Stroanville House Fairy Cottage Laxey Isle Of Man IM4 7BR ","PER","14-Mar-16","2016"
"15/01387/B","Conversion of tearooms to create two dwellings and siting of a gas storage tank","Glen Moar Tearooms Glen Helen Road Laurel Bank St Johns Isle Of Man IM4 3NN ","PER","22-Feb-16","2016"
"15/01388/B","Conversion of a two storey workshop building to provide a first floor apartment and ground floor garage","Workshop Rear Of 2 Victoria Road Port St. Mary Isle Of Man IM9 5AF ","PER","18-Feb-16","2016"
"15/01397/GB","Alterations, installation of replacement windows and doors and new roof light to dwelling (in association with 15/01398/CON)","Beach Cottage Ballure Road Ramsey Isle Of Man IM8 1NB","PER","26-Feb-16","2016"
"16/00088/B","Replacement of existing glazed conservatory roof with light weight roof tiles","Thie Cassan Yack Jacks Lane Port E Vullen Ramsey Isle Of Man IM7 1AW","PER","03-Mar-16","2016"
"15/01335/B","Installation of replacement roof tiles to dwelling","Greeba Tennis Road Douglas Isle Of Man IM2 3LX","PER","15-Jan-16","2016"
"16/00092/B","Replacement of disused shop front window and door with a window, removal of an external ramp and erection of a boundary wall","Digby House Glen Road Laxey Isle Of Man IM4 7AF","PER","17-Mar-16","2016"
"16/00448/D","Installation of illuminated signage","13 Shore Road Peel Isle Of Man IM5 1AH","PER","08-Jul-16","2016"
"16/00449/B"," Alterations, installation of new shop front and creation of outdoor seating area for eating and drinking","13 Shore Road Peel Isle Of Man IM5 1AH","PER","08-Jul-16","2016"
"16/00450/B","Installation of a flue to side elevation of dwelling","2 Knock Rushen Scarlett Road Castletown Isle Of Man IM9 1TQ ","PER","06-Jun-16","2016"
"16/00491/B","Erection of a building to provide toilet facilities and removal of one tree","Site Adjacent To Laxey Wheel Wheel Hill Laxey Isle Of Man  ","PER","17-Jun-16","2016"
"16/00492/B","Erection of a replacement summerhouse","8 The Willows Ballasalla Isle Of Man IM9 2EW","PER","11-Aug-16","2016"
"16/00558/B","Creation of additional parking to dwelling","Kitterland 1 Ellenbrook Avenue Douglas Isle Of Man IM2 1QJ","PER","24-Jun-16","2016"
"16/00559/B","Variation of condition one of PA 12/00783/B to extend the approval period by a further one year","Ballaconn Cornaa Ramsey Isle Of Man IM7 1EE ","PER","15-Jul-16","2016"
"16/00503/D","Installation of both illuminated and non-illuminated signage","Shop 77 Strand Street Douglas Isle Of Man IM1 2EN ","PER","23-Jun-16","2016"
"16/00504/B","Installation of a replacement front door canopy","Croft End 2 The Crofts Castletown Isle Of Man IM9 1LY","PER","29-Jun-16","2016"
"16/00505/B","Replacement of existing rear doorway with a window","34 Meadow Crescent Douglas Isle Of Man IM2 1NJ","PER","23-Jun-16","2016"
"16/00547/B","Alterations, demolition of a chimney and erection of a second floor extension with associated balcony","Holm Villa 39 Stanley Terrace Peel Isle Of Man IM5 1NP ","PER","24-Jun-16","2016"
"16/00548/B","Installation of replacement front door and windows","12 Strand Street Peel Isle Of Man IM5 1NL","PER","04-Nov-16","2016"
"16/00549/B","Erection of a rear extension to replace existing conservatory","20 Manor Drive Douglas Isle Of Man IM2 2NY","PER","29-Jun-16","2016"
"16/00550/B","Erection of rear extension","5 Westlands Close Ramsey Isle Of Man IM8 3PU","PER","30-Jun-16","2016"
"16/00551/B","Installation of replacement front door and windows","52 Glenfaba Road Peel Isle Of Man IM5 1BX","PER","24-Jun-16","2016"
"16/00552/B","Erection of a shower unit and alterations and installation of a roof to existing out building","Ballerghy Lhergy Cripperty Union Mills Isle Of Man IM4 2AH","PER","24-Jun-16","2016"
"16/00560/B","Installation of replacement fencing and gates, creation of new gates, hard standing areas and footpath and infilling of dig sites","Rushen Abbey Rushen Abbey Ballasalla Isle Of Man IM9 3DB ","PER","08-Jul-16","2016"
"16/00566/C","Additional use of residential flat as tourist accommodation","Bayview Flat Bay View House 3 Victoria Terrace Peel Isle Of Man IM5 1PG ","PER","07-Jul-16","2016"
"16/00730/B","Alterations to dwelling including creation of a dormer window and roof terrace and inclusion of a pitched roof over existing detached garage","Ebor Peveril Road Peel Isle Of Man IM5 1PW ","PER","07-Sep-16","2016"
"16/00655/B","Erection of a rear extension to dwelling","117 Greenlands Avenue Ramsey Isle Of Man IM8 2PE","PER","19-Jul-16","2016"
"16/00656/D","Erection of illuminated and non-illuminated signage","Co-op Store Duke Street Douglas Isle Of Man IM1 2AY","PER","15-Aug-16","2016"
"16/00840/B","Replacement of existing glazed conservatory roof with tiles","15 Meadow Court Ballasalla Isle Of Man IM9 2DW","PER","20-Sep-16","2016"
"16/00841/B","Replacement of existing glazed conservatory roof with tiles","4 The Laurels Douglas Isle Of Man IM2 7DN","PER","22-Sep-16","2016"
"16/00842/B","Erection of a detached building to provide a garden shed / workshop and store","30 Ballachrink Drive Onchan Isle Of Man IM3 4NQ","PER","08-Sep-16","2016"
"16/00864/B","Alterations, erection of extension, widening of driveway and creation of an additional vehicular access","13 Devonshire Road Douglas Isle Of Man IM2 3QY","PER","07-Sep-16","2016"
"16/00657/B","Alterations and erection of an extension to dwelling","Shellag Chapel Hill Bride Isle Of Man IM7 4BH ","PER","06-Sep-16","2016"
"16/00658/B","Alterations and erection of extension to dwelling","Hazlewood House Ballaragh Road Laxey Isle Of Man IM4 7PH ","PER","19-Jul-16","2016"
"16/00690/B","Erection of an extension to rear elevation of dwelling","Thie-Nyn-Ashlish Patrick Village Isle Of Man IM5 3AH ","PER","05-Aug-16","2016"
"16/00953/B","Conversion of former offices to provide three apartments","62 Bucks Road Douglas Isle Of Man IM1 3AE ","PER","01-Nov-16","2016"
"16/01081/B","Replacement of garage door with a window, creation of ground floor doorway and erection of a first floor extension to dwelling","1 Church Close Lonan Laxey Isle Of Man IM4 7JY","PER","02-Nov-16","2016"
"16/00890/B","Replacement of existing glazed conservatory roof with tiles","13 Larch Hill Grove Douglas Isle Of Man IM2 5NU ","PER","22-Sep-16","2016"
"16/00892/B","Alterations and erection of extension to existing agricultural building / workshop","Site Adjacent To Close Veg Glen Darragh Road Glen Vine Isle Of Man  ","PER","07-Sep-16","2016"
"16/00893/B","Creation of raised decking and a doorway from an existing window to rear elevation","134 Ballabrooie Drive Douglas Isle Of Man IM1 4HJ","PER","01-Dec-16","2016"
