"PA Ref","Proposal","Property Address","Decision","Decision Issued","Year"
"14/00307/B","Installation of replacement windows to front, side and rear elevations and erection of balustrade over garage","8-10 Church Road Port Erin Isle Of Man IM9 6AQ","PER","06-May-14","2014"
"14/00641/C","Re-instatement of existing single apartment into two apartments","Apartment 8 & 20 Piccadilly Court Queens Promenade Douglas Isle Of Man IM2 4NS ","PER","14-Jul-14","2014"
"14/00643/B","Conversion of redundant barn building into two dwelling units and associated extensions","Upper Billown Farm Grenaby Road Ballasalla Isle Of Man IM9 3DP","PER","19-Sep-14","2014"
"14/00364/B","Installation of a replacement shop front","45 Strand Street Douglas Isle Of Man IM1 2EJ","PER","19-May-14","2014"
"14/00365/C","Change of use from tourist accommodation to residential accommodation","Cerise Cottage Ballure Holiday Homes Ballure Ramsey Isle Of Man IM7 1AD ","PER","12-May-14","2014"
"14/00644/C","Additional use of self-contained apartment as tourist accommodation","Oirr-Ushtey The Promenade Laxey Isle Of Man IM4 7DD","PER","11-Jul-14","2014"
"14/01026/B","Erection of a dwelling","Land At 1 King Orry Close Glen Vine Isle Of Man  ","PER","30-Sep-14","2014"
"14/01027/B","Erection of extension to provide baby care facility","Busy Bears Nursery Close Beg Ballawattleworth Peel Isle Of Man IM5 1XF ","PER","30-Sep-14","2014"
"14/01347/B","Erection of a sun lounge extension to replace existing conservatory","12 River Walk Braddan Douglas Isle Of Man IM4 4TJ","PER","30-Dec-14","2014"
"14/00531/B","Extension of existing driveway to provide a turning / parking area","44 Westmoreland Road Douglas Isle Of Man IM1 4AN","PER","04-Jul-14","2014"
"14/00532/B","Erection of an infill extension to rear elevation of dwelling","Naworth Maine Road Port Erin Isle Of Man IM9 6LQ","PER","24-Jun-14","2014"
"14/00534/B","Installation of a roof light, two sun tunnels and a replacement front door and alterations to an existing window","5 Park Road Douglas Isle Of Man IM2 3EL","PER","16-Jun-14","2014"
"14/00762/B","Creation of two parking spaces, decked patio area, installation of replacement windows and French doors to rear elevation (retrospective)","Alverna Somerset Road Douglas Isle Of Man IM2 5AE","PER","07-Aug-14","2014"
"14/00940/B","Replace existing glazed conservatory roof with roof tiles","9 St Patricks View Peel Isle Of Man IM5 1UR ","PER","12-Sep-14","2014"
"14/00942/B","Installation of replacement windows","Former Isle Of Man Bank 26 Main Road Main Road Kirk Michael Isle Of Man IM6 1AD","PER","12-Sep-14","2014"
"14/00948/B","Construction of a light industrial or storage and distribution unit","Proposed Industrial Unit White Hoe Industrial Estate Old Castletown Road Douglas Isle Of Man  ","PER","13-Nov-14","2014"
"14/01270/B","Replacement of existing shop front","1 New Road Laxey Isle Of Man IM4 7AZ","PER","15-Dec-14","2014"
"14/01273/B","Erection of two agricultural buildings","Ballacorkish Farm Scholaby Road Colby Isle Of Man IM9 4AH","PER","15-Dec-14","2014"
"14/01274/B","Alterations, erection of raised decking and replacement of glazed conservatory roof with roof tiles to dwelling","53 Port E Chee Avenue Douglas Isle Of Man IM2 5ES","PER","15-Dec-14","2014"
"14/01301/B","Blocking up existing patio doorway and installation of two roof lights on rear extension","6 Clover Avenue Reayrt Ny Keylley Peel Isle Of Man IM5 1GB ","PER","23-Dec-14","2014"
"13/91154/B","Alterations and conversion of existing agricultural store/office into tourist accommodation","Barn Ballaloaghtan Kerrowkeil Road Grenaby Ballasalla Isle Of Man  ","PER","03-Jan-14","2014"
"13/91206/B","Creation of a horticultural / agricultural project area including the erection of fencing, changing rooms, tool store and polytunnel","Land At Iom College Of Further Education Homefield Road Douglas Isle Of Man  ","PER","31-Jan-14","2014"
"14/00281/D","Erection of advertising signage with lighting","70-72 Bucks Road Douglas Isle Of Man IM1 3AE","PER","18-Jul-14","2014"
"14/00282/B","Erection of a porch extension to front elevation","23 Mountain View Peel Isle Of Man IM5 1QF","PER","25-Apr-14","2014"
"14/00283/B","Alterations and extensions to dwelling","2 Park Close Glen Vine Isle Of Man IM4 4HB","PER","17-Apr-14","2014"
"14/00286/B","Installation of replacement windows to front and replacement windows and doors to rear elevation","23 Mill Street Castletown Isle Of Man IM9 1AG","REF","17-Apr-14","2014"
"14/00758/B","Replacement of existing glazed conservatory roof with light weight roof tiles","6 Ballachrink Drive Onchan Isle Of Man IM3 4NX","PER","31-Jul-14","2014"
"14/00759/B","Installation of window to replace existing garage door","36 Governors Hill Douglas Isle Of Man IM2 7AS","PER","31-Jul-14","2014"
"14/01049/B","Variation of condition 1 of approved PA 10/01316/B (first floor extension over existing garage) to extend period of permission","14 First Avenue Douglas Isle Of Man IM2 6BA","PER","13-Oct-14","2014"
"14/01050/B","Alterations and extensions to dwelling and erection of detached garage (comprising amendments to PA 14/00779/B)","46 Sea Cliff Road Onchan Isle Of Man IM3 2JD","PER","13-Oct-14","2014"
"14/01052/B","Extension to existing detached garage with roof terrace over","Thie Ny Cronk Ballajora Ramsey Isle Of Man IM7 1BL ","PER","13-Nov-14","2014"
"14/00273/B","Alterations and extension to dwelling","11 Snaefell Crescent Onchan Isle Of Man IM3 4NH","PER","25-Apr-14","2014"
"14/00326/B","Landscaping works including planting, lighting, water features and garden walls","Ballakew Farm Braaid Road St Marks Ballasalla Isle Of Man IM9 3AP","PER","24-Jun-14","2014"
"14/00327/B","Replace existing garage door with a window and door / window alteration to rear of garage","1 Stonecrop Grove Douglas Isle Of Man IM2 7DX","PER","09-May-14","2014"
"14/00996/B","Alterations including erection of a replacement extension, window amendments, removal of a chimney stack and conversion of two existing second floor apartments to create one apartment","West View Shore Road Port Erin Isle Of Man IM9 6HL","PER","30-Sep-14","2014"
"14/01207/B","Replacement of existing glazed conservatory roof with light weight roof tiles","9 Cronk Y Berry Douglas Isle Of Man IM2 6EY","PER","21-Nov-14","2014"
"14/00513/B","Erection of replacement north western boundary fence and erection of new gates/fencing to pre-school nursery and reception class play area","Cronk Y Berry Primary School Hailwood Avenue Douglas Isle Of Man IM2 7PA","PER","04-Jul-14","2014"
"13/91188/B","Conversion of ground floor betting office to a hot food takeaway","12 Church Road Port Erin Isle Of Man IM9 6AQ","REF","27-Jan-14","2014"
"13/91395/B","Alterations and erection of a two storey extension","Marathon Court Nursing Home Victoria Road Douglas Isle Of Man IM2 4RQ","PER","03-Feb-14","2014"
"14/00096/B","Erection of extension to dwelling (comprising amendment to PA 13/00345/B)","27 Kissack Road Castletown Isle Of Man IM9 1NW","PER","14-Mar-14","2014"
"14/00368/B","Erection of a detached garage","Glen View Glen Chass Port St Mary Isle Of Man IM9 5PH ","PER","22-Jul-14","2014"
"14/00371/B","Installation of replacement windows and front door","Bridge House Glen Road Colby Isle Of Man IM9 4NT","REF","31-Jul-14","2014"
"14/00553/B","Installation of replacement windows and doors to dwelling","23 Mill Street Castletown Isle Of Man IM9 1AG","PER","13-Jun-14","2014"
"14/00554/B","Rendering works to both gable elevations","Malew House 48 Malew Street Castletown Isle Of Man IM9 1AF ","PER","13-Jun-14","2014"
"14/00555/B","Conversion of guest house to provide four self-contained apartments","22 Hutchinson Square Douglas Isle Of Man IM2 4HP","PER","10-Oct-14","2014"
"14/00556/B","Conversion of retail unit to a cafe","10 Malew Street Castletown Isle Of Man IM9 1AB","PER","13-Jun-14","2014"
"14/00737/B","Alterations, creation of roof dormers and installation of roof lights","30 Hawarden Avenue Douglas Isle Of Man IM1 4BN ","PER","22-Aug-14","2014"
"14/00738/B","Alterations, creation of roof dormers and installation of roof lights","28 Hawarden Avenue Douglas Isle Of Man IM1 4BN","PER","22-Aug-14","2014"
"14/01107/B","Alterations, erection of boundary fencing, timber screen and re-location of sign","The Highwayman Poortown Road Ballawattleworth Peel Isle Of Man IM5 1XF ","PER","13-Nov-14","2014"
"14/01230/B","Erection of an agricultural building","High Tilt Douglas Road Kirk Michael Isle Of Man IM6 1AS","PER","01-Dec-14","2014"
"14/01231/B","Erection of an extension to existing building to provide a covered vehicle maintenance area and creation of two additional windows to existing staff room","Cringle Quarry Ronague Castletown Isle Of Man IM9 4HJ ","PER","12-Dec-14","2014"
"14/00480/REM","Reserved Matters application for the erection of a detached dwelling with integral garaging","Field 514231 Court Farm Main Road Santon Isle Of Man  ","PER","20-Jun-14","2014"
"13/91309/B","Erection of fencing (retrospective)","19 Ballamillaghyn Estate Mount Rule Douglas Isle Of Man IM4 4HX","PER","10-Jan-14","2014"
"13/91421/B","Installation of replacement first floor windows","16 Malew Street Castletown Isle Of Man IM9 1AB","PER","09-Jan-14","2014"
"14/00130/B","Erection of a single storey extension and creation of new pedestrian access gate","1 Woodside Terrace Douglas Isle Of Man IM2 3AH","PER","24-Jul-14","2014"
"14/00450/B","Re-surfacing of site and creation of a car park (retrospective)","Site Of Former Group Practice Centre Derby Road Peel Isle Of Man IM5 1HP","PER","09-Dec-14","2014"
"14/00375/B","Alteration and erection of extensions to dwelling","33 Ballanard Road Douglas Isle Of Man IM2 5HB","PER","13-Jun-14","2014"
"14/00376/A","Approval in principle for the erection of a replacement detached dwelling with integral garage","Willow Cottage Bride Road Andreas Isle Of Man IM7 4HW","PER","09-May-14","2014"
"14/00377/B","Conversion of property from retail to a cafe / restaurant","3 Collins Lane Ramsey Isle Of Man IM8 1AL","PER","28-Aug-14","2014"
"14/00378/B","Erection of a detached three bay garage with workshop and store above","The Priory Belmont Road Douglas Isle Of Man IM1 4NR ","PER","13-Aug-14","2014"
"14/00819/B","Removal of garden wall to widen vehicular access (retrospective)","29 & 29A Albany Road Peel Isle Of Man IM5 1TT ","PER","14-Aug-14","2014"
"14/00823/B","Erection of a conservatory to dwelling","8 Croit Ny Kenzie Andreas Isle Of Man IM7 4FA ","PER","14-Aug-14","2014"
"14/00875/B","Conversion of former hairdressers to a take-away/delicatessen and installation of extractor flue to rear elevation (retrospective)","3 Atholl Place Peel Isle Of Man IM5 1HE","PER","20-Nov-14","2014"
"14/00878/B","Creation of driveway and vehicular access onto highway","Pen Y Bryn Queens Drive West Ramsey Isle Of Man IM8 2JD ","PER","10-Oct-14","2014"
"14/00052/D","Erection of illuminated advertising signage","74 Strand Street Douglas Isle Of Man IM1 2EW","PER","20-Feb-14","2014"
"14/00879/B","Alteration and extension to existing porch","Holiday Cottage Primrose Lodge Slieau Lewaigue Lewaigue Ramsey Isle Of Man IM7 1BH ","PER","05-Sep-14","2014"
"14/01055/B","Installation of external steel flue to side elevation","106 Ballacriy Park Colby Isle Of Man IM9 4NB","PER","13-Oct-14","2014"
"14/01056/B","Alterations and extension to dwelling and creation of vehicular access and off street parking to front garden","42 Ballahane Close Port Erin Isle Of Man IM9 6EH","PER","29-Oct-14","2014"
"14/01278/B","Erection of a detached garden store / garage","155 Royal Avenue Onchan Isle Of Man IM3 1LG","PER","15-Dec-14","2014"
"14/01279/B","Installation of a bi-folding door to replace two existing windows to dwelling","Shenndeeagh Ballaquane Road Peel Isle Of Man IM5 1PS","PER","15-Dec-14","2014"
"14/01290/B","Installation of decking, skylight, front door, replacement shed and roofing works to dwelling (retrospective)","8 Park Road Douglas Isle Of Man IM2 3EL","PER","23-Dec-14","2014"
"13/01370/D","Erection of illuminated signage and menu board","Jean Pierre's Bistro  Ground Floor  Court Row Chambers Court Row Ramsey Isle Of Man IM8 1JS ","REF","25-Apr-14","2014"
"13/91373/B","Conversion of part of double garage into living accommodation","11 Ennerdale Avenue Onchan Isle Of Man IM3 2EU ","PER","06-Jan-14","2014"
"14/00019/B","Removal of existing detached garage and erection of replacement garage/equipment store","Dreemskerry Farm Dreemskerry Ramsey Isle Of Man IM7 1BF ","REF","16-Apr-14","2014"
"14/00021/B","Alterations and extension to dwelling","21 Sunnydale Avenue Port Erin Isle Of Man IM9 6EU","PER","14-Feb-14","2014"
"14/00023/B","Erection of a single storey extension to rear elevation","28 Ballamaddrell Port Erin Isle Of Man IM9 6BB","PER","14-Feb-14","2014"
"14/00750/B","Demolition of existing and erection of replacement chimney stack","21 Woodbourne Road Douglas Isle Of Man IM1 3HH","PER","04-Aug-14","2014"
"14/00752/B","Window and doorway alterations to rear elevation","Shearwater Andreas Road Dhoor Ramsey Isle Of Man IM7 4EB","PER","31-Jul-14","2014"
"13/91254/B","Alteration and extension to existing attached garage","7 Cleiy Rhennee Kirk Michael Isle Of Man IM6 1HT","PER","03-Jan-14","2014"
"13/91405/B","Alterations, erection of extensions and conversion of outbuilding to provide additional living accommodation","Grangee Ballamanagh Road Sulby Isle Of Man IM7 2HB ","PER","03-Mar-14","2014"
"14/00062/B","Replacement of existing conservatory roof with light weight roof tiles","Far Haven Ballachurry Road Greeba Isle Of Man IM4 3LE","PER","20-Mar-14","2014"
"14/00078/B","Alterations and extension to dwelling and erection of a poly-tunnel","Langdale Ballaleigh Road Kirk Michael Isle Of Man IM6 1HJ","PER","28-Apr-14","2014"
"14/00114/B","Erection of a dwelling with driveway parking","Plot 4 St Patricks View Jurby Isle Of Man IM7 3EX ","PER","28-Mar-14","2014"
"14/00115/B","Alteration to existing vehicular access","Port-E-Candiss Barn Main Road St Johns Isle Of Man IM4 3LJ ","PER","17-Mar-14","2014"
"14/00271/B","Erection of two agricultural buildings to house livestock","Ballaquaggan Farm Douglas Road Ballasalla Isle Of Man IM9 3AD","PER","24-Apr-14","2014"
"14/01059/B","Alterations and extension to existing accommodation on first floor and conversion of second and third floors into two apartments","16 - 18 Castle Street Douglas Isle Of Man IM1 2EU","REF","20-Oct-14","2014"
"14/01142/B","Replacement of existing glazed conservatory roof with roof tiles","9 Cannan Avenue Kirk Michael Isle Of Man IM6 1HE","PER","06-Nov-14","2014"
"14/01194/B","Installation of a replacement front door to dwelling","43 Hildesley Road Douglas Isle Of Man IM2 5AX","PER","21-Nov-14","2014"
"14/00384/B","Creation of field access","Field 612727 Baldrine Farm  Baldrine Road Baldrine Isle Of Man  ","PER","10-Jun-14","2014"
"14/00385/B","Re-positioning of field access with inclusion of visibility splays","Field 312848 Kerrow Glass Mill Road Greeba Isle Of Man IM4 2LB ","REF","20-Jun-14","2014"
"14/00386/CON","Registered Building Consent for the demolition of dwelling and shop (in association with 14/00362/B)","1 & 1A Derby Road Douglas Isle Of Man IM2 3EU","PER","13-Jun-14","2014"
"14/00415/C","Additional use of dwelling as tourist accommodation","Sea View Shore Road Port Erin Isle Of Man IM9 6HL","PER","19-May-14","2014"
"14/00416/B","Erection of extension to replace existing rear elevation conservatory","60 Beech Grove Ballasalla Isle Of Man IM9 2DX","PER","22-May-14","2014"
"14/00417/B","Erection of rear extension and front porch","18 Little Meddow Andreas Isle Of Man IM7 4HY","PER","04-Jul-14","2014"
"14/00842/B","Re-slating of roof, removal of chimney stacks on rear outlet and installation of two roof lights","15 Christian Road Douglas Isle Of Man IM1 2QH","PER","24-Sep-14","2014"
"14/01197/B","Erection of an extension to dwelling","Sea Haven Ballacollister Road Laxey Isle Of Man IM4 7JR","PER","21-Nov-14","2014"
"14/01226/B","Alterations and erection of an extension to premises","Shore Hotel Shore Road Bay Ny Carrickey Port St. Mary Isle Of Man IM9 5LZ","PER","01-Dec-14","2014"
"14/01227/B","Conversion of ground floor into a children's nursery (retrospective)","Diamond House Demesne Road Douglas Isle Of Man IM1 3DS","PER","18-Dec-14","2014"
"14/01228/B","Demolition of existing masonry staircase, erection of a timber balcony and installation of a replacement glazed door","Pinewood Complex Laburnum Road Douglas Isle Of Man IM2 1DE ","PER","11-Dec-14","2014"
"14/01305/B","Removal of existing chimney stacks","1-18 Barna Beg & 1-16 Links Avenue Port St. Mary Isle Of Man ","PER","23-Dec-14","2014"
"14/00910/B","Alterations and refurbishment works to existing building","Thie Quinney Fairfield Avenue Ramsey Isle Of Man IM8 2LS ","PER","12-Sep-14","2014"
"14/00911/B","Installation of replacement windows to front elevation","20 Lime Street Port St. Mary Isle Of Man IM9 5EF","PER","12-Sep-14","2014"
"14/00912/D","Erection of illuminated advertising signage","Unit 7 Tromode Estate Carrs Lane Tromode Douglas Isle Of Man IM4 4QB ","PER","21-Oct-14","2014"
"14/00938/B","Replacement of existing glazed conservatory roof with light weight roof tiles","Fernlea Douglas Road Ballasalla Isle Of Man IM9 2EN","PER","12-Sep-14","2014"
"14/00939/B","Alterations to extend driveway and widen access from highway","Plot 4 - Land At Ballakilley Residential Development Under Construction  Church Road Port St. Mary Isle Of Man  ","REF","12-Sep-14","2014"
"14/00941/D","Erection of advertising signage and installation of window decals","33-35 Victoria Street Douglas Isle Of Man IM1 2LF ","PER","29-Sep-14","2014"
"14/01000/B","Installation of replacement windows to rear elevation and replacement front door","21 Mona Street Peel Isle Of Man IM5 1HJ","PER","24-Sep-14","2014"
"14/01003/B","Demolition of existing boathouse and erection of extension to dwelling","Derbyhaven House Derbyhaven Isle Of Man IM9 1TS ","PER","03-Oct-14","2014"
"14/01080/B","Replacement of existing garage door with a window","20 Kerrocruin Kirk Michael Isle Of Man IM6 1AG","PER","14-Oct-14","2014"
"14/01337/B","Installation of replacement front door, fanlight and ground floor window","5 Lyndale Avenue Peel Isle Of Man IM5 1JY","PER","23-Dec-14","2014"
"13/91035/B","Erection of five detached dwellings with associated garages","Land Adjacent To Ginger Hall Hotel Ballamanagh Road Sulby Isle Of Man  ","REF","02-Jun-14","2014"
"14/01210/B","Erection of a stable block","Field 434711 Stoney Mountain Road Eairy Isle Of Man  ","PER","28-Nov-14","2014"
"14/01212/B","Erection of a building to provide two apartments to replace demolished dwellings","Plot Formerly 1 And 2 The Promenade Port St. Mary Isle Of Man  ","PER","01-Dec-14","2014"
"14/01213/B","Erection of a stable block","Field 334292 Lhoobs Road Eairy Isle Of Man  ","PER","26-Nov-14","2014"
"13/91378/B","Alterations and erection of extension to amalgamate properties to provide fifteen tourist apartments with associated hotel and owners facilities","Mayfair Hotel & The Town House 23 - 24 Loch Promenade Douglas Isle Of Man IM1 2LX","PER","29-Jan-14","2014"
"13/91379/B","Replace existing conservatory roof with lightweight roof tiles","11 Ballalough Estate Andreas Isle Of Man IM7 4HS","PER","22-Jan-14","2014"
"13/91381/B","Erection of entrance walls, pillars and gates (amendment to entrance approved under PA 09/00023/B)","Wardfell (adjacent To Ballavoddan) Phildraw Road Ballasalla Isle Of Man  ","PER","06-Jan-14","2014"
"13/91384/B","Creation of a track","Fields 430864, 430393, 430818 & 430819 Glenmoar Corlea Road Ballasalla Isle Of Man  ","PER","20-Feb-14","2014"
"13/91387/GB","Alterations, erection of extension and relocation and erection of replacement double garage and carport (Amendments to PA 11/01607/GB & PA 13/00226/GB) (In association with 13/01388/CON)","Red House Victoria Road Douglas Isle Of Man IM2 6AQ","PER","22-Jan-14","2014"
"13/01388/CON","Registered Building consent for alterations, erection of extension and relocation and erection of replacement double garage and carport (Amendments to PA 11/01607/GB & PA 13/00226/GB) (In association with 13/91387/GB) Registered Building Nos. 160","Red House Victoria Road Douglas Isle Of Man IM2 6AQ","PER","22-Jan-14","2014"
"13/91486/B","Erection of a new single storey entrance extension","Former Wildlife Trust Office  Millfield Tynwald Mills St Johns Isle Of Man IM4 3AF ","PER","31-Jan-14","2014"
"14/00272/B","Alterations and extensions to building (comprising amendments to PA 12/00489/B)","Douglas Crematorium  Glencrutchery Road Douglas Isle Of Man IM2 6DB","PER","12-May-14","2014"
"14/01215/B","Erection of an implement / store shed","Marown Memorial Playing Fields Old Church Road Crosby Isle Of Man IM4 2HA","PER","01-Dec-14","2014"
"13/91396/B","Erection of an agricultural building","Grangee Farm Ballamanagh Road Sulby Isle Of Man IM7 2HB ","REF","20-Feb-14","2014"
"13/91398/B","Installation of replacement windows to front elevation","1 Mill Court Yard Mill Street Castletown Isle Of Man IM9 1DN","PER","06-Jan-14","2014"
"13/91399/B","Installation of replacement windows to front elevation","2 Mill Court Yard Mill Street Castletown Isle Of Man IM9 1DN ","PER","06-Jan-14","2014"
"13/91401/B","Installation of replacement windows","15 Arbory Road Castletown Isle Of Man IM9 1NA","PER","06-Jan-14","2014"
"14/00660/B","Alterations and extensions to dwelling (comprising amendments to PA 13/00541/B)","17 Cooil Breryck Ramsey Isle Of Man IM8 3HL ","PER","17-Jul-14","2014"
"14/00661/B","Installation of two roof lights in rear roof elevation of dwelling, and re-roofing of dwelling and detached garage","Briarfield Eleanora Drive Douglas Isle Of Man IM2 3NN","PER","20-Oct-14","2014"
"14/00663/B","Erection of front porch extension","15 Silverburn Drive Ballasalla Isle Of Man IM9 2EE","PER","17-Jul-14","2014"
"14/00666/B","Erection of a two storey extension to replace existing conservatory","White House Poortown Road St Johns Isle Of Man IM4 3NQ","REF","11-Jul-14","2014"
"14/00668/B","Erection of a replacement agricultural storage building with concrete hard-standing","Field 224337 Ballacurn Mooar Farm  Ballacurn Road Ballaugh Isle Of Man  ","PER","05-Aug-14","2014"
"14/00669/A","Approval in principle for residential development of four dwellings with access road and new vehicular access from Clenagh Road","Field 131356 Clenagh Road Sulby Isle Of Man  ","REF","17-Jul-14","2014"
"14/01101/B","Removal of a chimney","92 Port E Chee Avenue Douglas Isle Of Man IM2 5EY","PER","30-Oct-14","2014"
"14/00497/C","Additional use of workshop as retail, office, therapy or craft accommodation","2 Quayside Lane Ramsey Isle Of Man IM8 1BL ","PER","16-Jun-14","2014"
"14/00499/B","Erection of an agricultural building","Lower Ballakaighen Farm Ramsey Road Peel Isle Of Man IM5 2AQ","PER","26-Jun-14","2014"
"14/00500/B","Erection of a dwelling with detached garage and associated landscaping","Land Adjacent To Brackenthwaite Port Lewaigue Ramsey Isle Of Man  ","PER","04-Jul-14","2014"
"14/00504/B","Erection of an agricultural building","Ballavell Farm Grenaby Road Ballasalla Isle Of Man IM9 3DP","PER","10-Jun-14","2014"
"14/00506/B","Replace existing glazed conservatory roof with roof tiles","Crosmere Clifton Road North Port St. Mary Isle Of Man IM9 5HB ","PER","10-Jun-14","2014"
"14/01091/B","Installation of a flue to dwelling","19 St Runius Way Glen Vine Isle Of Man IM4 4FH","PER","29-Oct-14","2014"
"14/01166/B","Replacement of existing glazed conservatory roof with roof tiles","The Hawthorns Lezayre Road Ramsey Isle Of Man IM8 2TA","PER","13-Nov-14","2014"
"14/01217/B","Erection of an extension to dwelling","9 Cronk Y Berry Douglas Isle Of Man IM2 6EY","PER","26-Nov-14","2014"
"14/00056/B","Replace existing glazed conservatory roof with roof tiles","Hendre Clenagh Road Sulby Isle Of Man IM7 3AB","PER","28-Feb-14","2014"
"14/00058/F","Registered Building Consent for demolition of existing garage building","28 - 30 Derby Square Douglas Isle Of Man IM1 3LN","PER","17-Apr-14","2014"
"14/00059/B","Installation of fencing to dwelling","Hollin Bank 39 Hollin Bank Braddan Douglas Isle Of Man IM4 4TT ","REF","20-Feb-14","2014"
"14/01249/B","Alterations and erection of extension to existing detached garage","West Hill Farm Jurby Road Lezayre Ramsey Isle Of Man IM7 2EA","PER","01-Dec-14","2014"
"14/01252/B","Erection of an extension to dwelling","Eas Ny Ferrishyn Ballanass Road Lower Foxdale Isle Of Man IM4 3BE ","PER","03-Dec-14","2014"
"14/01253/B","Installation of replacement windows to front elevation of dwelling","4 Lime Street Port St. Mary Isle Of Man IM9 5ED","PER","01-Dec-14","2014"
"14/01261/B","Erection of a first floor extension over existing garage to dwelling","9 The Meadows Douglas Isle Of Man IM2 1NQ","PER","12-Dec-14","2014"
"14/01263/B","Erection of an extension to rear of premises","The Post Office Douglas Street Peel Isle Of Man IM5 1BB ","PER","12-Dec-14","2014"
"14/00084/B","Removal of windows on side elevations and door on rear elevation","12 High View Road Douglas Isle Of Man IM2 5BQ","PER","21-Mar-14","2014"
"14/00086/D","Erection of advertising signage","Old School House Cronkbourne Douglas Isle Of Man IM4 4QH ","PER","09-Dec-14","2014"
"14/00383/B","Alterations and erection of extension to dwelling","Bramhope Plantation Road Port St. Mary Isle Of Man IM9 5AY","PER","12-May-14","2014"
"14/00913/A","Approval in principle to erect a single detached dwelling with garaging with reserved matters of vehicular access","Field 434166 Between Cronk Dhoo & Strooan Mooar St Marks Road Ballasalla Isle Of Man  ","PER","04-Sep-14","2014"
"14/00914/D","Erection of illuminated and non-illuminated signage","55 Victoria Street Douglas Isle Of Man IM1 2LA","PER","04-Sep-14","2014"
"14/00816/D","Erection of advertising signage","Corner Of Derby Road  & Derby Square Douglas Isle Of Man ","PER","14-Aug-14","2014"
"14/00817/TEL","Erection of a replacement 10m high telecommunications monopole accommodating 3 antennas within a glass reinforced plastic shroud","Manx Telecom Transmitter Sunnybank Farm Stoney Mountain Road Foxdale Isle Of Man IM4 3HH ","PER","27-Aug-14","2014"
"14/00853/B","Re-covering of existing asbestos cement roof coverings with slate, removal of two chimney stacks and application of weather protection coating to copings and verge bands","Town Hall The Promenade Port St. Mary Isle Of Man IM9 5DA","PER","22-Aug-14","2014"
"14/00855/TEL","Installation of a replacement 8m high telecommunications monopole accommodating three antennas within a glass reinforced plastic shroud","Manx Telecom Transmitter Methodist Church Hall Baldrine Hill Baldrine Isle Of Man IM4 6DQ ","PER","28-Aug-14","2014"
"14/00857/B","Extension to existing vehicle hard-standing and widening access onto highway","Ivy Bank Lower Foxdale Isle Of Man IM4 3AX ","PER","22-Aug-14","2014"
"14/00859/B","Construction of a detached garage and garden implement store with associated fore court","The Old Vicarage Barracks Road Port St. Mary Isle Of Man IM9 5LP","PER","22-Aug-14","2014"
"14/00860/B","Alterations and extensions to dwelling and creation of additional parking space with access","6 Oatfield Rise Ballasalla Isle Of Man IM9 2HL","REF","22-Aug-14","2014"
"14/00241/B","Alterations and additions to dwelling including the erection of a detached garage (amendments to PA 11/00251/B & PA 12/00032/B)","Carisbrooke Clenagh Road Sulby Isle Of Man IM7 3AD","PER","22-Apr-14","2014"
"13/91348/B","Replacement of existing temporary portakabin with a new portakabin","Outbuilding Glencrutchery Special School Glencrutchery Road Douglas Isle Of Man  ","PER","03-Jan-14","2014"
"13/91411/B","Conversion of existing outbuilding to ancillary living accommodation to include wall and roof alterations (amendments to PA 11/01120/B)","Moorhouse Farm Mount Gawne Road Colby Isle Of Man IM9 4BA","PER","14-Jan-14","2014"
"14/00346/B","Erection of an agricultural building","Glascoe Farm Grenaby Road Dogmills Ramsey Isle Of Man IM7 4AN","PER","10-Jun-14","2014"
"14/00236/B","Erection of nine livestock shelters","Field 230578, 234267, 234455, 234456 & 234252 Kirk Michael Isle Of Man  ","PER","06-May-14","2014"
"14/00347/B","Erection of an agricultural building","Glascoe Farm Grenaby Road Dogmills Ramsey Isle Of Man IM7 4AN","PER","10-Jun-14","2014"
"14/00348/B","Alterations and extensions to provide additional living accommodation and garage","3 Beech Avenue Onchan Isle Of Man IM3 3HQ","PER","03-Jun-14","2014"
"14/00468/GB","Installation of replacement guttering (in association with 14/00469/CON)","St Peter's Church Church Road Onchan Isle Of Man IM3 1BF","PER","10-Jun-14","2014"
"14/00469/CON","Registered Building Consent for the installation of replacement guttering (RB no119 in association with 14/00468/GB)","St Peter's Church Church Road Onchan Isle Of Man IM3 1BF","PER","10-Jun-14","2014"
"14/00984/B","Creation of field access and alterations to provide vehicular access onto highway","Field 524033 Ballaveare Port Soderick Isle Of Man  ","PER","18-Sep-14","2014"
"14/00986/B","Extension to existing office building to provide additional work space and staff facilities and creation of external seating area","Dandara Group Head Office  Isle Of Man Business Park Cooil Road Braddan  Isle Of Man IM2 2SA ","PER","17-Sep-14","2014"
"14/01014/B","Erection of a single storey extension to rear elevation","27 Ridgeway Road Onchan Isle Of Man IM3 1HT","PER","31-Oct-14","2014"
"13/91445/B","Alterations and extension to warehouse premises","K C Foods   Hills Meadow Industrial Estate Douglas Isle Of Man IM1 5EA ","PER","11-Mar-14","2014"
"13/91457/B","Alterations, erection of replacement garage and single storey rear extension","19 First Avenue Douglas Isle Of Man IM2 6BA","PER","14-Feb-14","2014"
"13/91459/B","Installation of four replacement balcony panels (amendment to PA 13/00543/B)","Brewery Wharf Apartments   Brewery Wharf Castletown Isle Of Man IM9 1ES ","PER","10-Jan-14","2014"
