Decisions issued under delegated authority 1/1/17 - 31/12/17,,,,
Proposal,Address,Decision,Date decision issued,Planning Application No
"Partial demolition of lean to extension, increase level and replacement of existing roof and creation of double doors",Island Seafare The Quay Port St. Mary Isle Of Man IM9 5EA ,PER,15-Feb-17,16/01387/B
Erection of signage,Clinch's Bank Hill Douglas Isle Of Man IM1 4LJ,PER,26-Jan-17,16/01388/D
Replacement of existing sun lounge with new single storey extension to rear of dwelling,Maple Dene 12 Devonshire Crescent Douglas Isle Of Man IM2 3RD,PER,28-Jul-17,17/00654/B
Replacement of existing raised timber decking with raised masonry decking with glazed balustrade,46 Howe Road Onchan Isle Of Man IM3 2AZ,PER,06-Sep-17,17/00704/B
Alterations and erection of extension,The Cronk Smeale Road Andreas Isle Of Man IM7 4JA,PER,30-Aug-17,17/00705/B
Installation of replacement roof slates,24 Albany Road Douglas Isle Of Man IM2 3NG,PER,30-Aug-17,17/00706/B
Application to make lawful the installation of replacement front windows,Flat 2   17 Hutchinson Square Douglas Isle Of Man IM2 4HT,CLAWA,07-Sep-17,17/00821/LAW
Erection of a rear sun room (retrospective),4 Shirragh Way Port Erin Isle Of Man IM9 6FA,PER,14-Sep-17,17/00822/B
Erection of security fencing to perimeter of site,Central Creamery Ballafletcher Farm Road Cronkbourne Douglas Isle Of Man IM4 4QE ,PER,23-Nov-17,17/00861/B
Removal of earth bank and the creation of a temporary car park for a period of 4 years (retrospective),"Fields 521888 And 521895, Between Isle Of Man Business Park And Cooil Road Douglas Isle Of Man  ",PER,29-Nov-17,17/00878/B
Erection of summerhouse in rear garden,West Winds 37 Ballanard Road Douglas Isle Of Man IM2 5HB,PER,23-Nov-17,17/00979/B
Extension of paved parking area and widening of existing vehicular access,6 Mull View Kirk Michael Isle Of Man IM6 1AQ,PER,31-May-17,17/00312/B
Installation of one illuminated sign,Shoprite Bridson Street Port Erin Isle Of Man IM9 6AL,PER,23-Jun-17,17/00445/D
Replacement of existing polycarbonate roof to annex with tiled roof,20 Beech Avenue Onchan Isle Of Man IM3 3HQ,PER,06-Jul-17,17/00579/B
Reserved matters application for the erection of single storey dwelling with parking (in connection with approval granted under PA16/00240/A),Land At Ballacashin Farm Abbeylands Isle Of Man  ,PER,06-Sep-17,17/00646/REM
Replacement of conservatory with extension on same footprint,14 Ramsey Road Peel Isle Of Man IM5 1UB,PER,27-Oct-17,17/00981/B
