Decisions issued under delegated authority 1/1/11 - 31/12/11,,,,
Proposal,Address,Decision,Date decision issued,Planning Application No
Additional use of existing residential apartment as tourist accommodation,Apartment 1 Castleview Apartments  5 Marine Parade Peel Isle Of Man  ,PER,05-Apr-11,11/00190/C
Installation of roof lights to dwelling,20 Hailwood Avenue Douglas Isle Of Man IM2 7AB,PER,28-Mar-11,11/00192/B
Erection of a sun room extension,9 Carrick Bay View Colby Isle Of Man IM9 4DD ,PER,23-Mar-11,11/00193/B
Erection of an extension to dwelling,8A Crown Street Peel Isle Of Man IM5 1AJ,PER,23-Mar-11,11/00194/B
Extension to front elevation of dwelling,20 Ennerdale Avenue Onchan Isle Of Man IM3 2DL ,PER,23-Mar-11,11/00202/B
Operation of a catering business (Retrospective),B & Q Car Park Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QT,PER,20-Jan-11,10/01687/B
Reinstate balcony railings to first floor of dwelling,65 Derby Square Douglas Isle Of Man IM1 3LR,PER,01-Mar-11,10/01688/B
Conversion of existing hotel into eight apartments,Nelson Hotel  11 Mona Drive Douglas Isle Of Man IM2 4LG,REF,21-Feb-11,10/01698/B
Installation of replacement windows and creation of vehicular access to rear,61 Derby Road Douglas Isle Of Man IM2 3EW,PER,27-May-11,10/01708/B
Installation of an air conditioning condenser unit on side elevation  (In association with 10/01713 CON),Barclays Bank Market Square Castletown Isle Of Man IM9 1LQ,PER,18-Jan-11,10/01712/GB
"Registered Building Consent for the installation of an air conditioning condenser unit on side elevation, RB no 30 (In association with 10/01712 GB)",Barclays Bank Market Square Castletown Isle Of Man IM9 1LQ,PER,18-Jan-11,10/01713/CON
Alterations and erection of extensions to dwelling,18 King Orry Road Glen Vine Isle Of Man IM4 4ES,PER,26-Jan-11,10/01216/B
Replacement of three chimney stacks and re roofing works to eight properties,No's 1 - 8 Ballafesson Road Port Erin Isle Of Man ,PER,25-Jan-11,10/01760/B
Erection of a conservatory to rear of dwelling,20 Ballacubbon Ballabeg Castletown Isle Of Man IM9 4HR,PER,20-Jan-11,10/01802/B
"Erection of bollards, metal panels and chains to parking area (Retrospective)",32 Malew Street Castletown Isle Of Man IM9 1AF,REF,23-Feb-11,11/00090/B
Erection of stables,Leodest Farm Leodest Road Andreas Isle Of Man IM7 3EG ,PER,14-Mar-11,11/00132/B
"Erection of an office building (Block A) with associated drainage works, car parking and landscaping",Field 521895 Between Cooil Road And MEA Building  Isle Of Man Business Park Braddan     ,PER,23-Mar-11,11/00170/B
"Installation of additional windows and roof lights, removal of chimney stack",Ny Clyst Lheaney Road Ramsey Isle Of Man IM8 2JF,PER,23-Mar-11,11/00183/B
"Drilling of borehole, installation of submersible pump and ancillary equipment",Unit 2  Port Way Balthane Industrial Estate Ballasalla Isle Of Man IM9 2AJ ,PER,21-Apr-11,11/00184/B
Alterations and erection of extensions to dwelling house,Fairhaven 3 Ballagarey Close Glen Vine Isle Of Man IM4 4EG,PER,26-Jan-11,10/01218/B
