Decisions issued under delegated authority 1/1/14 - 31/12/14,,,,
Proposal,Address,Decision,Date decision issued,Planning Application No
Installation of replacement windows to dwelling,Whitebridge St Georges Crescent Port Erin Isle Of Man IM9 6HR,PER,02-Jun-14,14/00478/B
Retention of two steel storage containers and temporary hard-standing for a further period of 12 months (retrospective),Field 524767 Saddle Road Douglas Isle Of Man  ,PER,18-Jun-14,14/00481/B
Erection of raised decking with landscaping (part retrospective),Sunny Mount The Level Colby Isle Of Man IM9 4AF,PER,04-Jun-14,14/00482/B
Alterations and erection of extension to dwelling,Sunnymead Bibaloe Beg Road Onchan Isle Of Man IM4 5AD,PER,02-Jun-14,14/00301/B
Enclosure of balconies,104 - 105 Kings Court Ramsey Isle Of Man IM8 1LJ ,PER,17-Apr-14,14/00303/B
Retrospective application for amendments to approved landscaping scheme relating to Cross Garden (In association with PA 13/01383/CON),St German's Cathedral Derby Road Peel Isle Of Man IM5 1HH,PER,29-Jan-14,13/91382/GB
Registered Building Consent for amendments to approved landscaping scheme relating to Cross Garden (RB no 204 in association with 13/91382/GB),St German's Cathedral  Derby Road Peel Isle Of Man IM5 1HH,PER,29-Jan-14,13/01383/CON
Clear and grade waste ground to north of existing barn to create a schooling arena for use in conjunction with existing commercial equine business,Church Farm Great Meadow Castletown Isle Of Man  ,PER,09-Jan-14,13/91385/B
Extension and conversion of existing garage into a two storey dwelling with associated parking,Garage Well Cottage Rocky Road Bradda East Port Erin Isle Of Man  ,REF,14-Feb-14,14/00009/B
Additional use of existing dwelling as tourist accommodation,Baljean Dandy Hill Port Erin Isle Of Man IM9 6HN,PER,20-Feb-14,14/00012/C
Replacement of existing flat-roof deck on balcony and access doorway (In association with 14/00014/CON),Cadran Cottage Ballanard Road Douglas Isle Of Man IM2 5PN,PER,17-Apr-14,14/00013/GB
Fitting of a pitched roof over existing garage,62 Bray Hill Douglas Isle Of Man IM2 5BG,PER,31-Jan-14,13/91503/B
Registered Building Consent for replacement of existing flat- roof deck on balcony and access doorway ( RB No 166 in association with 14/0013/GB),Cadran Cottage Ballanard Road Douglas Isle Of Man IM2 5PN,PER,17-Apr-14,14/00014/CON
Erection of a detached garage,38 Derby Road Peel Isle Of Man IM5 1HP,PER,21-May-14,14/00393/B
Erection of a wall near to vehicular access,The Forge (formerly The Hop Garden) Mount Murray Douglas Isle Of Man IM4 1JE ,PER,12-May-14,14/00395/B
Erection of a conservatory to front elevation of dwelling,25 Ballaquane Park Peel Isle Of Man IM5 1PU,PER,21-May-14,14/00397/B
"Alterations, erection of a porch and creation of roof dormers to dwelling",Traa Dy Looar 9 Ballastrooan Colby Isle Of Man IM9 4NR,PER,26-Jun-14,14/00595/B
Conversion of ground floor from cafe / bar to a disco / nightclub,7 - 17 Wellington Street Douglas Isle Of Man IM1 2PQ,PER,28-Jul-14,14/00675/B
Erection of two detached agricultural buildings,Ballavarry Farm Bernahara Road Andreas Isle Of Man IM7 3HH,PER,28-Aug-14,14/00679/B
Conversion of dwelling to provide three self-contained apartments,54 Parliament Street Ramsey Isle Of Man IM8 1AN,REF,07-Aug-14,14/00745/B
"Construction of a private therapeutical pool and physiotherapy room, alterations below living area to create plant room and storage",Abbeycourt Abbeylands Isle Of Man IM4 5ED ,PER,07-Aug-14,14/00755/B
"Reinstatement of windows, previously adjusted to form entrance doors, to match existing elevation and removal of existing and installation of replacement AC units",Lloyds Banking Group Peveril Building Peveril Square Douglas Isle Of Man IM1 2BS,PER,14-Aug-14,14/00812/B
"Erection of a multi-purpose agricultural building for the housing of livestock and storage of feed, hay, straw and agricultural machinery ancillary to the farm and associated land",Ballarhenny Farm Orrisdale Kirk Michael Isle Of Man IM6 2HJ ,PER,22-Aug-14,14/00813/B
Erection of three detached dwellings with integral garages,Gardens At Rear Of 9 And 10 Glen Darragh Gardens Glen Vine Isle Of Man  ,PER,28-Aug-14,14/00841/B
Installation of replacement windows and front door,Sea Bank Shore Road Port Erin Isle Of Man IM9 6HW,REF,02-Jun-14,14/00452/B
Erection of a dwelling (comprising amendments to PA 10/01130/B),Plot 2 At The Spinney Baldrine Hill Baldrine Isle Of Man  ,PER,05-Jun-14,14/00454/B
Installation of replacement windows,Flat 3 1 The Esplanade Central Promenade Douglas Isle Of Man IM2 4LR ,PER,16-Jun-14,14/00456/B
Erection of summer house/store to replace existing greenhouse/shed,Melvaig House 32 The Park Onchan Isle Of Man IM3 1HS,PER,16-Jun-14,14/00457/B
Alterations and extensions to dwelling,3 Bayr Grianagh Castletown Isle Of Man IM9 1HJ,PER,10-Jun-14,14/00462/B
"Conversion of existing retail shop into an extension of adjacent Bridge Inn public house, including replacement front tiles",1 Quines Corner Douglas Isle Of Man IM1 4LF ,REF,04-Jul-14,14/00463/B
Erection of extension over existing garage to rear elevation,11 Derby Square Douglas Isle Of Man IM1 3LS,PER,11-Sep-14,14/00843/B
Erection of two polytunnels adjacent to the highway (partial retrospective),Ballaglonney Main Road Crosby Isle Of Man IM4 2DJ,PER,11-Sep-14,14/00844/B
Alterations and erection of an extension to dwelling,Corona Alexander Drive Douglas Isle Of Man IM2 3QN ,PER,12-Sep-14,14/00953/B
Erection of extension to and conversion of takeaway and living accommodation to a restaurant with associated storage,35 Castle Street Douglas Isle Of Man IM1 2HA,PER,12-Sep-14,14/00955/B
"Alterations to approved office building including changes to windows, creation of a fenced hard standing area to accommodate external plant and erection of three flag poles",Site Adjacent To Buchanan BMW & Dandara Head Office Vicarage Rise Isle Of Man Business Park Douglas Isle Of Man,PER,11-Dec-14,14/01223/B
Erection of a detached dwelling with integral garage (amended house type from previously approved PA 13/91392/B),Nos.84 (plot 7) Cronk Cullyn Colby Isle Of Man  ,PER,09-Dec-14,14/01224/B
Installation of replacement windows to front elevation,The Loch Hotel 33 - 34 Loch Promenade Douglas Isle Of Man IM1 2LY,REF,12-Dec-14,14/01258/B
Alterations and two storey extension to front elevation and a new front boundary wall,16 The Fairway Onchan Isle Of Man IM3 2EL,PER,23-Dec-14,14/01296/B
Installation of illuminated restaurant signage,Old Isle Of Man Bank Bowring Road Ramsey Isle Of Man IM8 2LQ ,PER,29-Jan-14,13/01472/D
Installation of replacement windows to front elevation,Esholt Quarterbridge Road Douglas Isle Of Man IM2 3RJ,PER,25-Apr-14,14/00280/B
Conversion of dwelling to provide two apartments including removal of chimney stacks and installation of replacement windows,54 Parliament Street Ramsey Isle Of Man IM8 1AN,PER,04-Jun-14,14/00284/B
Change of use of premises from staff accommodation to guest house/hotel,Balmoral Hotel 49 Loch Promenade Douglas Isle Of Man IM1 2LZ,PER,04-Sep-14,14/00917/C
Conversion of existing detached games room to ancillary living accommodation,Renacre Main Road Santon Isle Of Man IM4 1EJ,PER,16-Sep-14,14/00918/B
Additional use of residential garage for the operation of a blind cleaning business,20 Hailwood Avenue Douglas Isle Of Man IM2 7AB,PER,06-Nov-14,14/01141/C
Erection of first floor extension over existing rear kitchen extension,13 Oxford Street Douglas Isle Of Man IM1 3JD,PER,28-Mar-14,14/00169/B
Erection of an extension to provide a garage to dwelling,Lieh Acyr Port E Vullen Ramsey Isle Of Man IM7 1AN ,PER,20-Feb-14,13/91507/B
"Alterations, erection of a replacement extension, and demolition of chimney",South Lodge The Level Colby Isle Of Man IM9 4AF,PER,27-Feb-14,13/91510/B
Erection of a replacement detached garage with first floor tourist living accommodation above with associated parking,Lowfield Stoney Road Laxey Isle Of Man IM4 7NQ,PER,28-Feb-14,13/91512/B
Replacement of existing glazed conservatory roof with roof tiles,3 Larch Hill Douglas Isle Of Man IM2 5NQ,PER,07-Apr-14,14/00234/B
Installation of roof lights and sun pipes (partial retrospective),Belvedere Court Mooragh Promenade Ramsey Isle Of Man IM8 3AG,PER,10-Apr-14,14/00237/B
Installation of replacement windows and door to rear elevation,13 Queens Terrace Douglas Isle Of Man IM1 4BZ,PER,04-Jul-14,14/00427/B
Replace existing large window with two smaller windows to front elevation,9 Christian Street Peel Isle Of Man IM5 1NW,PER,31-Jul-14,14/00613/B
Erection of five facade mounted flagpoles and two ground mounted flag poles (in association with 14/00617/CON),The Douglas And Clarendon Hotel North Quay Douglas Isle Of Man IM1 4LA,PER,08-Jul-14,14/00616/GB
Erection of extension to rear elevation and extension of rear dormer,22 Scarlett Road Castletown Isle Of Man IM9 1NU,PER,14-Feb-14,14/00006/B
"Alterations, erection of an extension and demolition of existing two storey extension to rear of dwelling",Geay Varrey 1 Ballaquane Road Peel Isle Of Man IM5 1PP,PER,22-May-14,14/00407/B
Erection of an extension to replace existing conservatory to dwelling,15 Cronk Cardle Corony Ramsey Isle Of Man IM7 1ET,PER,22-May-14,14/00410/B
Installation of a replacement window (in association with 14/00413/CON),Mysore Cottages 37 Waterloo Road Ramsey Isle Of Man IM8 1DX,PER,20-Jun-14,14/00412/GB
Registered Building consent for the installation of a replacement window (in association with 14/00412/GB) Registered Building Nos. 10,Mysore Cottages 37 Waterloo Road Ramsey Isle Of Man IM8 1DX,PER,20-Jun-14,14/00413/CON
"Registered Building Consent for renovation, alterations and improved layout to five existing flats and part demolition, extension and creation of a restaurant/coffee shop on ground floor with first floor rear terrace (RB no 66 in association with 13/00532",Stanley House Castle Street Castletown Isle Of Man IM9 1LF ,PER,21-May-14,13/00533/CON
"Creation of an all weather equestrian manege arena, use of buildings and field numbers 121869,121840, and 124237 for equestrian or agricultural use",Land At Ballacorey Farm  Ballacorey Road Andreas Isle Of Man  ,PER,14-Mar-14,13/91247/B
Erection of agricultural buildings and erection of extensions to existing agricultural buildings,Ballachrink Moar Farm Ramsey Road Laxey Isle Of Man IM4 7PP,PER,11-Sep-14,13/91307/B
Alterations and erection of extension to provide a garage and additional living accommodation,10 Viking Hill Ballakillowey Colby Isle Of Man IM9 4BJ,PER,03-Mar-14,14/00121/B
Erection of an extension to rear elevation,1 Furman Road Onchan Isle Of Man IM3 1BS,PER,06-Mar-14,14/00123/B
Alterations to vehicular access and driveway,Ballacowle Bungalow Agneash Laxey Isle Of Man IM4 7NP ,PER,06-Jan-14,13/91323/B
Erection of a dwelling with detached garage block (amendment to PA 13/00712/B),Plot 17 Ballanard Woods Ballanard Road Douglas Isle Of Man  ,PER,06-Jan-14,13/91324/B
Erection of a detached garage (comprising amendments to PA 12/00814B),Shellag Farm House Bride Road Bride Isle Of Man IM7 4AR,PER,26-Jun-14,14/00596/B
Replacement of existing polycarbonate conservatory roof with light weight roof tiles,34 Clifton Drive Ramsey Isle Of Man IM8 3NG,PER,26-Jun-14,14/00597/B
Replacement of existing polycarbonate conservatory roof with light weight roof tiles,Ballagarey Beg Main Road Glen Vine Isle Of Man IM4 4AZ,PER,04-Jul-14,14/00598/B
Re-rendering exterior walls to match neighbouring properties,Edensor Quarterbridge Road Douglas Isle Of Man IM2 3RJ,PER,10-Oct-14,14/01015/B
Erection of safety balustrade around patio area created by removed conservatory,Oasis   4 Perwick Bay Apartments Perwick Road Port St. Mary Isle Of Man IM9 5PD,PER,30-Sep-14,14/01016/B
Erection of a detached dwelling with associated garage,Plot 2 Off Station Road St Johns Isle Of Man  ,PER,21-Nov-14,14/01203/B
Approval in principle for the erection of a dwelling to replace existing stables,Land And Stables Adjacent To Stovell Tromode Road Douglas Isle Of Man  ,PER,17-Apr-14,14/00053/A
Removal of chimney stack,1 Windermere Avenue Onchan Isle Of Man IM3 2DT,PER,21-Mar-14,14/00092/B
"Erection of a single storey extension to replace existing, to rear elevation",Crofton Crossag Road Ballasalla Isle Of Man IM9 3DX,PER,03-Mar-14,14/00094/B
Erection of advertising signage,16 Victoria Street Douglas Isle Of Man IM1 2LQ,PER,21-May-14,14/00225/D
Erection of single storey extension to south elevation,Eden Field Ballachurry Road Greeba Isle Of Man IM4 3LE,PER,23-Apr-14,14/00266/B
Alterations and erection of extension to dwelling,Close Chairn Cottage St Judes Road Sulby Isle Of Man IM7 2ES,PER,16-May-14,14/00279/B
Installation of a balcony to replace existing to rear elevation,Seaward Bridge Street Castletown Isle Of Man IM9 1AX,PER,17-Apr-14,14/00285/B
Erection of a conservatory to rear elevation,7 Manor Park Onchan Isle Of Man IM3 2EW,PER,17-Apr-14,14/00287/B
Erection of a dwelling with temporary sales office in garage (amendment to approved dwelling under PA 13/00777/B),Plot 1 - Land At Ballakilley Church Road Port St. Mary Isle Of Man  ,PER,29-Apr-14,14/00288/B
Erection of a first floor extension to dwelling,6 Ballacriy Park Colby Isle Of Man IM9 4LS,PER,06-May-14,14/00289/B
Erection of an agricultural building,Kerrow Glass Mill Road Greeba Isle Of Man IM4 2LB ,REF,24-Jun-14,14/00387/B
Demolition of existing commercial buildings and erection of two town houses (amendments to PA 09/01624/B),2 - 4 Derby Square Douglas Isle Of Man IM1 3LS ,PER,13-Jun-14,14/00390/B
Removal of two chimney stacks,Seamount Bay View Road Port St. Mary Isle Of Man IM9 5AG,REF,13-May-14,14/00391/B
Erection of extension to existing barn,Ashford Farm Tosaby Road Eairy Isle Of Man IM4 3HY,REF,03-Jun-14,14/00477/B
Erection of  timber stables block with tack/feed and hay shed,Pine View Sulby Glen Sulby Isle Of Man IM7 2AZ,REF,10-Jun-14,14/00479/B
Conversion of retail unit to a dental aesthetic clinic,10 Malew Street Castletown Isle Of Man IM9 1AB,PER,13-Jun-14,14/00557/B
Erection of an extension to dwelling (retrospective),Confederate Cottage Cranstal Bride Isle Of Man IM7 4BR ,PER,10-Nov-14,14/00558/B
Alterations to vehicle lay-by / drop-off area,Onchan Primary School School Road Onchan Isle Of Man IM3 4PD,PER,16-Jul-14,14/00629/B
Removal of windows and installation of classroom access doors / side screens,Manor Park Primary School Pulrose Road Douglas Isle Of Man IM2 1AT,PER,16-Jul-14,14/00631/B
Erection of an extension to side elevation of dwelling,16 Meadowbrook Gardens Douglas Isle Of Man IM2 2NT,PER,18-Jul-14,14/00636/B
"Alterations, erection of a two storey extension to rear elevation and creation of a parking area and access",92 Bucks Road Douglas Isle Of Man IM1 3AG ,PER,08-Jul-14,14/00639/B
"Replacement of existing conservatory with sun lounge extension, enlargement of existing dormers and installation of roof lights",19 Ballanard Road Douglas Isle Of Man IM2 5HA,PER,10-Nov-14,14/00991/B
"Installation of replacement guttering, timber soffits and facias and replacement garden door and lintel (in association with 14/00995/CON)",9 Victoria Terrace Douglas Isle Of Man IM2 4EU,PER,27-Oct-14,14/00994/GB
Removal of a chimney stack,Ingleside Vernon Road Ramsey Isle Of Man IM8 2EG,PER,31-Oct-14,14/01119/B
Replacement of existing glazed conservatory roof with light weight roof tiles,32 Laurel Avenue Onchan Isle Of Man IM3 3JF,PER,14-Aug-14,14/00820/B
Erection of advertising signage,Milbourn House 13 St Georges Street Douglas Isle Of Man IM1 1AJ ,PER,22-Aug-14,14/00821/D
Installation of replacement windows to front and rear elevations,6 Belmont Terrace Douglas Isle Of Man  ,PER,14-Aug-14,14/00822/B
Erection of extension to rear of dwelling and pitched roof over garage and widening of existing driveway,High Mount Ballakillowey Road Colby Isle Of Man IM9 4BD,PER,14-Aug-14,14/00824/B
Installation of replacement windows to front and side elevations,19 Stanley Road Peel Isle Of Man IM5 1NY,PER,11-Sep-14,14/00848/B
Alterations to car park entrance,Merton Bank Car Park Allan Street Douglas Isle Of Man  ,PER,22-Aug-14,14/00849/B
Conversion and erection of extension to former barn to create a detached residential dwelling with garage,Plot 2 Kerrowdhoo Farm Cranstal Bride Isle Of Man  ,PER,20-Oct-14,14/00854/B
Erection of a sunroom to rear elevation of dwelling (retrospective),6 Lhoan Pibbin Vane Reayrt Ny Cronk Peel Isle Of Man IM5 1GR ,PER,12-Sep-14,14/00933/B
Demolition of existing laundry building and three separate industrial buildings (In association with 13/01248/CON),Former Laundry Building  Tromode Estate Carrs Lane Tromode Douglas Isle Of Man IM4 4RB ,PER,03-Jan-14,13/91246/F
Alterations to vehicular access,Eaglehurst Belmont Hill Douglas Isle Of Man IM1 4NY,PER,24-Jan-14,13/91481/B
Rendering works to three chimney stacks,43 To 47 Heywood Grove Onchan Isle Of Man IM3 3AH,PER,14-Mar-14,14/00015/B
Installation of replacement windows and doors to dwelling,Brookside Main Road Kirk Michael Isle Of Man IM6 1ED,PER,20-Feb-14,14/00016/B
"Erection of a conservatory to replace existing decking, erection of a porch and removal of a chimney stack to dwelling",106 Ballabrooie Drive Douglas Isle Of Man IM1 4HQ,PER,13-Nov-14,14/01182/B
Erection of a detached garage and installation of a patio door to replace an existing window to side elevation,7A Balleigh Park Ramsey Isle Of Man IM8 3NL,PER,05-Dec-14,14/01185/B
Installation of replacement windows and front door,Bridge House Glen Road Colby Isle Of Man IM9 4NT,PER,18-Dec-14,14/01264/B
Replacement of existing glazed conservatory roof with roof tiles,14 Hillcroft Rise Douglas Isle Of Man IM2 7EE,PER,12-Dec-14,14/01265/B
Alterations and installation of an activity wall,"Playground, Off Anagh Coar Road Douglas Isle Of Man  ",PER,12-Dec-14,14/01266/B
Installation of a dormer window and gable window to dwelling,40 Mountain View Peel Isle Of Man IM5 1QF ,PER,21-Mar-14,14/00164/B
"Erection of a hospitality facility for the TT and Festival of Motorcycling, including use for additional events, as detailed in the agent's email of 11th February 2014",Part Of Playing Fields Nobles Park Douglas Isle Of Man  ,PER,07-May-14,14/00170/B
Replacement of existing glazed conservatory roof with tiles,29 Ballellis Ballawattleworth Estate Peel Isle Of Man IM5 1WZ ,PER,21-Mar-14,14/00172/B
Erection of a lean-to storage area in rear yard,4 Charles Street Peel Isle Of Man IM5 1AF,PER,13-Jun-14,14/00304/B
Installation of replacement windows to end gable,Bridge Cottage Bridge Street Castletown Isle Of Man IM9 1AX ,PER,25-Apr-14,14/00305/B
Installation of two roof lights,Flat 5 7 Clarence Terrace Central Promenade Douglas Isle Of Man IM2 4LS ,PER,04-Jun-14,14/00402/B
Erection of a two storey extension to dwelling,Swallows Landing Cranstal Bride Isle Of Man IM7 4BP ,REF,18-Jun-14,14/00403/B
Erection of a conservatory to rear elevation of dwelling,19 Lakeside Road Douglas Isle Of Man IM2 7BL,PER,16-Jul-14,14/00622/B
Erection of a replacement dwelling with detached garage and creation of improved vehicular access (comprising amendments to PA 14/00381/B),Ballaveare Old Castletown Road Port Soderick Isle Of Man IM4 1BB,PER,23-Dec-14,14/01320/B
Erection of a detached stable block,Field 430847 Curpheys Croft Corlea Road Ballasalla Isle Of Man  ,PER,29-Dec-14,14/01321/B
Erection of five detached dwellings (change of house types from those approved under PA 13/91289/B) with access road and public open space,"Plots 57, 58, 59, 60 & 65 And Adjoining Highway / Public Open Space Of Approved Residential Development (Slieau Whallian View) Field 311826  Between Poortown Road & QE2 High School East Of Reayrt Ny Cronk  Peel",PER,23-Dec-14,14/01323/B
Enclosure of balcony,805 Kings Court Ramsey Isle Of Man IM8 1LP ,PER,16-Jul-14,14/00625/B
"Alterations, erection of extension and creation of dormer windows to dwelling",12 Birch Hill Avenue Onchan Isle Of Man IM3 4EW,PER,16-Jul-14,14/00627/B
Replace existing glazed conservatory roof with roof tiles,14 Hillberry Meadows Douglas Isle Of Man IM2 7BJ,PER,18-Jul-14,14/00727/B
Erection of a sun lounge extension to replace existing conservatory,35 Oak Road Ballawattleworth Peel Isle Of Man IM5 1WB ,PER,16-Sep-14,14/00944/B
Alterations and extension to dwelling,17 Sunnybank Avenue Onchan Isle Of Man IM3 3BW,PER,10-Oct-14,14/00945/B
Conversion of existing office accommodation to an apartment,Clinches Tower  Clinches Court Douglas Isle Of Man IM1 4LJ,PER,12-Sep-14,14/00946/B
"Alterations, erection of a porch to front and erection of a two storey extension to rear elevation of dwelling",2 Princes Terrace Minorca Hill Laxey Isle Of Man IM4 7DR ,PER,10-Oct-14,14/00978/B
"Installation of replacement roof slates, alterations and installation of replacement windows to front dormer and alterations to rear roof light",11 Summerhill Douglas Isle Of Man IM2 4PG,PER,24-Sep-14,14/00980/B
Erection of replacement garage,Cronk Urleigh Lodge Douglas Road Kirk Michael Isle Of Man IM6 1AU,PER,14-Jan-14,13/91407/B
Erection of illuminated and non illuminated signage,Isle Of Man Food Park Mill Road Peel Isle Of Man  ,PER,24-Jan-14,13/01471/D
Installation of two replacement roof lights,Talbot Chambers 18 Athol Street Douglas Isle Of Man IM1 1JA ,PER,31-Jan-14,13/91474/B
Erection of a summer house,Garden House Clay Head Road Baldrine Isle Of Man IM4 6DP,PER,14-Feb-14,14/00024/B
Erection of signage,Little Acre Quarterbridge Road Douglas Isle Of Man IM2 3RH,PER,20-Feb-14,14/00061/D
Change of use of function room to a golf shop and teaching room,Ramsey Golf Club House Brookfield Avenue Ramsey Isle Of Man IM8 2AH,PER,28-Feb-14,14/00063/C
Approval in principle for the erection of a dwelling,Land Adjacent To Rydal Mount Main Road Baldrine Isle Of Man IM4 6AE,REF,20-Feb-14,14/00065/A
Erection of a two storey extension to replace existing single storey attached garage,2 Campion Way Douglas Isle Of Man IM2 7DU,PER,28-Mar-14,14/00183/B
Replace existing flat roof to garage with a pitched roof,Highfield Bibaloe Beg Road Onchan Isle Of Man IM4 5AD,PER,20-Feb-14,13/91447/B
"Conversion of existing outbuilding into three dwellings, including demolition of rear annex and erection of three front elevation extensions",Upper Billown Farm Grenaby Road Ballasalla Isle Of Man IM9 3DP,PER,03-Dec-14,14/00988/B
Creation of new window and alteration of existing window on side elevation of terraced dwelling approved under PA 13/00725/B,Plot 1 Residential Development   Land Adjacent To Princess Towers Maine Road Port Erin Isle Of Man  ,PER,28-Mar-14,14/00184/B
Change of use from existing police station to a community centre,Police House Pulrose Road Douglas Isle Of Man IM2 1AS ,PER,21-Mar-14,14/00185/C
Alterations and conversion of outbuilding to a dwelling,Magher Breck Quakers Road Cornaa Ramsey Isle Of Man  ,PER,16-Apr-14,14/00230/B
Erection of extension to front elevation,Penley 83 King Edward Road Onchan Isle Of Man IM3 2AS,PER,10-Apr-14,14/00235/B
Registered Building Consent for the erection of company name plate to front elevation (RB no 70 in association with 14/00515/D),The Red House 1 The Parade Castletown Isle Of Man IM9 1LG,PER,04-Jul-14,14/00517/CON
Erection of extension to rear elevation,45 Birch Hill Crescent Onchan Isle Of Man IM3 3DQ,PER,10-Jun-14,14/00520/B
"Alterations, erection of a dormer extension and rear extension to dwelling",1 Ash Grove Ramsey Isle Of Man IM8 3HT,REF,12-Dec-14,14/01269/B
Erection of a conservatory to rear elevation of dwelling,54 Laurel Avenue Onchan Isle Of Man IM3 3JG,PER,07-May-14,14/00298/B
Erection of a porch and bay extension to front elevation of dwelling,Staddle Stones Mount Gawne Road Port St. Mary Isle Of Man IM9 5LX ,PER,30-Oct-14,14/01123/B
Erection of an extension to rear elevation of dwelling,31 Queens Drive Peel Isle Of Man IM5 1BQ,PER,21-Nov-14,14/01124/B
Alterations and first floor extension to dwelling,La Serene Little Mill Road Onchan Isle Of Man IM4 5BQ,REF,24-Nov-14,14/01133/B
Replacement of existing glazed conservatory roof with tiles,10 Ashfield Avenue Union Mills Isle Of Man IM4 4LN,PER,28-Feb-14,14/00073/B
Installation of replacement windows and doors to front and rear elevation,3 Glen Road Laxey Isle Of Man IM4 7AB ,PER,23-Apr-14,14/00158/B
Change of use of premises from existing retail to estate agency,21 Parliament Street Ramsey Isle Of Man IM8 1AS,PER,18-Mar-14,14/00159/C
Erection of conservatory to rear elevation,8 Lime Street Port St. Mary Isle Of Man IM9 5ED,PER,08-Jul-14,14/00602/B
Alterations and extension to dwelling,Sycamores West Saint Marys Road Port Erin Isle Of Man IM9 6JJ,PER,05-Aug-14,14/00604/B
Erection of a retaining wall of gabion baskets along the boundary with Manx Electric Railway tracks (retrospective),Land Adjacent To Rockwood  Ramsey Road Laxey Isle Of Man  ,PER,31-Jul-14,14/00757/B
Installation of bi-fold doors to existing shop front (retrospective),Pizza King  2 Southview Queens Promenade Douglas Isle Of Man IM2 4NP ,PER,11-Sep-14,14/00862/B
Replacement of existing felt roof with lead and installation of replacement gutters and rain water down pipes,Grove Rural Life Museum Andreas Road Ramsey Isle Of Man IM8 3UA ,PER,11-Sep-14,14/00864/B
Erection of a single storey extension to replace existing conservatory,13 Groudle View Onchan Isle Of Man IM3 2EX,PER,22-Aug-14,14/00866/B
Variation of condition 2 of PA 96/01394/B by Manx Churches Adoption & Welfare Society to enable the property to be used by any other office user,3 Albany Lane Douglas Isle Of Man IM2 3RN,PER,28-Aug-14,14/00805/C
Landscaping works in Cathedral grounds relating to the erection of three sculptures (in association with PA 14/00807/CON),St German's Cathedral Derby Road Peel Isle Of Man IM5 1HH,PER,01-Dec-14,14/00806/GB
Registered Building Consent for landscaping works in Cathedral grounds relating to the erection of three sculptures (RB no 204 in association with PA 14/00806/GB),St German's Cathedral Derby Road Peel Isle Of Man IM5 1HH,PER,01-Dec-14,14/00807/CON
Construction of porch to existing entrance,4 Mona Street Ramsey Isle Of Man IM8 1BD,PER,28-Aug-14,14/00887/B
Erection of conservatory to rear elevation,Broadmeadows Qualtroughs Lane Ballafesson Port Erin Isle Of Man IM9 6TP,PER,04-Sep-14,14/00890/B
Erection of a first floor extension to dwelling,20 Cronk Y Berry Mooar Douglas Isle Of Man IM2 6HJ,PER,20-Oct-14,14/01079/B
"Erection of flat roof canopy and glazed screen enclosure to main entrance, canopies and ramps to ambulance access areas, single storey extension to extend mortuary facility and creation of additional parking area",Ramsey & District Cottage Hospital Cumberland Road Ramsey Isle Of Man IM8 3RH,PER,27-Nov-14,14/01081/B
Erection of an implement and storage shed for a ride on mower and gardening machinery,Sunnymead Bibaloe Beg Road Onchan Isle Of Man IM4 5AD,REF,14-Mar-14,13/91261/B
Alterations and extension to dwelling (comprising amendments to PA 13/00753/B),Baldrine Lodge Main Road Baldrine Isle Of Man IM4 6ET,PER,17-Jan-14,13/91408/B
Additional use of residential dwelling as tourist accommodation,Cronk Darragh House Ballakeighan Corner Castletown Isle Of Man IM9 4PG ,PER,14-Jan-14,13/91428/C
Creation of a flat roof dormer to rear elevation of dwelling,3 Lower Cronk Orry Minorca Hill Laxey Isle Of Man IM4 7EG ,REF,29-Jan-14,13/91434/B
"Alterations, erection of an extension to replace existing conservatory and installation of replacement windows to dwelling",45 Buttermere Drive Onchan Isle Of Man IM3 2EB,PER,14-Mar-14,13/91527/B
Replacement of existing glazed conservatory roof with light weight roof tiles,1 Queens Valley Ramsey Isle Of Man IM8 1NG,PER,13-Oct-14,14/01053/B
Enclosure of existing open porch,35 Hillberry Heights Douglas Isle Of Man IM2 7BW,PER,12-Dec-14,14/01283/B
Installation of signage,34 Athol Street Douglas Isle Of Man IM1 1JB,PER,08-Jul-14,14/00614/D
Conversion of existing detached garage to a utility/games  room,10 Auburn Road Onchan Isle Of Man IM3 1LW,PER,27-Nov-14,14/01211/B
Erection of an above ground slurry store,Ballakelly Farm Kiondroghad Road Andreas Isle Of Man IM7 3EJ,PER,05-Dec-14,14/01214/B
Refurbishment of original schoolrooms to provide a permanent exhibition centre for the former Knockaloe Internment Camp and erection of extension to provide function room and community centre,Patrick Community Centre  Patrick Corner Patrick Village Isle Of Man IM5 3AL,PER,10-Feb-14,13/91264/B
Installation of a replacement entrance door,Ground Floor Apartment 5 Marine Parade Peel Isle Of Man IM5 1PB ,PER,03-Jan-14,13/91285/B
Dismantling of existing timber steps and stairs and removal of 20th Century masonry blocking from historic door opening along with archaeological removal of existing boatyard backfill,Nautical Museum Bridge Street Castletown Isle Of Man  ,PER,03-Jan-14,13/91286/B
Extension of driveway and vehicular access (retrospective),Dhoon Rushen Surby Road Ballafesson Port Erin Isle Of Man IM9 6TE,PER,03-Jan-14,13/91287/B
Erection of a detached dormer bungalow with integral garage,Land Adjacent To 53 Barrule Park Ramsey Isle Of Man  ,PER,10-Jan-14,13/91292/B
Change of use from office to a pre-school nursery,The Old Chapel  Main Road Union Mills Isle Of Man IM4 4AD,PER,06-Jan-14,13/91391/C
