"id","lat","lon","name","name:en","name:gv","highway","railway","place","natural"
"10145032826","54.144346","-4.728903","Glion ny Coayr","","Glion ny Coayr","","","locality",""
"10145032827","54.146524","-4.73029","Glion Mooar","","Glion Mooar","","","locality",""
"10145032828","54.154938","-4.73029","Gob ny Cameren","","Gob ny Cameren","","","locality",""
"10145032829","54.153585","-4.730029","Fheustal","","Fheustal","","","locality",""
"10145032830","54.160633","-4.737082","Traie Vrish","","Traie Vrish","","","locality",""
"10145032832","54.16861","-4.741543","Creg Mooar","","Greg Mooar","","","locality",""
"10145032833","54.169915","-4.741362","Lhoob Doo","","Lhoob Doo","","","locality",""
"10145032835","54.190108","-4.719821","Gob ny Sharray","","Gob ny Sharray","","","locality",""
"10145032836","54.193059","-4.717791","Gob ny Chassan","","Gob ny Chassan","","","locality",""
"10145032837","54.194564","-4.718575","Traie Lagagh","","Traie Lagagh","","","locality",""
"10145032838","54.195751","-4.718776","Ellan by Maughol","","Ellan ny Maughol","","","locality",""
"10145032839","54.194352","-4.717932","Ooig Vooar","","Ooig Vooar","","","locality",""
"10145032840","54.198302","-4.716927","Gob ny Callin","","Gob ny Callin","","","locality",""
"10145032841","54.201158","-4.714897","Traie Cabbag","","Traie Cabbag","","","locality",""
"10145032842","54.202627","-4.714516","Dreem Long","","Dream Long","","","locality",""
"10145032843","54.206976","-4.71552","Creag Vollan","","Cream Vollan","","","locality",""
"10145032844","54.209374","-4.718856","Cabbyl-ny-lord","","Cabbyl-ny-lord","","","locality",""
"10145032846","54.214838","-4.713029","Cashtal Mooar","","Cashtal Mooar","","","locality",""
"10145032850","54.220548","-4.708467","Bing Buiee","","Bing Buiee","","","locality",""
"10145032851","54.222592","-4.70475","Bing Buiee","","Bing Buiee","","","locality",""
"10145032852","54.221723","-4.706699","Traie Dullish","","Traie Dullish","","","locality",""
"10169149508","54.075052","-4.686887","Ghaw Gortagh","","Ghaw Gortagh","","","locality",""
"10169149509","54.063292","-4.649685","Lheeah-rio","","Lheeah-rio","","","locality",""
"10305031877","54.168886","-4.729359","Dalby","","Delbee","","","hamlet",""
"10700596995","54.306154","-4.369035","Slieau Lewaigue","Slieau Lewaigue","Slieau Lewaigue","","","","peak"
"10858941214","54.218228","-4.632624","Laurel Bank","Laurel Bank","Cronk-y-Killey","","","",""
"11199703693","54.182137","-4.724021","Cronk Mooar ny Traagh","","Cronk Mooar ny Traagh","","","",""
"11204989595","54.235239","-4.400101","St Mary's Chapel","St Mary's Chapel","Keeill Woirrey","","","",""
"11210666761","54.106929","-4.762429","Ghaw Doo","","Ghaw Doo","","","","cave"
"25985930","","","Strawberry Fields","Strawberry Fields","Magheryn Soo-Thallooin","residential","","",""
"25985942","","","Gardener's Lane","Gardener's Lane","Bayr yn Ghareyder","unclassified","","",""
"25985943","","","Ballellis","","Ballellis","residential","","",""
"25985950","","","Bradda West Road","Bradda West Road","Raad Vradda Heear","residential","","",""
"25985960","","","King William's Way","King William's Way","Bayr Ree Illiam","unclassified","","",""
"25985967","","","Reayrt Aalin","","Reayrt Aalin","residential","","",""
"25985975","","","Ballanawin","","Ballanawin","residential","","",""
"25985993","","","Cushag Drive","Cushag Drive","Imman Cushag","residential","","",""
"25986023","","","Braddan Road","Braddan Road","Raad Braddan","primary","","",""
"25986044","","","Glen Maye Park","Glen Maye Park","Pairk Glion Meay","unclassified","","",""
"25986045","","","Lhergy Grawe","","Lhergy Grawe","unclassified","","",""
"25986049","","","Station Road","Station Road","Raad y Stashoon","secondary","","",""
"25986075","","","Parade Street","Parade Street","Straid Pharaid","primary","","",""
"25986077","","","Fistard Road","Fistard Road","Raad Fistard","unclassified","","",""
"25986080","","","Reayrt Aalin","","Reayrt Aalin","residential","","",""
"25986084","","","Cronk Drean","","Cronk Drean","residential","","",""
"25986091","","","Pulrose Road","Pulrose Road","Raad Poyll Roish","unclassified","","",""
"25986094","","","Ard Reayrt","","Ard Reayrt","residential","","",""
"25986095","","","Clifton Road","Clifton Road","Raad Clifton","residential","","",""
"25986103","","","Drinkwater Street","Drinkwater Street","Straid Drinkwater","unclassified","","",""
"25986106","","","Governors Hill","Governors Hill","Cronk y Chiannoort","residential","","",""
"25986108","","","Lewthaites Way","Lewthaites Way","Bayr Lewthwaite","residential","","",""
"25986109","","","Pairk Beg","","Pairk Beg","residential","","",""
"25986111","","","Reayrt Y Chrink","","Reayrt Y Chrink","residential","","",""
"25986122","","","Magher Breek","","Magher Breek","footway","","",""
"25986146","","","Old Castletown Road","Old Castletown Road","Shenn Raad Balley Cashtal","primary","","",""
"25986150","","","Glen Falcon Road","Glen Falcon Road","Bayr Glion Shirragh","secondary","","",""
"25986156","","","Bernahara Road","Bernahara Road","Bayr ny Hayrey","secondary","","",""
"25986164","","","Vicarage Road","Vicarage Road","Raad Thie ny Taggyrt","trunk","","",""
"25986175","","","Harcroft Meadow","Harcroft Meadow","Lheeannee Harcroft","residential","","",""
"25986194","","","Cronk Cullyn","","Cronk Cullyn","residential","","",""
"25986220","","","Struan Barrule","","Struan Barrule","","","",""
"25986229","","","Corlea Road","Corlea Road","Bayr yn Chor Cheean","secondary","","",""
"25986263","","","Reayrt Ny Sleityn","","Reayrt Ny Sleityn","residential","","",""
"25986279","","","Maine Road","Maine Road","Raad Maine","residential","","",""
"25986287","","","Old School Hill","Old School Hill","Cronk Y Shenn Scoill","unclassified","","",""
"25986288","","","Africa Court","Africa Court","Couuyrt Yn Affri","unclassified","","",""
"25986366","","","Peel Street","Peel Street","Straid Phurt ny h-Inshey","unclassified","","",""
"25986379","","","Manx Electric Railway","","Raad Yiarn Lectric Vannin","","light_rail","",""
"25986380","","","Linden Avenue","Linden Avenue","Astyl Biljyn Theiley","residential","","",""
"25986393","","","Demesne Road","Demesne Road","Raad Chiarnys","residential","","",""
"25986404","","","William Proctor Lane","William Proctor Lane","Lhoan William Proctor","footway","","",""
"25986407","","","Cronk Grianagh","","Cronk Grianagh","residential","","",""
"25986409","","","Victoria Square","Victoria Square","Kerrin Victoria","residential","","",""
"25986411","","","Fistard Grove","Fistard Grove","Keyll Fistard","residential","","",""
"25986414","","","Vicarage Drive","Vicarage Drive","Imman Thie yn Taggart","unclassified","","",""
"25986419","","","Braddan Road","Braddan Road","Raad Braddan","primary","","",""
"25986425","","","Bradda Road","Bradda Road","Raad Vradda","primary","","",""
"25986450","","","Creggan Lea","","Creggan Lea","residential","","",""
"25986455","","","Athol Park","Athol Park","Pairk Athol","residential","","",""
"25986471","","","Close Toalt","","Close Toalt","residential","","",""
"25986483","","","Station Place","Station Place","Ynnyd y Stashoon","unclassified","","",""
"25986498","","","Thornhill Close","Thornhill Close","Close ny Cronk Drine","residential","","",""
"25986501","","","Falcon Street Lane","Falcon Street Lane","Lhoan Straid Shirragh","service","","",""
"25986502","","","Fistard Grove","Fistard Grove","Keyll Fistard","residential","","",""
"25986511","","","Rearyt Carnane","","Rearyt Carnane","residential","","",""
"25986528","","","Cronk Grianagh","","Cronk Grianagh","residential","","",""
"25986529","","","Willow Close","Willow Close","Close Shelee","residential","","",""
