Decisions issued under delegated authority 1/1/13 - 31/12/13,,,,
Proposal,Address,Decision,Date decision issued,Planning Application No
Removal of chimney stacks,Claddagh Brookfield Avenue Castletown Isle Of Man IM9 1TL,PER,05-Apr-13,13/00254/B
Alterations to front elevation and construction of new storage compound,Unit 18 Snugborough Trading Estate Union Mills Isle Of Man IM4 4LH,PER,09-Apr-13,13/00256/B
Alterations to existing garage to form a bedroom and erection of a covered driveway and attached double garage,Faaie Wyllin Glen Road Ballaugh Isle Of Man IM7 5JD,PER,18-Apr-13,13/00280/B
Demolition of garage to create an open rear yard / patio area and alterations to and widening of rear vehicular access,59 Woodbourne Road Douglas Isle Of Man IM2 3AQ,PER,16-May-13,13/00415/B
Erection of a dwelling,Plot To Rear Of 47 Governors Road Onchan Isle Of Man  ,REF,09-Jul-13,13/00417/B
Replacement of existing barn and stables with an agricultural building,Barn And Stables Cooil Shellagh Douglas Road Kirk Michael Isle Of Man  ,PER,16-May-13,13/00419/B
Alterations and roofing works to existing conservatory,23 King Edward Park Onchan Isle Of Man IM3 2AB,PER,16-May-13,13/00421/B
Alterations and extension to dwelling,Wilderspool 22 Ash Grove Ramsey Isle Of Man IM8 3HT,PER,16-May-13,13/00435/B
Installation of replacement windows to rear elevation,7 Osborne Terrace Douglas Isle Of Man IM1 3LH,PER,16-May-13,13/00437/B
Creation of a residential dwelling from existing ancillary living accommodation and creation of associated vehicular access,Annie's Cottage Barn West Baldwin Isle Of Man IM4 5HA ,PER,04-Jun-13,13/00301/B
Removal and replacement of defective masonry external leaf and rendering works to building,Evergreen House 43 Circular Road Douglas Isle Of Man IM1 1AD ,PER,31-May-13,13/00303/B
Installation of replacement conservatory roof,Briarcliffe House Bretney Road Jurby Isle Of Man IM7 3EU,PER,05-Jun-13,13/00521/B
Installation of replacement conservatory roof,3 Ballakermeen Close Douglas Isle Of Man IM1 4HU,PER,05-Jun-13,13/00522/B
Roofing works to existing conservatory,11 Creggans Avenue Peel Isle Of Man IM5 1DD,PER,10-Jul-13,13/00669/B
Installation of replacement windows to front and rear elevations,Flat 18 Marlborough Court Apartments   Castle Terrace Central Promenade Douglas Isle Of Man IM2 4LH ,PER,05-Sep-13,13/90924/B
Erection of stables with associated access lane and alterations to existing field access,Field 324066 Foxdale Road Garth Crosby Isle Of Man  ,PER,17-May-13,13/00120/B
Installation of replacement windows to front elevation,35 Brunswick Road Douglas Isle Of Man IM2 3NW,REF,01-Aug-13,13/00734/B
Installation of replacement conservatory roof,Clitheroe House  Main Road Santon Isle Of Man IM4 1EE,PER,25-Jul-13,13/00735/B
Alterations and conversion of dwelling into three apartments,7 Peel Road Douglas Isle Of Man IM1 4LR,PER,06-Nov-13,13/00736/B
Registered Building Consent for internal alterations to provide a prayer room and installation of an Aumbry (RB no 204),St German's Cathedral  Derby Road Peel Isle Of Man IM5 1HH,PER,18-Sep-13,13/00970/CON
Installation of replacement windows to front elevation,1 Market Street Peel Isle Of Man IM5 1AD,PER,14-Nov-13,13/91057/B
Erection of office building for use as corporate headquarters with car parking and landscaping,Site Adjacent To Buchanan BMW & Dandara Head Office Vicarage Rise Isle Of Man Business Park Douglas Isle Of Man  ,PER,26-Nov-13,13/91058/B
Creation of a vehicular access and parking hard standing (retrospective),89 Ballamaddrell Port Erin Isle Of Man IM9 6AU,PER,13-Mar-13,13/00118/B
Installation of replacement wall tiles (retrospective),Bridge Inn 8 - 9 North Quay Douglas Isle Of Man IM1 4LH,REF,15-Mar-13,13/00150/B
Installation of replacement signage,Victory House Prospect Hill Douglas Isle Of Man IM1 1EQ ,PER,25-Apr-13,13/00327/D
Erection of a single storey extension to plant room,Mount Murray Hotel  Ballacutchel Road Mount Murray Douglas Isle Of Man IM4 2HT ,PER,23-Jul-13,13/00683/B
Installation of replacement bow window to front elevation,2 Douglas Road Ballabeg Castletown Isle Of Man IM9 4EG,PER,15-Nov-13,13/91201/B
Erection of an agricultural building and access track,Field 510585 Oatlands Farm Oatlands Road Santon Isle Of Man  ,PER,09-Dec-13,13/91202/B
Siting of a container (Retrospective),41 Groudle Road Onchan Isle Of Man IM3 2EF,PER,04-Dec-13,13/91203/B
Installation of a replacement notice board (In association with 13/00217/CON),Onchan Parish Hall 136 Royal Avenue Onchan Isle Of Man IM3 1LJ,PER,27-Mar-13,13/00216/D
Registered Building consent for the installation of a replacement notice board (In association with 13/00216/D) Registered Building Nos. 118,Onchan Parish Hall 136 Royal Avenue Onchan Isle Of Man IM3 1LJ,PER,27-Mar-13,13/00217/CON
Reserved Matters application for the conversion of former granary to create a dwelling with on site vehicular parking,The Old Granary Glentraugh Harbour Road Santon Isle Of Man  ,PER,09-Apr-13,13/00218/REM
"Alterations, erection of a garage extension with patio garden above",16 Brunswick Road Douglas Isle Of Man IM2 3LQ,PER,05-Apr-13,13/00219/B
Erection of a conservatory on first floor flat roof rear extension (retrospective),5 Michael Street Peel Isle Of Man IM5 1HA ,REF,18-Nov-13,13/91229/B
Erection of a replacement conservatory,73 Lezayre Park Ramsey Isle Of Man IM8 2PT,PER,13-Mar-13,13/00117/B
Alterations and erection of an extension to replace existing conservatory,Ramillies Clay Head Road Baldrine Isle Of Man IM4 6DN,PER,10-Apr-13,13/00262/B
Erection of an extension to dwelling,13 Furman Close Onchan Isle Of Man IM3 1BT,PER,28-May-13,13/00264/B
"Alterations including replacement of existing utility room window with a window and door, erection of a garden pergola and shed and enclosure of porch to front elevation (partial retrospective)",7 Oakdale Governors Hill Douglas Isle Of Man IM2 7BT,PER,27-Jun-13,13/00595/B
Erection of a single storey extension to rear elevation,8 Eastfield Douglas Isle Of Man IM1 4AU,PER,10-Oct-13,13/91039/B
Erection of a conservatory to dwelling,Greeba Elizabeth Rise Castletown Isle Of Man IM9 1EJ,PER,19-Dec-13,13/91317/B
Alteration to and installation of a replacement first floor window to front elevation,Keristal House Marine Drive Port Soderick Isle Of Man IM4 1BJ,PER,20-Dec-13,13/91338/B
Registered Building Consent for internal alterations and refurbishment of sixth form centre (RB no 185),King Williams College Castletown Isle Of Man IM9 1TP ,PER,29-Aug-13,13/00769/CON
Installation of replacement windows to front elevation,4 West View Peel Isle Of Man IM5 1BN,PER,10-Jul-13,13/00642/B
Alterations and erection of extensions to dwelling,Montana South Cape Laxey Isle Of Man IM4 7JB ,PER,22-May-13,13/00348/B
Additional use of residential dwelling as tourist accommodation,Croit Ny Marrey Shore Road Port Erin Isle Of Man IM9 6HL,PER,30-Apr-13,13/00349/C
"Alterations, erection of extensions to dwelling, widen existing dormer to front elevation and widen existing driveway",33 Cronk Y Berry Douglas Isle Of Man IM2 6ES,PER,24-May-13,13/00350/B
Erection of a two storey extension to side elevation to replace existing garage extension,23 Cronk Avenue Onchan Isle Of Man IM3 3DF,PER,14-Mar-13,13/00146/B
"Installation of a 10,000 litre bunded steel diesel tank",Saw Mills Site  Foxdale Road The Hope St Johns Isle Of Man IM4 3AS ,PER,14-Mar-13,13/00147/B
Application for a Certificate of Lawful Development for the installation of replacement windows to front elevation,22 The Crofts Castletown Isle Of Man IM9 1LZ,CLAWA,14-Mar-13,13/00149/LAW
Installation of replacement windows to rear elevation,Flat 12  Lyndley Court Rosemount Douglas Isle Of Man IM1 3EY,PER,16-May-13,13/00411/B
Erection of temporary advertising signage (retrospective),Hoarding Enclosing Part Of Field 521895 And Site Of Former Cooil Smithy Adjacent To Cooil Road Braddan Isle Of Man  ,PER,16-May-13,13/00432/D
Erection of a dwelling with sunroom extension to rear (amendment to dwelling approved under PA 11/00684/B),Plot 32 Croit Ny Glionney Glen Road Colby Isle Of Man IM9 4PP ,PER,16-May-13,13/00434/B
Installation of replacement windows to rear elevation of dwelling,3 Osborne Terrace Douglas Isle Of Man IM1 3LH,PER,16-May-13,13/00436/B
Demolition of ground floor kitchen extension to rear elevation,Regent House  Promenade Port Erin Isle Of Man IM9 6LE,PER,03-Jul-13,13/00643/B
Alterations and extension to existing detached additional living accommodation/ tourist unit,Corbrek Church Road Santon Isle Of Man IM4 1EZ,PER,10-Jul-13,13/00644/B
Alterations and extension to dwelling,5 King Edward Park Onchan Isle Of Man IM3 2AD,PER,03-Sep-13,13/00645/B
Erection of dwelling to replace disused storage building,Outbuilding Farmhill Farm Farmhill Lane Douglas Isle Of Man  ,PER,24-Jul-13,13/00646/B
Erection of a single storey extension to rear elevation,Thie Ny Chibbyr Lezayre Road Ramsey Isle Of Man IM8 2TD,PER,15-Aug-13,13/00772/B
Installation of replacement conservatory roof,Ballaholly Bungalow Jurby West Isle Of Man IM7 3AS ,PER,15-Aug-13,13/00776/B
Creation of new vehicular access and associated driveway,Ballajuanvark Bayrauyr Road Ballamodha Ballasalla Isle Of Man IM9 3AT ,PER,08-Aug-13,13/00791/B
Extension to existing stables,Field Number 414361 Surby Road Ballafesson Port Erin Isle Of Man  ,PER,08-Aug-13,13/00792/B
Widening existing vehicular access,Drummoyne Lezayre Road Ramsey Isle Of Man IM8 2TD,PER,06-Nov-13,13/91051/B
Installation of replacement windows and doors,6 Dumbells Terrace Laxey Isle Of Man IM4 7NY,PER,12-Dec-13,13/91052/B
Alterations and extensions to dwelling (amended plans removing rear balcony but retaining proposed single storey rear extension),11 Third Avenue Douglas Isle Of Man IM2 6AL,PER,15-Oct-13,13/91066/B
Erection of sun room extension to rear elevation,25 Erin Way Port Erin Isle Of Man IM9 6EF ,PER,10-Dec-13,13/91282/B
Erection of a single storey extension and roof dormer to rear elevation and porch extension to front elevation,12 St Catherines Drive Douglas Isle Of Man IM1 4BQ,PER,04-Mar-13,13/00089/B
Creation of hard-standing and vehicular access to rear of property,2 Marathon Avenue Douglas Isle Of Man IM2 4HZ,PER,13-Mar-13,13/00091/B
Erection of an extension to dwelling,Homestead Spaldrick Avenue Port Erin Isle Of Man IM9 6PE,PER,14-Jun-13,13/00524/B
Conversion of existing dwelling into two separate dwellings,7 And 8 Queens Drive East Ramsey Isle Of Man IM8 1EJ ,PER,16-Aug-13,13/00681/B
Installation of additional roller doors and pedestrian entrance,Unit 26 Colas Drive Balthane Ballasalla Isle Of Man IM9 2AH ,PER,25-Jul-13,13/00737/B
Installation of replacement conservatory roof,Thie Keeill Howe Road Port St. Mary Isle Of Man IM9 5PR,PER,25-Jul-13,13/00738/B
Erection of a dwelling with sun room to rear elevation,Plot B10 Reayrt Ny Cronk Peel Isle Of Man IM5 1GR ,PER,30-Aug-13,13/00833/B
Erection of a conservatory,28 Eskdale Road Onchan Isle Of Man IM3 2AH,PER,28-Aug-13,13/00836/B
Erection of extension to side elevation (comprising amendments to PA 09/01826/B),6 Windsor Terrace Douglas Isle Of Man IM1 3LU,PER,03-Sep-13,13/00838/B
Alterations and erection of shop window extension to gable wall (In association with 13/00168/CON),24 Church Street Douglas Isle Of Man IM1 2AB,PER,21-Mar-13,13/00167/GB
" Registered Building consent for alterations and erection of shop window extension to gable wall, including re rendering of gable wall above proposed shop window  (In association with 13/00167/GB) Registered Building Nos. 20",24 Church Street Douglas Isle Of Man IM1 2AB,PER,21-Mar-13,13/00168/CON
Erection of fencing (retrospective),6 Willow Close Onchan Isle Of Man IM3 3HA,PER,19-Mar-13,13/00171/B
Erection of an extension to converted barn to provide additional living accommodation,Somers Farm Bernahara Road Andreas Isle Of Man IM7 3HH,PER,18-Mar-13,13/00173/B
"Alterations, erection of extension and installation of a replacement shop front",Hospice Shop 9 Arbory Street Castletown Isle Of Man IM9 1LH,REF,21-Mar-13,13/00174/B
Erection of an extension to dwelling,39 Auburn Road Onchan Isle Of Man IM3 1LP,PER,16-May-13,13/00257/B
Erection of a detached garage and vehicular access alterations (Amendment to PA 12/00895/B),Wendover Douglas Road Castletown Isle Of Man IM9 1TJ,PER,10-Apr-13,13/00259/B
Alterations and erection of a first floor extension to dwelling,9 Manor Road Douglas Isle Of Man IM2 2NL,PER,08-May-13,13/00352/B
Rendering of existing facing brickwork on side extension,Manx Arms Hotel 27 Main Road Onchan Isle Of Man IM3 1BE,PER,16-Aug-13,13/00768/B
Widen existing vehicular access,Cronk Aash St Georges Crescent Port Erin Isle Of Man IM9 6HR,PER,05-Sep-13,13/00847/B
Replacement of a garage door with a window (retrospective),Woodlands 4 Tynwald Road Peel Isle Of Man IM5 1LA,PER,08-May-13,13/00374/B
Erection of a garage extension to dwelling,32 Birch Hill Grove Onchan Isle Of Man IM3 4EN,PER,23-May-13,13/00375/B
"Replacement windows to control stair tower, replacement lobby to press centre, new reception and access ramp to press centre",Grandstand Glencrutchery Road Douglas Isle Of Man IM2 6DA,PER,29-Nov-13,13/91228/B
Erection of conservatory to side elevation,Sycamore Cottage Jacks Lane Port E Vullen Ramsey Isle Of Man IM7 1AW,PER,11-Oct-13,13/91019/B
Erection of a front porch to dwelling,Hilldene 7 Links View Onchan Isle Of Man IM3 2AW,PER,15-Nov-13,13/91171/B
Creation of a borehole and installation of pipe work to supply car washing facilities,Station Garage Victoria Road Castletown Isle Of Man IM9 1EE,PER,15-Nov-13,13/91173/B
Erection of a linked extension to dwelling to provide ancillary living accommodation,The Rheast  Rheast Road Santon Isle Of Man IM4 2HR ,PER,16-Dec-13,13/91271/B
Registered Building consent for internal repair and remedial works to lower ground floor (Registered Building Nos. 57),4 Quay Lane Castletown Isle Of Man IM9 1LE,PER,23-Jul-13,13/00341/CON
Roofing works to existing conservatory,3 Clover Avenue Reayrt Ny Keylley Peel Isle Of Man IM5 1GB ,PER,24-Apr-13,13/00342/B
Erection of an extension to dwelling,20 Albany Road Peel Isle Of Man IM5 1JR,PER,24-Apr-13,13/00344/B
Erection of a dwelling (comprising amendments to PA 11/00674/REM)(revised drawing to show all the proposed elevations and floor plans),Land To Rear Of St Catherines Drive And Off Belmont Hill Douglas Isle Of Man  ,REF,28-Aug-13,13/00621/B
Installation of flat roof dormer to west elevation,Maynrys 16 Mountain View Peel Isle Of Man IM5 1QE,REF,09-Jul-13,13/00623/B
Alterations and erection of extensions to dwelling (Amendments to PA 13/00379/B),33 Howe Road Onchan Isle Of Man IM3 2BA,PER,28-Oct-13,13/91102/B
"Alterations, erection of a two storey extension to dwelling and widening of vehicular access",14 Furman Road Onchan Isle Of Man IM3 1BS,PER,04-Nov-13,13/91105/B
Installation of a window with associated waste pipe and replacement balcony balustrading (partial retrospective),The Savoy 6 Castlemona Terrace Central Promenade Douglas Isle Of Man IM2 4LU ,PER,05-Sep-13,13/00899/B
"Alterations to dwelling including provision of a ramp, replacement porches, window alterations and erection of decking",37 Lezayre Park Ramsey Isle Of Man IM8 2PT,PER,10-Oct-13,13/00901/B
Creation of a vehicular access and off road parking,31 Albany Road Douglas Isle Of Man IM2 3NF,REF,04-Oct-13,13/00902/B
Alterations and extension to dwelling,5 Howstrake Drive Onchan Isle Of Man IM3 1BP,PER,23-Sep-13,13/00903/B
Removal of existing monopitch roof and replacement with a slate double pitched roof,Store To Rear Of 50 Malew Street Castletown Isle Of Man IM9 1AF,PER,29-Nov-13,13/91250/B
Erection of replacement roof over garage and timber cladding to external walls (retrospective),Braeside Glen Road Laxey Isle Of Man IM4 7AH,PER,29-Nov-13,13/91253/B
Alterations and extensions to dwelling,Heathfield Phildraw Road Ballasalla Isle Of Man IM9 3EH,REF,01-Nov-13,13/91125/B
Replace existing glazed conservatory roof with lightweight roof tiles,29 Cleiy Rhennee Kirk Michael Isle Of Man IM6 1HT,PER,19-Dec-13,13/91325/B
Creation of a vehicular access and off road parking to dwelling,16 Osborne Grove Douglas Isle Of Man IM1 3LE,REF,23-Dec-13,13/91326/B
Installation of replacement windows and rear doors to dwelling,16 Osborne Grove Douglas Isle Of Man IM1 3LE,PER,19-Dec-13,13/91327/B
Installation of replacement windows to rear elevation,137 Woodbourne Road Douglas Isle Of Man IM2 3AZ,PER,20-Dec-13,13/91328/B
Alteration to front porch,Rosecroft 20 Albany Road Peel Isle Of Man IM5 1JR,PER,26-Feb-13,13/00073/B
Conversion of former guest house into five apartments including installation of dormers and replacement windows (amendment to PA 10/01425/B),104 Bucks Road Douglas Isle Of Man IM1 3AQ,PER,27-Feb-13,13/00074/B
Approval in principle for erection of a farm worker's dwelling,Part Of Field 220846  Seafield Farm   Bollyn Road Ballaugh Isle Of Man  ,REF,08-Mar-13,13/00075/A
Extension to rear elevation,2 Mountain View Ballaugh Isle Of Man IM7 5EW,PER,28-Feb-13,13/00076/B
Rendering works to dwelling,22 St Catherines Drive Douglas Isle Of Man IM1 4BQ,PER,10-Apr-13,13/00247/B
Additional use of cottage and converted barn for tourist accommodation,Annie's Cottage West Baldwin Isle Of Man IM4 5HA ,PER,11-Apr-13,13/00250/C
Alterations to existing front wall to create additional on site parking,Old Chapel  Main Road Union Mills Isle Of Man IM4 4AD,PER,21-Jun-13,13/00528/B
Installation of replacement doors,1 Peveril Road Peel Isle Of Man IM5 1NU,REF,04-Jun-13,13/00529/B
Approval in principle for conversion of existing building into permanent and or tourist apartments and provision of associated off road parking facilities,Groudle Glen Hotel King Edward Road Onchan Isle Of Man IM3 2JY ,PER,21-Jun-13,13/00531/A
Alterations to sun room extension (retrospective),Rhenwee Cottage   Regaby West Road Andreas Isle Of Man IM7 3HL,PER,10-Oct-13,13/91055/B
Installation of bulk storage domestic gas tank,Ballamenagh Farm Handleys Corner Kirk Michael Isle Of Man IM6 1AY,PER,10-Oct-13,13/91056/B
Erection of car port to side elevation,The Long House Lag Birragh Drive Onchan Isle Of Man IM3 2JW,PER,29-Nov-13,13/91236/B
Alterations and extension to dwelling,Skerrisdale Stockfield Road Kirk Michael Isle Of Man IM6 1HP,REF,10-Dec-13,13/91237/B
Erection of a bay window extension to dwelling,2 St Catherines Close Douglas Isle Of Man IM1 4JD ,PER,10-Apr-13,13/00283/B
Erection of a storage barn (amended location),Upper Sartfield Sartfield Road Jurby Isle Of Man IM7 3AZ ,PER,20-Jun-13,13/00453/B
Erection of two polytunnels,Field 410851 Ballakillowey Road Colby Isle Of Man  ,PER,24-Jul-13,13/00455/B
Erection of a first floor extension over existing garage,51 King Orry Road Glen Vine Isle Of Man IM4 4FL ,PER,31-Jul-13,13/00757/B
Alterations and erection of a two storey extension to rear elevation of dwelling,12 Manor Park Onchan Isle Of Man IM3 2EP ,PER,14-Mar-13,13/00127/B
Removal of chimney stack,Shee Dy Vea Darragh Port Erin Isle Of Man IM9 6JB ,PER,14-Jun-13,13/00548/B
"Alterations, extension and conversion of barn to a dwelling with additional use as tourist accommodation",Shenvalla Farm Glen Maye Road Patrick Village Isle Of Man IM5 3AP,PER,20-Jun-13,13/00549/B
Alterations and erection of extensions to dwelling,34 Larivane Meadows Andreas Isle Of Man IM7 4JD ,PER,25-Apr-13,13/00131/B
Alterations and erection of extension to provide retail accommodation and three residential apartments,15 - 19 Michael Street Peel Isle Of Man  ,PER,16-Apr-13,13/00132/B
Erection of detached dwelling (amended type from that approved under PA 10/00544/B),Plot B1 Reayrt Ny Cronk Residential Development  Peel Isle Of Man IM5 1GR ,PER,14-Mar-13,13/00134/B
Installation of replacement windows and doors,24 Derby Road Douglas Isle Of Man IM2 3ET,REF,14-Mar-13,13/00135/B
"Alterations, replacement of existing garage door with a window and door and erection of extension to dwelling",22 Sunnybank Avenue Onchan Isle Of Man IM3 3BW,PER,15-Mar-13,13/00137/B
Erection of an extension to dwelling,5 Cronk Drine Union Mills Isle Of Man IM4 4NG,PER,14-Mar-13,13/00138/B
"Alterations, installation of two roof lights, dormer window and erection of extension to dwelling",Barco Maine Road Port Erin Isle Of Man IM9 6LQ ,PER,18-Mar-13,13/00140/B
"Alterations, erection of an extension, replace existing garage door with windows, installation of a solar array and the erection of detached garage with store / study above (amendment to PA 11/01734/B)",Horizon House Glen Road Colby Isle Of Man IM9 4HW,PER,18-Mar-13,13/00141/B
Removal of a chimney stack,Foresters House Barrule Road Foxdale Isle Of Man IM4 3ES,PER,11-Apr-13,13/00238/B
Erection of signage,Former Ronaldsway Shoe Factory Warehouse Ronaldsway Industrial Estate Ronaldsway Ballasalla Isle Of Man IM9 2RY ,PER,23-May-13,13/00420/D
Installation of replacement windows to front and rear elevations,Apartment 2 Charles Street Close Flats Charles Street Close Peel Isle Of Man IM5 1DT ,PER,30-Aug-13,13/00886/B
Installation of replacement windows and front door,57 Selborne Drive Douglas Isle Of Man IM2 3NJ,PER,16-Apr-13,13/00285/B
Erection of an extension to dwelling,Tranent Churchtown Ramsey Isle Of Man IM7 2AN ,PER,24-May-13,13/00450/B
Erection of a two storey extension to side and single storey extension to rear elevation to provide garage and additional living accommodation,71 Larivane Meadows Andreas Isle Of Man IM7 4JF ,PER,16-Aug-13,13/00822/B
Erection of extension to rear elevation and creation of increased off road parking,10 Sunnybank Avenue Onchan Isle Of Man IM3 3BW,PER,06-Sep-13,13/00823/B
Installation of replacement windows to front and rear elevations,1 Selborne Road Douglas Isle Of Man IM1 4BT,PER,23-Sep-13,13/00864/B
"Alterations, demolition of existing garages and erection of extension to dwelling",Plantation House Cronk Road Port St. Mary Isle Of Man IM9 5AT,PER,05-Sep-13,13/90933/B
Erection of a porch,Ballaslig Farmhouse Old Castletown Road Douglas Isle Of Man IM4 1AH ,PER,30-Apr-13,13/00354/B
Erection of living accommodation above existing garages,Garages Rear Of 68 Waterloo Road Ramsey Isle Of Man IM8 1EG ,REF,12-Jun-13,13/00357/B
Installation of illuminated signage,Lloyds Bank 71 Parliament Street Ramsey Isle Of Man IM8 1AN,PER,30-Apr-13,13/00361/D
Removal of a chimney stack,15 Market Street Peel Isle Of Man IM5 1AD,REF,12-Jun-13,13/00442/B
Installation of bi folding doors to replace windows to rear elevation of dwelling (retrospective),Europa Grove Mount Ramsey Isle Of Man IM8 3HQ,PER,21-Jun-13,13/00444/B
Erection of a horse shelter,Field 114173 Adjacent To  Glion Cottage Thurot Cottage Road Bride Isle Of Man,PER,12-Jun-13,13/00451/B
Erection of two dwellings with associated parking to replace existing dwelling,158 Woodbourne Road Douglas Isle Of Man IM2 3BD,PER,12-Jun-13,13/00499/B
Erection of two loose boxes to rear elevation of existing hay storage barn (amended location),Upper Sartfield Sartfield Road Jurby Isle Of Man IM7 3AZ ,PER,20-Jun-13,13/00500/B
"Alterations and erection of extension to dwelling, erection of garden shed and alterations to existing driveway",18 Farrants Park Castletown Isle Of Man IM9 1NF,PER,01-Jul-13,13/00515/B
Installation of replacement windows to first and second floors (In association with 13/00517/CON),18A - 20 Victoria Street Douglas Isle Of Man IM1 2LE ,REF,01-Nov-13,13/00516/GB
Registered Building consent for the installation of replacement windows to first and second floors (In association with 13/00516/GB) Registered Building Nos. 223,18A - 20 Victoria Street Douglas Isle Of Man IM1 2LE ,REF,30-Oct-13,13/00517/CON
Erection of a dwelling with sunroom to rear and widened driveway (amendment to approved PA 10/00544/B),Plot B9 Reayrt Ny Cronk Peel Isle Of Man IM5 1GR ,PER,15-Aug-13,13/00770/B
Mounting of a 1.8m communication dish on existing tower,DHA Tower Peel Hill Mill Road Peel Isle Of Man  ,PER,19-Aug-13,13/00771/B
Creation of a covered hard standing and erection of a dog pen enclosure,46 Sea Cliff Road Onchan Isle Of Man IM3 2JD,PER,03-Sep-13,13/00829/B
Erection of an agricultural building,Field 334093 Lhagg Road Dalby Isle Of Man  ,REF,01-Nov-13,13/91031/B
Installation of replacement shop front with retractable canopy and creation of new store in rear yard,Tanroagan Restaurant  9 Ridgeway Street Douglas Isle Of Man IM1 1EW,PER,30-Oct-13,13/91050/B
Alterations and extension to dwelling,Heathfield Cottage Phildraw Road Ballasalla Isle Of Man IM9 3EH,PER,02-Dec-13,13/91277/B
Installation of a replacement window to dwelling,The Haven Little Switzerland Douglas Isle Of Man IM2 6AE,PER,16-Dec-13,13/91288/B
"Alterations, erection of a detached garden room and provision of a handrail to front steps",Old School House Cronkbourne Douglas Isle Of Man IM4 4QH ,PER,16-Dec-13,13/91291/B
Erection of a replacement greenhouse,The Carrick Port Lewaigue Ramsey Isle Of Man IM7 1AG ,PER,19-Mar-13,13/00177/B
"Erection of timber shed, and installation of replacement entrance gate and posts (increase in the boundary height removed from the description as it is not considered development) (retrospective)",Field 224051 Bollyn Road Ballaugh Isle Of Man  ,PER,22-Jul-13,13/00616/B
"Re-location of vehicular access into site, erection of new stable block and horse riding manege",Ballagilley Farm Rhowin Road Hibernia  Maughold Isle Of Man  ,PER,20-Nov-13,13/91106/B
Erection of a storage shed (retrospective),Field 124530 Smeale Road Andreas Isle Of Man  ,PER,01-Nov-13,13/91084/B
Conversion of Pooildhooie Beg to a residential dwelling and erection of two detached garages,Pooildhooie Cottage / Pooildhooie Beg Bayr Ny Killane Ballaugh Isle Of Man IM7 5BD ,REF,20-Jun-13,13/00512/B
Erection of a first floor extension over existing garage,15 Ballanawin Strang Douglas Isle Of Man IM4 4NR,PER,16-May-13,13/00381/B
Alterations and extension to dwelling and creation of ancillary living accommodation at lower ground level,Abbeycourt Abbeylands Isle Of Man IM4 5ED ,PER,08-May-13,13/00382/B
Erection of a replacement detached garage,Woodlands Lezayre Road Glen Tramman Ramsey Isle Of Man IM7 2AW,PER,16-May-13,13/00383/B
Erection of a dwelling (amendment to dwelling approved under PA 12/01123/B),Plot C16 Residential Development Under Construction  Reayrt Ny Cronk Poortown Road Peel Isle Of Man  ,PER,16-May-13,13/00389/B
Application to make lawful the occupation of the dwelling by a non-agricultural worker,Squeen Bungalow Ballacrye Road Ballaugh Isle Of Man IM7 5BP ,CLAWA,05-Aug-13,13/00392/LAW
Erection of replacement signage (retrospective),Transport House  25 Fort Street Douglas Isle Of Man IM1 2LJ,REF,16-May-13,13/00393/D
Erection of a dwelling with associated landscaping and drainage,Plot 1 Field 432503 Phildraw Road Ballasalla Isle Of Man  ,PER,11-Jul-13,13/00614/B
Erection of a dwelling with associated landscaping and drainage,Plot 2 Field 432503 Phildraw Road Ballasalla Isle Of Man  ,PER,11-Jul-13,13/00615/B
Erection of extension to rear elevation and installation of roof lights,23 Killeaba Mount Ramsey Isle Of Man IM8 2JH,PER,15-Aug-13,13/00691/B
Erection of a replacement conservatory,8 Meadow Court Ballasalla Isle Of Man IM9 2DW,PER,19-Jul-13,13/00692/B
Installation of replacement windows to front elevation,12 Christian Road Douglas Isle Of Man IM1 2QN,PER,10-Dec-13,13/00848/B
Erection of a replacement pedestrian footbridge,Lodge Playground Glen Helen St Johns Isle Of Man  ,PER,30-Aug-13,13/00885/B
Increase height of existing wall,13 Seaview Road Onchan Isle Of Man IM3 4AQ,PER,18-Sep-13,13/00889/B
"Installation of replacement windows, door and roof light to rear elevation of dwelling",Lambourne Cottage Main Road Kirk Michael Isle Of Man IM6 1AB,PER,30-Aug-13,13/00891/B
"Alterations, demolition of an existing lean to extension and erection of an extension to dwelling",Belle Vue House Belle Vue Peel Isle Of Man IM5 1UH,PER,30-Aug-13,13/00893/B
Replacement of existing conservatory roof with light weight roof tiles,3 Princes Terrace Minorca Hill Laxey Isle Of Man IM4 7DR ,PER,15-Oct-13,13/90958/B
Removal of chimney,The Coppins 48 Harbour Road Onchan Isle Of Man IM3 1BN,PER,25-Oct-13,13/90988/B
Erection of conservatory to rear elevation,12 Ballatessan Meadow Peel Isle Of Man IM5 1DU ,REF,18-Nov-13,13/90989/B
Installation of replacement shop front,34 Parliament Street Ramsey Isle Of Man IM8 1AW ,PER,03-Oct-13,13/91034/B
Installation of replacement windows to front elevation,69 Derby Square Douglas Isle Of Man IM1 3LR,PER,08-Nov-13,13/91128/B
Installation of replacement windows,18 Alexander Drive Douglas Isle Of Man IM2 3QE,PER,03-Apr-13,13/00188/B
Erection of a detached garage and driveway extension,1 Snaefell View Jurby Isle Of Man IM7 3BF,PER,21-Mar-13,13/00190/B
Demolition of existing and erection of a replacement workshop and store,Workshop & Store 3 Chapel Lane Ramsey Isle Of Man IM8 1JL,PER,20-Jun-13,13/00192/B
