Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,12/01537/B,Installation of replacement bridge,12-Feb-13,Senior Planning Officer - South (SC),Bridge At Tholt Y Will Gulley Off Tholt Y Will Road Tholt Y Will Sulby Isle Of Man  
Permitted,12/01538/B,Installation of replacement bridge,12-Feb-13,Senior Planning Officer - South (SC),Bridge Upstream Of Fish Hatchery Ballaglass Glen Road Cornaa Ramsey Isle Of Man  
Permitted,12/01539/B,Installation of flue pipe,04-Jan-13,Head of Development Management,Cair Vie Belle Vue Peel Isle Of Man IM5 1UH
Permitted,12/01540/B,Demolition of existing building and erection of an apartment block to provide seven residential and seven tourist apartments with associated parking,30-Jan-13,Planning Committee,Grosvenor Hotel Promenade Port Erin Isle Of Man IM9 6LA
Permitted,12/01541/B,Conversion of exiting building to a dwelling with integral parking,15-Jan-13,Planning Committee,10 Water Street Ramsey Isle Of Man IM8 1JP
Permitted,12/01542/B,Alterations and extension to dwelling,15-Jan-13,Planning Committee,Ballavarkish Beg Grenaby Road Ballabeg Castletown Isle Of Man IM9 4HD 
Refused,12/01543/B,Alterations and extensions to dwelling (amendments to PA 11/01574/B) (Retrospective),15-Feb-13,Senior Planning Officer - South (SC),Ashleigh Ballacraine St Johns Isle Of Man IM4 3LS 
Permitted,12/01544/B,Erection of extension to replace existing conservatory,15-Feb-13,Senior Planning Officer - South (SC),8 St Marys Meadow Ballaugh Isle Of Man IM7 5AJ
Refused,12/01546/B,"Demolition of existing barn and erection of a building to provide guest accommodation, garage, gym and amendments to PA 11/01518/B",17-Jan-13,Planning Committee,Ballacaroon Farm West Baldwin Road Mount Rule Isle Of Man IM4 4HS 
Permitted,12/01547/B,Re-location of existing aluminium framed temporary multi purpose building for a period to coincide with the construction of proposed extension to school building,10-Jan-13,Senior Planning Officer - South (SC),Ballakermeen High School St Catherines Drive Douglas Isle Of Man IM1 4BE 
Permitted,12/01548/B,Alterations and erection of an extension to school and part demolition of existing building (former Funeral Directors premises) and creation of a school staff parking area,10-Jan-13,Senior Planning Officer - South (SC),Ballakermeen High School St Catherines Drive Douglas Isle Of Man IM1 4BE 
Permitted,12/01550/B,Erection of two units for use as storage/light industrial or as office accommodation ancillary to the running and operation of the surrounding commercial units (partially retrospective),18-Jan-13,Planning Committee,Parville Court Balthane Industrial Estate Ballasalla Isle Of Man IM9 2AH 
Permitted,12/01551/B,"Alterations, creation of additional parking spaces to existing car park and installation of entrance gates",20-Feb-13,Senior Planning Officer - North (CB),Church Of Jesus Christ Of Latter Day Saints Woodbourne Road Douglas Isle Of Man
Application Withdrawn,12/01552/C,Removal of agricultural workers tie from dwelling,08-Feb-13,Withdrawn,Mountain View Nassau Road Regaby Ramsey Isle Of Man IM7 4AJ 
Permitted,12/01553/B,Alterations and erection of extension to dwelling house,04-Jan-13,Senior Planning Officer - South (SC),Seafield Mount Gawne Road Port St. Mary Isle Of Man IM9 5LX
Permitted,12/01554/B,Installation of replacement ground floor windows,21-Jan-13,Director Delegation,32 Athol Street Douglas Isle Of Man IM1 1JB
Permitted,12/01555/B,"Demolition of existing garages and former MEA substation and formation of new landscaped area, erection of rear and side boundary fences and creation of new pedestrian link between 12 & 13 Orry Place",12-Mar-13,Department Application,"Area To The Rear Of Orry Place, Stenning Place, King Williams Terrace & Derby View Janets Corner Estate Douglas Road Castletown Isle Of Man  "
Permitted,12/01556/B,"Erection of a multi-purpose building containing community centre, function rooms, cafe/restaurant and offices, together with associated car parking and vehicular access (Amendments to PA 12/00994/B)",26-Feb-13,Planning Committee,Site Of Former Albert Road School Albert Road Ramsey Isle Of Man IM8 1JB
Permitted,12/01557/B,Creation of a fire door to rear elevation,28-Jan-13,Senior Planning Officer - South (SC),4 Forest View Bowring Road Ramsey Isle Of Man IM8 2LQ
Permitted,12/01558/B,Removal of a chimney stack,04-Jan-13,Senior Planning Officer - South (SC),Arianda Viking Hill Ballakillowey Colby Isle Of Man IM9 4BJ
Permitted,12/01559/B,Erection of an extension to dwelling,10-Jan-13,Senior Planning Officer - South (SC),Briarcliffe  Bretney Road Jurby Isle Of Man IM7 3EU
Permitted,12/01560/B, Installation of external illumination,18-Apr-13,Department Application,Jubilee Buildings Victoria Street Douglas Isle Of Man IM1 2LR
Permitted,12/01561/B,Alterations and erection of patio decking (retrospective),27-Feb-13,Planning Committee,Tholt Y Will House Tholt Y Will Sulby Isle Of Man IM7 2BF 
Permitted,12/01562/B,Creation of a track (retrospective),21-Jan-13,Director Delegation,Field 524363 Ballaquine House West Baldwin Road Mount Rule Isle Of Man IM4 5EZ 
Permitted,12/01563/B,Alterations and extension to dwelling and widen driveway and vehicular access,04-Jan-13,Senior Planning Officer - South (SC),52 Ballagarey Road Glen Vine Isle Of Man IM4 4EF
Permitted,12/01564/B,Erection of a two storey extension to dwelling,04-Jan-13,Senior Planning Officer - South (SC),Brottby Peveril Road Peel Isle Of Man IM5 1PJ
Permitted,12/01565/GB,Installation of two roof windows to dwelling (In association with 12/01566/CON),11-Jan-13,Senior Planning Officer - North (CB),The Old Sail Loft  Shore Road Underway Port St. Mary Isle Of Man IM9 5DX 
Permitted,12/01566/CON,Registered Building consent for the installation of two roof windows to dwelling (In association with 12/01565/GB) Registered Building Nos. 203,15-Feb-13,Director Delegation,The Old Sail Loft  Shore Road Underway Port St. Mary Isle Of Man IM9 5DX 
Refused,12/01567/GB,Alterations and creation of a first floor conservatory (In association with 12/01568/CON),15-Jan-13,Planning Committee,The Old Sail Loft  Shore Road Underway Port St. Mary Isle Of Man IM9 5DX 
Refused,12/01568/CON,Registered Building consent for alterations and creation of a first floor conservatory (In association with 12/01567/GB) Registered Building Nos. 203,15-Jan-13,Planning Committee,The Old Sail Loft  Shore Road Underway Port St. Mary Isle Of Man IM9 5DX 
Permitted,12/01569/B,Erection of an aerial to dwelling (retrospective),16-Jan-13,Senior Planning Officer - South (SC),65 Lezayre Park Ramsey Isle Of Man IM8 2PT
Permitted,12/01570/B,Installation of replacement roof to existing conservatory,07-Jan-13,Senior Planning Officer - South (SC),Sunnybank Derby Road Peel Isle Of Man IM5 1HW
Permitted,12/01571/B,Erection of a statue and creation of additional pedestrian access via the formation of steps,07-Jan-13,Senior Planning Officer - South (SC),Heritage Garden Land Adjacent To And  West Of Junction Of New Road And Mines Road Laxey Isle Of Man  
Permitted,12/01572/B,Garage alterations and extension of driveway and vehicular access,07-Jan-13,Senior Planning Officer - South (SC),3 Homefield Park Ballasalla Isle Of Man IM9 2EL
Permitted,12/01573/B,Alterations and extensions to dwelling and widening of driveway and vehicular access (Amendments to PA 11/01697/B),21-Jan-13,Head of Development Management,Aalin Thie Tromode Park Douglas Isle Of Man IM2 5LA
Permitted,12/01574/B,Demolition of an existing barn and conversion of redundant stone barns into living accommodation,16-Jan-13,Senior Planning Officer - South (SC),Ballagilley Farm Hibernia Ramsey Isle Of Man  
Permitted,12/01575/D,Erection of illuminated signage,10-Jan-13,Senior Planning Officer - North (CB),33-34 North Quay Douglas Isle Of Man IM1 4LB 
Permitted,12/01576/B,Conversion of ground floor office space to Optician use including the installation of an awning,07-Jan-13,Senior Planning Officer - South (SC),33-34 North Quay Douglas Isle Of Man IM1 4LB 
Permitted,12/01577/B,Erection of a replacement dwelling with associated parking,30-May-13,Planning Committee,Fern Glen Cottage Glen Auldyn Ramsey Isle Of Man IM7 2AG 
Permitted,12/01578/B,Installation of electrical and gas metres to dwelling,07-Jan-13,Senior Planning Officer - South (SC),16 Thorny Road Douglas Isle Of Man IM2 5ED
Permitted,12/01579/B,"Alterations including reducing the height of front boundary wall, erection of fencing and alterations to vehicular access gates",25-Jan-13,Senior Planning Officer - North (CB),Cronk My Chree Arbory Road Castletown Isle Of Man IM9 1HA
Permitted,12/01580/B,Alterations and erection of a two storey extension to dwelling,07-Jan-13,Senior Planning Officer - South (SC),3 Church Lane Peel Isle Of Man IM5 1AW
Permitted,12/01581/B,Extension of existing driveway,07-Jan-13,Senior Planning Officer - South (SC),9 Hillberry Close Douglas Isle Of Man IM2 6HP
Permitted,12/01582/B,Erection of a first floor extension above garage,07-Jan-13,Senior Planning Officer - South (SC),14 Ballatessan Meadow Peel Isle Of Man IM5 1DU 
Permitted,12/01583/B,Installation of two dormer windows and four rooflights and omission of previously approved side window (PA 11/01021/B),07-Jan-13,Head of Development Management,Milner Mount Bradda West Road Spaldrick Port Erin Isle Of Man IM9 6PN
Refused,12/01584/B,Removal of a boundary wall and railings,07-Jan-13,Senior Planning Officer - South (SC),6 Windsor Road Douglas Isle Of Man IM1 3JY
Permitted,12/01585/B,Erection of an extension to dwelling,25-Jan-13,Senior Planning Officer - North (CB),Burn Brae Main Road Glen Vine Isle Of Man IM4 4AZ
Permitted,12/01586/B,Erection of an agricultural building for the storage of equipment and produce,12-Feb-13,Senior Planning Officer - South (SC),Land Adjacent To Glasshouse Thie Darragh Gob-E-Volley Main Road Sulby Isle Of Man IM7 2HR 
