Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,13/90975/B,"Removal of a chimney stack, creation of two roof lanterns, window alterations and erection of an extension to dwelling",25-Oct-13,Senior Planning Officer - South (SC),The Moorings 20 Second Avenue Douglas Isle Of Man IM2 6AW
Permitted,13/90976/B,Conversion of existing oil room to form a bin area,19-Sep-13,Senior Planning Officer - South (SC),Springfield Court Elderly Persons Complex Onchan Isle Of Man IM3 4LH 
Permitted,13/90977/B,Installation of replacement windows and front door,19-Sep-13,Senior Planning Officer - South (SC),Keirn Corneil 42 The Meadows Kirk Michael Isle Of Man IM6 1EU
Permitted,13/90978/B,Erection of disabled access ramps,23-Sep-13,Senior Planning Officer - South (SC),St Catherines Church And Church Hall  Church Road Port Erin Isle Of Man IM9 6AH
Permitted,13/90979/B,Conversion of former bakehouse to provide additional living accommodation,27-Sep-13,Director Delegation,The Old Bakery 21 High Street Port St. Mary Isle Of Man IM9 5DP
Refused,13/90980/B,Erection of three detached dwellings,25-Sep-13,Head of Development Management,Land To Rear Of The Colby Pump Main Road Colby Isle Of Man  
Refused,13/90981/B,Demolition of existing building and erection of two semi detached dwellings with attached garages,19-Sep-13,Senior Planning Officer - South (SC),16 & 16A Marathon Road Douglas Isle Of Man IM2 4HL
Permitted,13/90982/B,Replace existing conservatory roof with light weight roof tiles,23-Sep-13,Senior Planning Officer - South (SC),8 Gainsborough Crescent Ramsey Isle Of Man IM8 3NH
Permitted,13/90983/B,Erection of an agricultural building,19-Sep-13,Senior Planning Officer - South (SC),Field 434446 Ballaloaghtan Kerrowkeil Road Grenaby Ballasalla Isle Of Man  
Permitted,13/90984/B,Installation of external flue to side elevation,01-Oct-13,Planning Committee,5 Springfield Rise Foxdale Isle Of Man IM4 3JX 
Permitted,13/90985/B,Creation of a driveway and vehicular access to dwelling house,19-Sep-13,Senior Planning Officer - South (SC),Emscote Highfield Drive Baldrine Isle Of Man IM4 6EE
Permitted,13/90986/GB,"Alterations, erection of a two storey extension, creation of parking and vehicular access amendments (In association with 13/00987/CON)",30-Oct-13,Head of Development Management,Laxey Workingmens Institute 17 New Road Laxey Isle Of Man IM4 7BD
Permitted,13/90988/B,Removal of chimney,25-Oct-13,Senior Planning Officer - South (SC),The Coppins 48 Harbour Road Onchan Isle Of Man IM3 1BN
Refused,13/90989/B,Erection of conservatory to rear elevation,18-Nov-13,Senior Planning Officer - South (SC),12 Ballatessan Meadow Peel Isle Of Man IM5 1DU 
Permitted,13/90990/B,Replace two windows with French doors to front elevation of dwelling,27-Sep-13,Director Delegation,Rycroft Somerset Road Douglas Isle Of Man IM2 5AF
Permitted,13/90991/B,Erection of an extension to provide garage and utility room to dwelling,15-Oct-13,Senior Planning Officer - South (SC),Riverbank House Glen Road Laxey Isle Of Man IM4 7AN 
Permitted,13/90992/B,Installation of replacement front door,27-Sep-13,Head of Development Management,12 Charles Street Peel Isle Of Man IM5 1AF
Permitted,13/90993/B,Installation of replacement windows to front elevation,01-Oct-13,Head of Development Management,Kenilworth Bay View Road Port St. Mary Isle Of Man IM9 5AG
Permitted,13/90994/C,Removal of condition 2 of PA 08/01437/R regarding the usage of the manège,29-Oct-13,Planning Committee,Ballaclucas Farm Top Road Crosby Isle Of Man IM4 4HN
Permitted,13/90995/B,Continuation of landfill for inert construction materials,12-Nov-13,Planning Committee,Landfill Site  Land To South Stoney Mountain Road Eairy Isle Of Man  
Permitted,13/90996/B,"Use of site for the screening, crushing and sorting of mainly inert construction materials",12-Nov-13,Planning Committee,Landfill Site  Land To South Of  Stoney Mountain Road Eairy Isle Of Man  
Permitted,13/90997/B,Erection of a car port,01-Oct-13,Head of Development Management,Hillsdene Quarterbridge Road Douglas Isle Of Man IM2 3RF 
Permitted,13/90998/B,Extension to existing rear elevation balcony,01-Nov-13,Senior Planning Officer - South (SC),25 Larch Hill Grove Douglas Isle Of Man IM2 5NU 
Permitted,13/90999/B,Erection of an extension to dwelling,04-Oct-13,Head of Development Management,2 North Croft Arbory Road Castletown Isle Of Man IM9 1LT 
Permitted,13/91000/B,"Erection of a sludge treatment facility, comprising treatment building, odour control plant, sludge cake storage silo and final product silo",29-Oct-13,Planning Committee,Meary Veg Sewage Treatment Works Balnahowe Santon Isle Of Man IM4 1HL 
Permitted,13/91002/B,Alterations and erection of a raised patio area to rear elevation,27-Sep-13,Head of Development Management,39 Ballabrooie Grove Douglas Isle Of Man IM1 4EX
Permitted,13/91003/B,Erection of extension to side elevation and installation of additional window,27-Sep-13,Head of Development Management,Ballanuy Ballakilpheric Road Colby Isle Of Man IM9 4BT 
Permitted,13/91004/B,Installation of replacement windows,30-Sep-13,Head of Development Management,The Rock Bridge Street Castletown Isle Of Man IM9 1AX
Permitted,13/91005/B,Installation of replacement front doors and fanlights,01-Oct-13,Head of Development Management,18-20 High Street Port St. Mary Isle Of Man IM9 5DW
Refused,13/91006/C,Change of use of land from agricultural to residential garden,16-Oct-13,Planning Committee,Land To Rear Of 1 Knock Rushen Scarlett Road Castletown Isle Of Man  
Refused,13/91007/B,Alterations to existing porch,03-Oct-13,Senior Planning Officer - South (SC),Victoria Cottage St Marks Ballasalla Isle Of Man IM9 3AH 
Permitted,13/91008/B,Installation of glazed doors and guard rail to replace existing first floor window,03-Oct-13,Senior Planning Officer - South (SC),Unit 14 Tromode Estate Carrs Lane Tromode Douglas Isle Of Man IM4 4RB 
Permitted,13/91009/B,Erection of a replacement dwelling with associated external works and extension to residential curtilage,16-Oct-13,Planning Committee,San Remo And Part Of Field Number 430597 Ballamodha Straight Ballamodha Ballasalla Isle Of Man IM9 3AZ
Permitted,13/91010/B,Erection of conservatory,03-Oct-13,Senior Planning Officer - South (SC),94 Pine Grove Ballasalla Isle Of Man IM9 2EA
Permitted,13/91011/B,Erection of a replacement conservatory to dwelling,04-Oct-13,Head of Development Management,Sufre House 8 Banks Howe Onchan Isle Of Man IM3 2ET
Permitted,13/91012/B,Extension to existing car park,29-Oct-13,Planning Committee,Car Park In South Barrule Plantation Shoulder Road Foxdale Isle Of Man  
Refused,13/91013/B,Installation of a replacement shop front,04-Nov-13,Senior Planning Officer - South (SC),22 Castle Street Douglas Isle Of Man IM1 2EZ
Permitted,13/91014/B,Erection of a single storey extension to side elevation,15-Nov-13,Senior Planning Officer - South (SC),Ballanelson Farmhouse Jurby East Isle Of Man IM7 3HD 
Permitted,13/91016/GB,"Installation of replacement windows, doors and rainwater goods; demolition of structure to boiler entrance and replacement with railings; new roof to rear stage and store; landscaping entrance area (in association with 13/01017/CON)",11-Oct-13,Head of Development Management,Ramsey Youth Centre Waterloo Road Ramsey Isle Of Man IM8 1DT
Permitted,13/91018/B,Erection of two agricultural buildings,20-Nov-13,Head of Development Management,Bay View Ballamodha Straight Ballamodha Ballasalla Isle Of Man IM9 3AZ
Permitted,13/91019/B,Erection of conservatory to side elevation,11-Oct-13,Head of Development Management,Sycamore Cottage Jacks Lane Port E Vullen Ramsey Isle Of Man IM7 1AW
Permitted,13/91021/B,Alterations and single storey extension to rear elevation,11-Oct-13,Head of Development Management,34 High View Road Douglas Isle Of Man IM2 5BH
Permitted,13/91023/B,Installation of replacement windows to dwelling,11-Oct-13,Head of Development Management,12 Selborne Road Douglas Isle Of Man IM1 4BU
Permitted,13/91024/B,Installation of replacement rear basement door and sidelight,03-Oct-13,Senior Planning Officer - South (SC),Apartment 1 Marina House 2 Marine Parade Peel Isle Of Man IM5 1PB 
Permitted,13/91025/B,"Creation of two windows, installation of a flue and roof lights, replace existing garage door with a bay window and widening of existing driveway",03-Oct-13,Senior Planning Officer - South (SC),Footprints 12 Christeens Way Ballakillowey Colby Isle Of Man IM9 4BG
Permitted,13/91027/B,Erection of extensions to existing porch,03-Oct-13,Senior Planning Officer - South (SC),7 Park Road Ramsey Isle Of Man IM8 3AR
Permitted,13/91028/GB,Installation of replacement windows to front and rear elevations and replacement back door (in association with 13/01029/CON),07-Oct-13,Head of Development Management,The Red House  1 The Parade Castletown Isle Of Man IM9 1LG
Permitted,13/91030/B,Demolition of existing outbuilding and erection of a detached agricultural workers dwelling with garage,12-Nov-13,Planning Committee,Outbuilding Ballashamrock Farm Port Soderick Glen Port Soderick Isle Of Man  
Refused,13/91031/B,Erection of an agricultural building,01-Nov-13,Head of Development Management,Field 334093 Lhagg Road Dalby Isle Of Man  
Permitted,13/91033/B,"Installation of patio doors, infill existing kitchen door and erection of garden shed",04-Oct-13,Senior Planning Officer - South (SC),10 Erin Way Port Erin Isle Of Man IM9 6EF 
Permitted,13/91034/B,Installation of replacement shop front,03-Oct-13,Senior Planning Officer - South (SC),34 Parliament Street Ramsey Isle Of Man IM8 1AW 
Refused,13/91037/B,Erection of an agricultural building to provide a tractor store,29-Oct-13,Planning Committee,Field 430539 Ballamodha Straight Ballamodha Ballasalla Isle Of Man  
Permitted,13/91038/B,Creation of a roof dormer,11-Oct-13,Head of Development Management,Kenilworth Hotel 5 Castlemona Terrace Central Promenade Douglas Isle Of Man IM2 4LU 
Permitted,13/91039/B,Erection of a single storey extension to rear elevation,10-Oct-13,Senior Planning Officer - South (SC),8 Eastfield Douglas Isle Of Man IM1 4AU
Refused,13/91040/B,Erection of a dwelling with associated garages and vehicular access,28-Oct-13,Head of Development Management,Field 410891 Adjacent To Surby Mount & Victoria Lodge  Surby Road Surby Port Erin Isle Of Man  
Refused,13/91041/B,Extensions to domestic curtilage of property and creation of an access drive,16-Oct-13,Planning Committee,Kirby View Vicarage Road Douglas Isle Of Man IM4 2AD
Permitted,13/91042/B,Erection of a detached garage,15-Oct-13,Planning Committee,Kirby View Vicarage Road Douglas Isle Of Man IM4 2AD
Application Withdrawn,13/91044/B,Alterations to front elevation windows to provide doors with juliet balconies to serve approved apartments,25-Oct-13,Withdrawn,Kenilworth 5 Castlemona Terrace Central Promenade Douglas Isle Of Man IM2 4LU 
Permitted,13/91045/B,Window / door alterations to front and rear elevations and rendering work to rear elevation of building,22-Oct-13,Senior Planning Officer - South (SC),Kenilworth Hotel 5 Castlemona Terrace Central Promenade Douglas Isle Of Man IM2 4LU 
Permitted,13/91046/B,Installation of additional ground floor window to side elevation,10-Oct-13,Senior Planning Officer - South (SC),Flat 1 14 Mona Drive Douglas Isle Of Man IM2 4LF 
Permitted,13/91047/B,Construction of access road,13-Nov-13,Department Application,Land Adjacent To Hangar 229 Jurby Industrial Estate Jurby Isle Of Man  
Permitted,13/91048/B,Conversion of a holiday cottage to provide office accommodation,01-Nov-13,Head of Development Management,Cooil Shellagh Douglas Road Kirk Michael Isle Of Man IM6 1AU
Permitted,13/91050/B,Installation of replacement shop front with retractable canopy and creation of new store in rear yard,30-Oct-13,Head of Development Management,Tanroagan Restaurant  9 Ridgeway Street Douglas Isle Of Man IM1 1EW
Permitted,13/91051/B,Widening existing vehicular access,06-Nov-13,Senior Planning Officer - South (SC),Drummoyne Lezayre Road Ramsey Isle Of Man IM8 2TD
Permitted,13/91052/B,Installation of replacement windows and doors,12-Dec-13,Senior Planning Officer - South (SC),6 Dumbells Terrace Laxey Isle Of Man IM4 7NY
Permitted,13/91053/B,Installation of flue,10-Oct-13,Senior Planning Officer - South (SC),Thie Vannin Nassau Road Regaby Ramsey Isle Of Man IM7 4AL 
Permitted,13/91054/B,Installation of additional flue,18-Nov-13,Senior Planning Officer - South (SC),Hazlewood House  Ballaragh Road Laxey Isle Of Man IM4 7PH 
Permitted,13/91055/B,Alterations to sun room extension (retrospective),10-Oct-13,Senior Planning Officer - South (SC),Rhenwee Cottage   Regaby West Road Andreas Isle Of Man IM7 3HL
Permitted,13/91056/B,Installation of bulk storage domestic gas tank,10-Oct-13,Senior Planning Officer - South (SC),Ballamenagh Farm Handleys Corner Kirk Michael Isle Of Man IM6 1AY
Permitted,13/91057/B,Installation of replacement windows to front elevation,14-Nov-13,Senior Planning Officer - South (SC),1 Market Street Peel Isle Of Man IM5 1AD
Permitted,13/91058/B,Erection of office building for use as corporate headquarters with car parking and landscaping,26-Nov-13,Head of Development Management,Site Adjacent To Buchanan BMW & Dandara Head Office Vicarage Rise Isle Of Man Business Park Douglas Isle Of Man  
Permitted,13/91059/B,Installation of replacement windows to front elevation,10-Oct-13,Senior Planning Officer - South (SC),Langton Cottage 19 Lime Street Port St. Mary Isle Of Man IM9 5EF
Permitted,13/91060/B,Alterations and extensions to dwelling and widen driveway and vehicular access,11-Oct-13,Senior Planning Officer - South (SC),16 Ballakneale Avenue Port Erin Isle Of Man IM9 6ND
Permitted,13/91061/B,Installation of replacement conservatory roof with light weight roof tiles,10-Oct-13,Senior Planning Officer - South (SC),36 Ballamaddrell Port Erin Isle Of Man IM9 6BA
Permitted,13/91062/B,"Conversion of former kitchen/bathroom shop to a dance studio, installation of window and door to replace existing store door",29-Oct-13,Planning Committee,Tregellis House  Westmoreland Road Douglas Isle Of Man IM1 4AD 
Permitted,13/91063/B,Erection of a detached dwelling to replace existing shed with associated parking and alterations to vehicular access (comprising amendments to PA 12/01634/B),14-Nov-13,Head of Development Management,Land Adjacent To Mostynville Chapel Hill Bride Isle Of Man  
Refused,13/91064/B,Erection of a sun room extension,18-Nov-13,Senior Planning Officer - South (SC),2 Bramble Close Douglas Isle Of Man IM2 1QN 
Permitted,13/91065/B,Erection of a fire station with associated parking and training facilities to replace the stations for Castletown and Ballasalla,20-Nov-13,Department Application,Land Adjacent To Forrest House Ronaldsway Industrial Estate Ronaldsway Ballasalla Isle Of Man  
Permitted,13/91066/B,Alterations and extensions to dwelling (amended plans removing rear balcony but retaining proposed single storey rear extension),15-Oct-13,Senior Planning Officer - South (SC),11 Third Avenue Douglas Isle Of Man IM2 6AL
Permitted,13/91068/B,Installation of replacement conservatory roof with light weight roof tiles,14-Nov-13,Head of Development Management,3 The Fairway Onchan Isle Of Man IM3 2EL
Permitted,13/91069/A,Approval in principle for erection of a dwelling,06-Nov-13,Senior Planning Officer - South (SC),Plot 6 St Patricks View Jurby Isle Of Man IM7 3EX 
Permitted,13/91070/B,Replace existing conservatory roof with light weight roof tiles,08-Nov-13,Senior Planning Officer - South (SC),35 Ballaquane Park Peel Isle Of Man IM5 1PX
Permitted,13/91072/GB,Change of use from office accommodation to a pre-school nursery (In association with 13/01073/CON),10-Dec-13,Planning Committee,Rechabite Hall Allan Street Douglas Isle Of Man IM1 3DW
Permitted,13/91074/B,Erection of an agricultural worker's dwelling (comprising amendment to PA 09/00578/REM),12-Nov-13,Planning Committee,Field 432609 Douglas Road Ballasalla Isle Of Man  
Permitted,13/91075/B,Erection of an agricultural worker's dwelling (comprising amendment to PA 13/00215/REM),12-Nov-13,Planning Committee,Field 432608 Douglas Road Ballasalla Isle Of Man  
Application Withdrawn,13/91077/B,Erection of two storage sheds and timber fenced compound area (retrospective),10-Dec-13,Withdrawn,Land To South Of Thie Slieau Whallian Foxdale Road St Johns Isle Of Man  
Permitted,13/91078/B,Erection of extension to replace existing conservatory,21-Oct-13,Senior Planning Officer - South (SC),48 Fuchsia Road Reayrt Ny Keylley Peel Isle Of Man IM5 1GA 
Permitted,13/91079/B,"Change of use of part of first floor office suites into a self contained apartment, elevation alterations and replacement of existing windows",08-Nov-13,Senior Planning Officer - South (SC),Ports Of Call Bay View Road Port St. Mary Isle Of Man IM9 5AE 
Permitted,13/91080/B,Installation of flush windows to replace existing ground floor bay windows,15-Nov-13,Senior Planning Officer - South (SC),The Gardens Quarterbridge Road Douglas Isle Of Man IM2 3RJ
Deemed withdrawn 4(3) Dev Pro Order 2005,13/91081/B,Removal of imitation chimney stack,18-Dec-13,Withdrawn,1 Kellys Court St Peters Lane Peel Isle Of Man IM5 1AP
Permitted,13/91084/B,Erection of a storage shed (retrospective),01-Nov-13,Senior Planning Officer - South (SC),Field 124530 Smeale Road Andreas Isle Of Man  
Permitted,13/91085/B,Alterations to approved extension under construction (PA 07/01873/B),22-Oct-13,Senior Planning Officer - South (SC),Bay View Ballamodha Straight Ballamodha Ballasalla Isle Of Man IM9 3AZ
Permitted,13/91086/B,Erection of a single storey extension to rear elevation,04-Dec-13,Senior Planning Officer - South (SC),13 Terence Avenue Douglas Isle Of Man IM2 5BL
Permitted,13/91087/B,Alterations and extension to rear elevation to replace existing sun lounge,06-Nov-13,Senior Planning Officer - South (SC),55 Queen Street Castletown Isle Of Man IM9 1PA
Permitted,13/91088/C,Variation of condition 3 of approved fish and chip shop take-away (PA 10/01682/C) to allow additional opening days,19-Nov-13,Department Application,Andy's Plaice  37 Clagh Vane Ballasalla Isle Of Man IM9 2HD
Permitted,13/91089/B,Erection of floodlighting to be operated by token meters,18-Nov-13,Senior Planning Officer - South (SC),Tennis Courts Mooragh Park Ramsey Isle Of Man  
Permitted,13/91090/B,Alterations and extensions to dwelling,04-Nov-13,Senior Planning Officer - South (SC),Ballacallin House Gordon Peel Isle Of Man IM5 3AR 
Permitted,13/91091/B,Erection of sun room extension to replace existing conservatory,21-Oct-13,Senior Planning Officer - South (SC),19 Cannan Avenue Kirk Michael Isle Of Man IM6 1HF
Permitted,13/91092/B,Replace existing conservatory roof with light weight roof tiles,01-Nov-13,Senior Planning Officer - South (SC),10 Romney Wynd Ramsey Isle Of Man IM8 3NJ
Refused,13/91094/A,Approval in principle for erection of a replacement dwelling,01-Nov-13,Head of Development Management,Field 430242 Corlea Farm  Corlea Road Ballasalla Isle Of Man  
Refused,13/91095/B,Erection of a single storey extension to rear elevation to replace existing sunroom,05-Nov-13,Senior Planning Officer - South (SC),2 Turnberry Avenue Onchan Isle Of Man IM3 2JS
Permitted,13/91096/B,Replace existing roof chiller with two new units,04-Nov-13,Senior Planning Officer - South (SC),Royal Bank House Victoria Street Douglas Isle Of Man IM1 2LN
Permitted,13/91097/B,Erection of a modular custody suite extension,13-Nov-13,Planning Committee,Police Headquarters  Dukes Avenue Douglas Isle Of Man IM2 4RG 
Permitted,13/91098/B,Replace existing single roof light with two roof lights,26-Nov-13,Head of Development Management,26 Hope Street Castletown Isle Of Man IM9 1AP
Permitted,13/91099/B,Conversion of basement and ground floor into two apartments,12-Nov-13,Planning Committee,46 Loch Promenade Douglas Isle Of Man IM1 2LZ
Permitted,13/91100/B,Erection of a pump station building with hard-standing and boundary fencing,06-Nov-13,Planning Committee,West Side Of Field Number 234091Ballanea Farm Coast Road Kirk Michael Isle Of Man  
Permitted,13/91102/B,Alterations and erection of extensions to dwelling (Amendments to PA 13/00379/B),28-Oct-13,Senior Planning Officer - South (SC),33 Howe Road Onchan Isle Of Man IM3 2BA
Permitted,13/91103/B,Replace existing conservatory roof with light weight roof tiles,04-Nov-13,Senior Planning Officer - South (SC),29 Farmhill Lane Douglas Isle Of Man IM2 2EF
Permitted,13/91104/B,Erection of timber staircase to provide access to rear yard (retrospective),25-Oct-13,Senior Planning Officer - South (SC),34 Queen Street Castletown Isle Of Man IM9 1PA
Permitted,13/91105/B,"Alterations, erection of a two storey extension to dwelling and widening of vehicular access",04-Nov-13,Senior Planning Officer - South (SC),14 Furman Road Onchan Isle Of Man IM3 1BS
Permitted,13/91106/B,"Re-location of vehicular access into site, erection of new stable block and horse riding manege",20-Nov-13,Head of Development Management,Ballagilley Farm Rhowin Road Hibernia  Maughold Isle Of Man  
Permitted,13/91111/B,Installation of replacement windows and doors to front elevation,04-Nov-13,Senior Planning Officer - South (SC),36A Market Street Peel Isle Of Man IM5 1AE
Permitted,13/91112/B,Erection of an extension to rear elevation of dwelling,20-Nov-13,Head of Development Management,8 Lyndale Avenue Peel Isle Of Man IM5 1JY
Permitted,13/91113/B,Alterations to kitchen doors to rear elevation of dwelling,25-Oct-13,Senior Planning Officer - South (SC),32 Majestic Drive Onchan Isle Of Man IM3 2JJ
Permitted,13/91114/B,Installation of decking and widen existing driveway and vehicular access,25-Oct-13,Senior Planning Officer - South (SC),12 Cronk Avenue Onchan Isle Of Man IM3 3DG
Permitted,13/91115/B,Installation of a replacement shop front and replacement windows to front elevation,14-Nov-13,Senior Planning Officer - South (SC),Ken Quines 15 Station Road Port Erin Isle Of Man IM9 6AE 
Refused,13/91116/B,Conversion of former workshop and offices into two dwellings,01-Nov-13,Senior Planning Officer - South (SC),5 Farrants Way Castletown Isle Of Man IM9 1NR
Permitted,13/91117/B,Erection of fourteen industrial and / or warehousing & distribution units (Amendments to PA 13/00555/B),19-Dec-13,Director Delegation,Part Field 521895 And Site Of Former Cooil Smithy Adjacent To Cooil Road Braddan Isle Of Man 
Permitted,13/91118/B,Erection of a single storey extension in rear yard and replacement windows and door at front (amended description),14-Nov-13,Senior Planning Officer - South (SC),22 St Georges Walk Douglas Isle Of Man IM1 1AW 
Permitted,13/91119/B,Alterations including creation of roller shutter openings and regrading of existing hard standing to create level access,20-Nov-13,Head of Development Management,Heron & Brearley Warehouse & Distribution Centre Old Castletown Road Douglas Isle Of Man IM2 1QG
Permitted,13/91120/B,Creation of an additional ten parking spaces,20-Nov-13,Head of Development Management,Heron & Brearley Warehouse & Distribution Centre Old Castletown Road Douglas Isle Of Man
Permitted,13/91121/B,Erection of porch,06-Nov-13,Senior Planning Officer - South (SC),Pier House Stanley Mount East Ramsey Isle Of Man IM8 1NP
Permitted,13/91122/B,Installation of a flue to dwelling,11-Nov-13,Planning Committee,3 Springfield Rise Foxdale Isle Of Man IM4 3JX 
Permitted,13/91123/B,Demolition of rear annex and erection of a two storey extension to provide garage and ancillary living accommodation,15-Nov-13,Senior Planning Officer - South (SC),14 Stanley Terrace Douglas Isle Of Man IM2 4EP
Permitted,13/91124/B,Alterations and erection of an extension to dwelling,20-Nov-13,Head of Development Management,22 Victoria Avenue Douglas Isle Of Man IM2 4AN
Refused,13/91125/B,Alterations and extensions to dwelling,01-Nov-13,Senior Planning Officer - South (SC),Heathfield Phildraw Road Ballasalla Isle Of Man IM9 3EH
Permitted,13/91126/REM,Reserved Matters application for the formation of vehicular access for three detached dwellings (as approved under PA 12/00525/A),01-Nov-13,Head of Development Management,"Field 432533,432534 And 432535  Phildraw Road Ballasalla Isle Of Man  "
Permitted,13/91127/B,Erection of an attached garage and widening of existing driveway,20-Nov-13,Head of Development Management,Broughjairg Richmond Road Ramsey Isle Of Man IM8 3PB
Permitted,13/91128/B,Installation of replacement windows to front elevation,08-Nov-13,Head of Development Management,69 Derby Square Douglas Isle Of Man IM1 3LR
Permitted,13/91129/B,Erection of a replacement agricultural barn,14-Nov-13,Head of Development Management,Balladronnan Smallholding  Formerly Field 220911  Bollyn Road Ballaugh Isle Of Man  
Permitted,13/91130/C,Change of use from office accommodation to a retail unit,04-Nov-13,Senior Planning Officer - South (SC),19 Victoria Street Douglas Isle Of Man IM1 2LW 
Permitted,13/91131/B,Erection of a cattery building for the operation of a commercial cattery business,03-Dec-13,Senior Planning Officer - South (SC),Garden To Rear Of Little Acre Quarterbridge Road Douglas Isle Of Man IM2 3RH
Permitted,13/91133/B,Alterations to vehicular access onto highway,04-Nov-13,Senior Planning Officer - South (SC),Middle Cronkbane Farm Cronk Y Voddy Kirk Michael Isle Of Man IM6 1AZ 
Permitted,13/91134/B, Installation of replacement windows to front and rear elevations,04-Nov-13,Senior Planning Officer - South (SC),27 Hawarden Avenue Douglas Isle Of Man IM1 4BP
Permitted,13/91136/B,Erection of a replacement barn,14-Nov-13,Senior Planning Officer - South (SC),Upper Yard And Part Of Field 620800 Ballakilley Farm  Maughold Isle Of Man IM7 1AT 
Permitted,13/91137/B,Erection of extension to replace existing conservatory,05-Nov-13,Senior Planning Officer - South (SC),Ballaleshin Quines Hill Port Soderick Isle Of Man IM4 1AU 
Permitted,13/91138/B,Erection of shed in front garden (retrospective),01-Nov-13,Senior Planning Officer - South (SC),11 Stowell Place Castletown Isle Of Man IM9 1HF
Permitted,13/91139/B,"Alterations to dwelling, erection of replacement garage, widen driveway and access onto highway",14-Nov-13,Head of Development Management,19 Ballamillaghyn Estate Mount Rule Douglas Isle Of Man IM4 4HX
Permitted,13/91140/B,Installation of replacement windows to front elevation,14-Nov-13,Senior Planning Officer - South (SC),73 Woodbourne Road Douglas Isle Of Man IM2 3AQ
Permitted,13/91141/B,Installation of replacement windows to second floor front elevation,14-Nov-13,Head of Development Management,4-6 Atholl Place Peel Isle Of Man IM5 1HE
Permitted,13/91142/B,Removal of chimney stack,12-Nov-13,Planning Committee,Former Isle Of Man Bank Premises  Main Road Kirk Michael Isle Of Man IM6 1AD
Permitted,13/91143/B,Erection of extension to existing agricultural building,10-Dec-13,Head of Development Management,Oatlands Farm  Oatlands Road Santon Isle Of Man IM4 1ED
Permitted,13/91144/B,Alterations and extension to dwelling and rebuilding of front garden wall,16-Dec-13,Director Delegation,Crown Place Shore Road Castletown Isle Of Man IM9 1BF
Permitted,13/91145/B,"Installation of replacement windows, doors and fascia",14-Nov-13,Head of Development Management,Rosedene Main Road Ballabeg Castletown Isle Of Man IM9 4HA
Permitted,13/91146/B,Alterations and extensions to dwelling,21-Nov-13,Head of Development Management,19 Banks Howe Onchan Isle Of Man IM3 2EN
Permitted,13/91147/B,Installation of replacement windows and patio doors,14-Nov-13,Head of Development Management,39 Hope Street Castletown Isle Of Man IM9 1AP
Permitted,13/91148/B,Installation of replacement conservatory roof with light weight roof tiles,14-Nov-13,Head of Development Management,66 Ballagarey Road Glen Vine Isle Of Man IM4 4EQ
Permitted,13/91150/B,Installation of replacement windows to front elevation,14-Nov-13,Head of Development Management,115 Woodbourne Road Douglas Isle Of Man IM2 3AU
Permitted,13/91151/B,Erection of a single storey extension to rear elevation,21-Nov-13,Head of Development Management,3 Heywood Way Onchan Isle Of Man IM3 3AB
Permitted,13/91153/B,Installation of replacement shop front and window,08-Nov-13,Senior Planning Officer - South (SC),3 Water Street Ramsey Isle Of Man IM8 1JP 
Permitted,13/91155/B,Conversion of existing first floor office to additional living accommodation for upper floor apartment,04-Dec-13,Senior Planning Officer - South (SC),4 Market Place East Ramsey Isle Of Man IM8 1JY
Refused,13/91156/A,Approval in principle for erection of a dwelling,18-Nov-13,Senior Planning Officer - South (SC),Land Adjacent To Hill View Clanagh Road Sulby Isle Of Man  
Permitted,13/91159/B,Material alteration to the external finish of the dwelling and removal of a chimney,14-Nov-13,Senior Planning Officer - South (SC),Horizon House Glen Road Colby Isle Of Man IM9 4HW
Permitted,13/91160/B,Erection of an extension to dwelling,04-Dec-13,Senior Planning Officer - South (SC),60 Claughbane Drive Ramsey Isle Of Man IM8 2BJ
Permitted,13/91161/B,Replace existing conservatory roof with light weight roof tiles,14-Nov-13,Head of Development Management,1 Strawberry Meadows Colby Isle Of Man IM9 4DA 
Permitted,13/91162/B,"Alterations to dwelling including installation of dormers, removal of chimney, installation of additional gable end window and patio doors",22-Nov-13,Senior Planning Officer - South (SC),Thalia Main Road Union Mills Isle Of Man IM4 4ND
Permitted,13/91163/B,Erection of sun room extension to rear elevation,15-Nov-13,Head of Development Management,15 Ennerdale Avenue Onchan Isle Of Man IM3 2EU 
Permitted,13/91164/B,Alterations and erection of extension to dwelling,08-Nov-13,Senior Planning Officer - South (SC),Cronk Mayn Beg Jurby Road Ramsey Isle Of Man IM8 3TA 
Permitted,13/91165/B,Installation of replacement windows,15-Nov-13,Head of Development Management,63 Woodbourne Road Douglas Isle Of Man IM2 3AQ
Permitted,13/91167/B,Alterations and erection of extension over garage,08-Nov-13,Senior Planning Officer - South (SC),27 Claughbane Drive Ramsey Isle Of Man IM8 2BH
Permitted,13/91168/B,Installation of a replacement roof to existing conservatory,08-Nov-13,Senior Planning Officer - South (SC),70 Claughbane Drive Ramsey Isle Of Man IM8 2BL
Refused,13/91170/B,"Alterations, erection of extensions, creation of parking and extension of domestic curtilage",20-Dec-13,Planning Committee,Dinah's Cottage Including Part Fields 330836 & 334658 Main Road Glen Maye Isle Of Man  
Permitted,13/91171/B,Erection of a front porch to dwelling,15-Nov-13,Senior Planning Officer - South (SC),Hilldene 7 Links View Onchan Isle Of Man IM3 2AW
