"osm_id","osm_type","osm_url","lat","lon","postal_code","source:postal_code"
"149066461","way","https://osm.org/way/149066461","54.21918284430868","-4.681706295853293","IM5 1GN","Isle of Man Government Land Registry Land Transactions"
"168797474","way","https://osm.org/way/168797474","54.21916146273692","-4.681231453816085","IM5 1GQ","Isle of Man Government Land Registry Land Transactions"
"809162626","way","https://osm.org/way/809162626","54.218057520015705","-4.681822908990463","IM5 1GU","Isle of Man Government Land Registry Land Transactions"
"62754988","way","https://osm.org/way/62754988","54.222410860933365","-4.68438261825368","IM5 1HP",""
"147860349","way","https://osm.org/way/147860349","54.22149258436838","-4.689547051631378","IM5 1JS",""
"25989652","way","https://osm.org/way/25989652","54.221387972074155","-4.692318981865285","IM5 1JZ;IM5 1LB","Isle of Man Government Land Registry Land Transactions"
"168817259","way","https://osm.org/way/168817259","54.2216205","-4.692262","IM5 1JZ;IM5 1LB","Isle of Man Government Land Registry Land Transactions"
"25987820","way","https://osm.org/way/25987820","54.223240000000004","-4.691492","IM5 1ND","Isle of Man Government Land Registry Land Transactions"
"25988733","way","https://osm.org/way/25988733","54.22345201266083","-4.691594784353117","IM5 1NE","Isle of Man Government Land Registry Land Transactions"
"25986960","way","https://osm.org/way/25986960","54.223465456291144","-4.690015671052257","IM5 1NX;IM5 1NY","Isle of Man Government Land Registry Land Transactions"
"25989186","way","https://osm.org/way/25989186","54.22377461582378","-4.69131610428065","IM5 1NX;IM5 1NY","Isle of Man Government Land Registry Land Transactions"
"496611432","node","https://osm.org/node/496611432","54.22404","-4.691552","IM5 1PA",""
"147204835","way","https://osm.org/way/147204835","54.22471275562086","-4.688123537367017","IM5 1PB",""
"43531304","way","https://osm.org/way/43531304","54.223852506411","-4.690160549857359","IM5 1PD","Isle of Man Government Land Registry Land Transactions"
"25986007","way","https://osm.org/way/25986007","54.224063887338104","-4.687355959107113","IM5 1PG","Isle of Man Government Land Registry Land Transactions"
"25988826","way","https://osm.org/way/25988826","54.22440971225405","-4.686111996138859","IM5 1PH","Isle of Man Government Land Registry Land Transactions"
"25986009","way","https://osm.org/way/25986009","54.22475983641258","-4.685152298012715","IM5 1PN","Isle of Man Government Land Registry Land Transactions"
"1013324828","way","https://osm.org/way/1013324828","54.21942185517052","-4.678231605364161","IM5 1QN","Isle of Man Government Land Registry Land Transactions"
"1013324824","way","https://osm.org/way/1013324824","54.218718328387624","-4.679403901316095","IM5 1QP","Isle of Man Government Land Registry Land Transactions"
"859695488","way","https://osm.org/way/859695488","54.21895865863327","-4.6777149640138385","IM5 1QQ","Isle of Man Government Land Registry Land Transactions"
"1013324821","way","https://osm.org/way/1013324821","54.218371","-4.6782585","IM5 1QS","Isle of Man Government Land Registry Land Transactions"
"1013324823","way","https://osm.org/way/1013324823","54.21792459914312","-4.6788198273588035","IM5 1QT","Isle of Man Government Land Registry Land Transactions"
"1013324825","way","https://osm.org/way/1013324825","54.21759369243495","-4.679648462363929","IM5 1QU","Isle of Man Government Land Registry Land Transactions"
"859693126","way","https://osm.org/way/859693126","54.21718149120371","-4.680246244771319","IM5 1QX","Isle of Man Government Land Registry Land Transactions"
"859693122","way","https://osm.org/way/859693122","54.21704926993794","-4.680882202211233","IM5 1QY","Isle of Man Government Land Registry Land Transactions"
"840594528","way","https://osm.org/way/840594528","54.21723991066513","-4.68181843726362","IM5 1QZ","Isle of Man Government Land Registry Land Transactions"
"25986343","way","https://osm.org/way/25986343","54.22616010601146","-4.681191953924032","IM5 1UD","Isle of Man Government Land Registry Land Transactions"
"25987085","way","https://osm.org/way/25987085","54.22763071653006","-4.679934030297034","IM5 1UJ","Isle of Man Government Land Registry Land Transactions"
"25988666","way","https://osm.org/way/25988666","54.22714366478956","-4.677270979773431","IM5 1UL;IM5 1UN","Isle of Man Government Land Registry Land Transactions"
"25989231","way","https://osm.org/way/25989231","54.22603185454973","-4.679643314387637","IM5 1UR","Isle of Man Government Land Registry Land Transactions"
"25986715","way","https://osm.org/way/25986715","54.22725285428463","-4.6781758040633905","IM5 1UW","Isle of Man Government Land Registry Land Transactions"
"60692103","way","https://osm.org/way/60692103","54.215549397227015","-4.653410197292842","IM5 2AN",""
"475394346","node","https://osm.org/node/475394346","54.212624","-4.653889","IM5 2AP","Isle of Man Government Land Registry Land Transactions"
"475393405","node","https://osm.org/node/475393405","54.20924","-4.703765","IM5 3AQ",""
"475393035","node","https://osm.org/node/475393035","54.202067","-4.679317","IM5 3AW","Planning Committee minutes"
"475394734","node","https://osm.org/node/475394734","54.172894","-4.728026","IM5 3BP","Isle of Man Government Planning Applications"
"437221850","way","https://osm.org/way/437221850","54.166663279067464","-4.734027054839378","IM5 3BS",""
