Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,12/01002/B,Erection of a dwelling with associated parking,02-Oct-12,Planning Committee,Plot 11 Poachers Pocket Development Bridge Road Ballasalla Isle Of Man IM9 3DA 
Permitted,12/01003/B,Alterations and erection of extension to dwelling,28-Aug-12,Senior Planning Officer - South (SC),2 Westbourne Drive Douglas Isle Of Man IM1 4AZ
Permitted,12/01004/B,Roof extension to existing tractor/implement shed,28-Aug-12,Head of Development Management,Field 431707 Ballamodha Straight Ballamodha Ballasalla Isle Of Man  
Refused,12/01005/B,Conversion of existing retail shop to a takeaway and installation of extraction unit to rear elevation,02-Oct-12,Planning Committee,1 Station Road Port Erin Isle Of Man IM9 6AE
Permitted,12/01006/C,Change of use from former joiner's workshop to a nursery school,26-Sep-12,Senior Planning Officer - South (SC),Workshop  Nursery Avenue Onchan Isle Of Man  
Permitted,12/01007/B,Roofing works,04-Oct-12,Department Application,Government Offices Old Hanover Street School Lord Street Douglas Isle Of Man IM1 1LE 
Permitted,12/01008/GB,Installation of replacement windows to front and rear elevations (In association with 12/01009/CON),17-Oct-12,Head of Development Management,6 Harris Terrace Douglas Isle Of Man IM1 3LZ
Permitted,12/01009/CON,Registered Building Consent for installation of replacement windows to front and rear elevation (RB no 210 in association with 12/01008/GB),17-Oct-12,Head of Development Management,6 Harris Terrace Douglas Isle Of Man IM1 3LZ
Permitted,12/01010/B,Removal of top outlet and re-cladding of industrial unit,30-Oct-12,Department Application,Unit 244 Jurby Industrial Estate Jurby Isle Of Man IM7 3BD 
Permitted,12/01011/B,Installation of wrought iron gates to replace existing gates,06-Sep-12,Head of Development Management,15A Factory Lane Peel Isle Of Man IM5 1NA
Permitted,12/01013/B,Installation of replacement windows,28-Aug-12,Senior Planning Officer - South (SC),6 Hatfield Grove Douglas Isle Of Man IM1 3HD
Permitted,12/01014/GB,Installation of replacement windows to ground floor (In association with 12/01015/CON),04-Sep-12,Head of Development Management,Holly Lodge Bishopscourt Kirk Michael Isle Of Man IM6 2EZ 
Permitted,12/01015/CON,Registered Building consent for the installation of replacement windows to ground floor (In association with 12/01014/GB) Registered Building Nos. 23,04-Sep-12,Head of Development Management,Holly Lodge Bishopscourt Kirk Michael Isle Of Man IM6 2EZ 
Application Withdrawn,12/01016/B,"Extension to existing shed, erection of timber frame barn and erection of field shelter",26-Oct-12,Withdrawn,Field 220269 Ballacrye Road Ballaugh Isle Of Man  
Permitted,12/01017/B,Installation of a roof light,28-Aug-12,Senior Planning Officer - South (SC),5 Berkeley Street Douglas Isle Of Man IM2 3QB
Permitted,12/01018/B,Installation of first and second floor replacement windows to front elevation,24-Aug-12,Head of Development Management,51 Malew Street Castletown Isle Of Man IM9 1AE
Permitted,12/01019/B,Installation of replacement french doors and remove two existing windows to create additional french doors,28-Aug-12,Head of Development Management,51 Malew Street Castletown Isle Of Man IM9 1AE
Permitted,12/01020/B,Installation of roof lights,28-Aug-12,Head of Development Management,Sarpedon Orrisdale Road Ballasalla Isle Of Man IM9 3AE
Permitted,12/01021/B,Alterations to front elevation of dwelling,28-Aug-12,Senior Planning Officer - South (SC),Tendele Lodge Scollag Road Hillberry Onchan Isle Of Man IM4 5BS 
Permitted,12/01022/B,"Alterations, erection of extensions to dwelling and driveway alterations",12-Sep-12,Senior Planning Officer - South (SC),La Casita 4 Majestic Drive Onchan Isle Of Man IM3 2JQ
Permitted,12/01023/B,Alterations and extension to dwelling (Amendments to PA 12/00735/B),12-Sep-12,Senior Planning Officer - South (SC),Dreemlang Queens Drive West Ramsey Isle Of Man IM8 2JD
Permitted,12/01024/C,Additional use of clubhouse as a children's nursery,28-Aug-12,Head of Development Management,Union Mills Football Club Ballaoates Road Strang Douglas Isle Of Man IM4 4TE 
Permitted,12/01025/B,Creation of a recycling bulking up area,02-Oct-12,Planning Committee,Operational Service Centre Isle Of Man Business Park Douglas Isle Of Man IM2 2QY 
Refused,12/01026/B,"Erection of a two storey extension to side elevation, single storey extension to rear elevation, removal of rear workshop and widening of vehicular access",13-Sep-12,Planning Committee,4 Grenea Cottages Shore Road Kentraugh Port St. Mary Isle Of Man IM9 5NB
Permitted,12/01027/B,Erection of extension to rear elevation and installation of replacement windows and door to front elevation,28-Aug-12,Senior Planning Officer - South (SC),10 Church Avenue Onchan Isle Of Man IM3 4ED
Refused,12/01028/B,Erection of a replacement dwelling (comprising amendments to PA 12/00563/B),19-Sep-12,Planning Committee,Field 134924 Lower Glentramman Farm  Garey Road Garey Ramsey Isle Of Man  
Certificate of Lawfulness AGREED,12/01029/LAW,Application for a certificate of lawful development for the installation of replacement windows,28-Aug-12,Head of Development Management,65 Malew Street Castletown Isle Of Man IM9 1LR
Permitted,12/01030/B,Erection of a single storey extension to rear elevation,12-Sep-12,Head of Development Management,23 Factory Lane Peel Isle Of Man IM5 1NA
Permitted,12/01031/B,Installation of replacement windows and erection of extension to dwelling,30-Aug-12,Senior Planning Officer - South (SC),3 Switzerland Terrace Douglas Isle Of Man IM2 4NQ
Permitted,12/01032/B,Conversion of existing retail unit to provide residential accommodation,06-Nov-12,Senior Planning Officer - North (CB),The Longhouse Shop Viking Longhouse East Quay Peel Isle Of Man IM5 1AR 
Permitted,12/01033/B,Erection of a timber bmx ramp (Retrospective),21-Sep-12,Planning Committee,Queig 5 Faaie-Ny-Cabbal Kirk Michael Isle Of Man IM6 2HS
Permitted,12/01034/C,Change of use from Police Station to residential accommodation,04-Sep-12,Head of Development Management,Police Station House Bay View Road Port St. Mary Isle Of Man IM9 5AW
Permitted,12/01035/B,Alterations and extension to dwelling,04-Sep-12,Head of Development Management,47 Maple Avenue Onchan Isle Of Man IM3 3GA
Permitted,12/01036/B,Erection of an extension to existing agricultural building,20-Sep-12,Senior Planning Officer - North (CB),Ballamoar Farm Patrick Road Patrick Village Isle Of Man IM5 3AW
Permitted,12/01037/B,Erection of kitchen extension to rear elevation,30-Aug-12,Senior Planning Officer - South (SC),16 Farrant Street Douglas Isle Of Man IM2 3HG
Permitted,12/01038/B,Conversion of existing barn to a dwelling,21-Sep-12,Planning Committee,Barn Cronkbane Farm Port Soderick Braddan IM4 1AR  
Permitted,12/01039/B,Installation of replacement windows to front elevation at ground and first floor levels,04-Sep-12,Head of Development Management,27 Derby Road Douglas Isle Of Man IM2 3ES
Permitted,12/01040/B,Erection of an extension to dwelling,13-Sep-12,Senior Planning Officer - North (CB),58 Broogh Wyllin Shore Road Kirk Michael Isle Of Man IM6 1HU 
Permitted,12/01042/B,"Installation of new external double doors, single doors and windows",13-Sep-12,Senior Planning Officer - South (SC),Onchan School School Road Onchan Isle Of Man IM3 4PD
Permitted,12/01043/B,Erection of a replacement dwelling (Amendments to PA 10/00879/REM),06-Sep-12,Head of Development Management,The Tramman Ballakillowey Road Colby Isle Of Man IM9 4BP 
Permitted,12/01044/B,"Renewal of road layout, new street lighting and infrastructure improvement works (Phase 2 and 3)",01-Nov-12,Senior Planning Officer - North (CB),The Fish Yard Mill Road Peel Isle Of Man  
Permitted,12/01045/B,"Alterations, erection of extension to provide garage, replacement ballustrading and spiral staircase to dwelling",05-Oct-12,Head of Development Management,6 Howe Road Onchan Isle Of Man IM3 2BB
Refused,12/01046/B,Installation of a dormer window to rear elevation of dwelling,05-Sep-12,Director Delegation,25 Linden Gardens Douglas Isle Of Man IM2 6AB 
Application Withdrawn,12/01047/B,Alterations and extension to outbuilding to form a dwelling with vehicular access (comprising amendments to PA 11/01535/B),19-Sep-12,Withdrawn,Smeall Manaugh Smeale Andreas Isle Of Man  
Permitted,12/01048/B,Installation of replacement windows and installation of door and window to existing apertures,04-Sep-12,Head of Development Management,26 Fairway Drive Ramsey Isle Of Man IM8 2BB
Permitted,12/01049/B,Alterations and extensions to provide garaging and additional living accommodation (Alterations to PA 11/01714/B),10-Sep-12,Senior Planning Officer - South (SC),Greenbank Bride Road Ramsey Isle Of Man IM8 3UN
Permitted,12/01050/B,Extension to existing garage block to create store,01-Nov-12,Senior Planning Officer - North (CB),Garages  Fish Yard Mill Road Peel Isle Of Man  
Permitted,12/01051/B,"Erection of garage with study room over, to replace existing store and installation of roof lights (Alterations to PA 09/00054/B)",07-Sep-12,Head of Development Management,Eastfield House Rowany Villas Port Erin Isle Of Man IM9 6LJ
Permitted,12/01052/B,Creation of a vehicular access and associated parking,30-Aug-12,Senior Planning Officer - South (SC),Ballavastyn Villa Leodest Road Andreas Isle Of Man IM7 3EG
Permitted,12/01053/B,"Remediation of site, erection of a detached dwelling and associated landscaping works",02-Oct-12,Planning Committee,The Deads East Foxdale Road Foxdale Isle Of Man  
Permitted,12/01054/B,Alterations and extension to rear elevation,30-Aug-12,Senior Planning Officer - South (SC),73 Derby Square Douglas Isle Of Man IM1 3LR 
Refused,12/01055/B,Erection of an ancillary building and alterations to existing site boundary and parking hard standing,13-Sep-12,Director Delegation,Killane House Formerly Killane Lodge Killane Ballaugh Isle Of Man IM7 5BD 
Application Withdrawn,12/01056/B,Alterations and extension to dwelling (Retrospective),20-Sep-12,Withdrawn,Rhynefield West Baldwin Isle Of Man IM4 5HD 
Permitted,12/01057/B,Demolition and replacement of existing dwelling including renovation of existing barns (Amendments to PA 11/01518/B),18-Sep-12,Planning Committee,Ballacaroon Farm West Baldwin Road Mount Rule Isle Of Man IM4 4HS 
Permitted,12/01058/B,Erection of a detached building to create two semi detached tourist units and access alterations,18-Sep-12,Planning Committee,Lilybank Kionslieu Hill Foxdale Isle Of Man IM4 3HB
Permitted,12/01059/B,Installation of replacement shop window,04-Sep-12,Head of Development Management,19 Douglas Street Peel Isle Of Man IM5 1BA 
Permitted,12/01060/B,Erection of three detached dwellings on site of previously approved two dwellings (Amendment to PA 10/00544/B),20-Sep-12,Senior Planning Officer - North (CB),"Plots B16 & B17 Field 311825 & Parts Of Fields 315097, 311826, 311827 & 314444 Between Derby Road / Poortown Road & QE2 High School And East Of Reayrt Ny Keylley Peel Isle Of Man  Reayrt Ny Cronk Poortown Road Peel Isle Of Man  "
Permitted,12/01061/B,Installation of dormer windows and erection of extension to dwelling,27-Nov-12,Senior Planning Officer - North (CB),19 Bridge Street Peel Isle Of Man IM5 1NQ
Permitted,12/01062/B,Installation of dormer to rear elevation and roof lights to front elevation,13-Sep-12,Senior Planning Officer - North (CB),Sheeoil Reesht 70 Slieau Curn Park Kirk Michael Isle Of Man IM6 1EW 
Permitted,12/01063/B,"Erection of three detached dwellings on site of previously approved four semi detached dwellings, revision of plot boundaries and extension of access road (Amendment to PA 10/00544/B)",20-Sep-12,Senior Planning Officer - North (CB),"Plots C18, C19, C20, C21 & C22 Field 311825 And Parts Of Fields 315097, 311826, 311827 & 314444 Between Derby Road / Poortown Road & QE2 High School And East Of Reayrt Ny Keylley Peel Isle Of Man "
Permitted,12/01064/B,Installation of a satellite dish,06-Sep-12,Senior Planning Officer - South (SC),Ballakermeen High School St Catherines Drive Douglas Isle Of Man IM1 4BE 
Permitted,12/01065/B,Erection of a replacement dwelling,02-Oct-12,Planning Committee,Ballarhenny Orrisdale Kirk Michael Isle Of Man IM6 2HJ 
Refused,12/01066/B,Erection of a roof extension to side elevation and installation of dormer to rear elevation,07-Sep-12,Senior Planning Officer - South (SC),12 Sunningdale Drive Onchan Isle Of Man IM3 1EQ
Refused,12/01068/B,Alterations and extensions to dwelling to form ancillary living accommodation and widening of driveway and vehicular access,20-Sep-12,Senior Planning Officer - North (CB),Amberwell Surby Road Surby Port Erin Isle Of Man IM9 6TA
Permitted,12/01069/B,Alterations to equestrian entrance gates and access,18-Sep-12,Planning Committee,Entrance To Ballamona Estate Oak Hill Port Soderick Isle Of Man  
Permitted,12/01070/B,Creation of additional hard standing and erection of canopy over front door,06-Sep-12,Senior Planning Officer - South (SC),9 Cooil Close Douglas Isle Of Man IM2 2HH
Permitted,12/01071/B,"Re-development of existing coach park including creation of three coach parking bays, manoeuvring/drop off area, waiting area, paving, seating and lighting",03-Nov-12,Department Application,Coach Park Mines Road Laxey Isle Of Man  
Application Invalid,12/01072/D,Erection of hoarding,19-Oct-12,Planning Committee,Ashdowne House Ballavale Road Santon Isle Of Man IM4 1EH
Permitted,12/01073/C,Change of use from residential to a residential care home,18-Sep-12,Planning Committee,14 Derby Road Douglas Isle Of Man IM2 3ET
Permitted,12/01074/B,Erection of extension to rear elevation,06-Sep-12,Senior Planning Officer - South (SC),Brow Crest Ballabrooie Drive Douglas Isle Of Man IM1 4HG
Permitted,12/01075/B,Installation of replacement windows to bay window,06-Sep-12,Senior Planning Officer - South (SC),3 Marathon Drive Douglas Isle Of Man IM2 4BP
Permitted,12/01076/B,Alterations and erection of extension to dwelling,07-Sep-12,Senior Planning Officer - South (SC),Riakano Lodge Pack Horse Lane Baldrine Isle Of Man IM4 6DT 
Permitted,12/01077/B,Alterations and erection of a two storey extension to dwelling,18-Sep-12,Planning Committee,Ballacowle Cottage Agneash Laxey Isle Of Man IM4 7NW 
Permitted,12/01078/B,Creation of a doorway to front elevation,13-Sep-12,Senior Planning Officer - South (SC),Railway Hotel Banks Circus Douglas Isle Of Man IM1 5AB
Permitted,12/01079/B,Erection of a replacement sun room extension and new utility extension,06-Sep-12,Senior Planning Officer - South (SC),Ballalaugh The Lhen Andreas Isle Of Man IM7 3EH 
Permitted,12/01080/B,Alterations and erection of a two storey extension to dwelling,18-Sep-12,Planning Committee,13 Cronk Cardle Corony Ramsey Isle Of Man IM7 1ET
Permitted,12/01081/B,Erection of a replacement dwelling,20-Sep-12,Senior Planning Officer - South (SC),Sarasota Ramsey Road Laxey Isle Of Man IM4 7PR
Permitted,12/01082/B,Demolition of existing and erection of a replacement dwelling,20-Sep-12,Senior Planning Officer - South (SC),Balladoole Cottage Bride Road Ramsey Isle Of Man IM7 4AB
Permitted,12/01083/D,Installation of illuminated and non illuminated signage,07-Sep-12,Senior Planning Officer - South (SC),Boots Opticians 10 Strand Street Douglas Isle Of Man IM1 2EE
Permitted,12/01084/GB,Change of use from offices to pre-school nursery (In association with 12/01085/CON),18-Sep-12,Planning Committee,Manannan House Market Square Castletown Isle Of Man IM9 1RB
Permitted,12/01085/CON,Registered Building Consent for internal alterations and change of use from office to pre-school nursery (RB no 17 in association with 12/01084/CON),28-Sep-12,Head of Development Management,Manannan House Market Square Castletown Isle Of Man IM9 1RB
Permitted,12/01086/D,Installation of a nameplate to premises (In association with 12/01087/CON),21-Sep-12,Head of Development Management,Manannan House Market Square Castletown Isle Of Man IM9 1RB
Permitted,12/01087/CON,Registered Building consent for the installation of a nameplate to premises (In association with 12/01086/D) Registered Building Nos. 17,21-Sep-12,Director Delegation,Manannan House Market Square Castletown Isle Of Man IM9 1RB
Permitted,12/01088/B,Installation of a replacement front door,06-Sep-12,Senior Planning Officer - South (SC),22 Hawarden Avenue Douglas Isle Of Man IM1 4BS
Refused,12/01089/B,"Alterations, erection of extensions and detached garage",07-Sep-12,Senior Planning Officer - South (SC),Thie Corneil Richmond Road Ramsey Isle Of Man IM8 3PA
Permitted,12/01090/B,Erection of a five storey office block with basement parking,01-Oct-12,Senior Planning Officer - South (SC),19- 20 St Georges Street Douglas Isle Of Man
Permitted,12/01091/B,Installation of replacement windows,13-Sep-12,Senior Planning Officer - South (SC),8 Somerset Square Douglas Isle Of Man IM2 5AG
Permitted,12/01092/B,Erection of a replacement agricultural building,10-Sep-12,Senior Planning Officer - South (SC),Ballaneddin Farm Main Road Ballaugh Isle Of Man IM7 5EB
Permitted,12/01093/B,Roofing works to existing storage shed,06-Sep-12,Senior Planning Officer - South (SC),Gob E Volley Depot Main Road Sulby Isle Of Man IM7 2HR
Permitted,12/01094/B,Alterations to existing car port to provide additional living accommodation,13-Sep-12,Senior Planning Officer - North (CB),49 Slieau Curn Park Kirk Michael Isle Of Man IM6 1EL
Permitted,12/01095/B,Alterations and erection of extension to dwelling,10-Sep-12,Head of Development Management,1 Kewaigue Cottages Kewaigue Douglas Isle Of Man IM4 1AF 
Permitted,12/01096/B,Erection of a portal frame building to accommodate an indoor dog training and rehabilitation centre,18-Sep-12,Planning Committee,Ard Jerkyll East Foxdale Road Eairy Isle Of Man IM4 3HL 
Permitted,12/01097/B,Erection of building to accommodate yard office and facilities,10-Sep-12,Head of Development Management,Mount Rule Equestrian Centre Mount Rule Douglas Isle Of Man IM4 4HW 
Permitted,12/01098/B,Alterations and extension to outhouse to create a studio,13-Sep-12,Senior Planning Officer - North (CB),Lyndale Glen Wyllin Kirk Michael Isle Of Man IM6 1AN 
Refused,12/01099/B,Removal of chimney stack,13-Sep-12,Senior Planning Officer - South (SC),7 Mount Pleasant Douglas Isle Of Man IM1 2PU
Permitted,12/01100/B,Erection of a detached dwelling with integral garage,20-Sep-12,Senior Planning Officer - North (CB),4 Perwick Road Port St. Mary Isle Of Man IM9 5QA 
Permitted,12/01101/B,Erection of extension to front elevation,07-Sep-12,Head of Development Management,8 Ellerslie Gardens Castletown Isle Of Man IM9 1LT 
Permitted,12/01102/B, Installation of replacement windows,05-Oct-12,Senior Planning Officer - South (SC),17 Christian Road Douglas Isle Of Man IM1 2QH
Permitted,12/01103/B,Installation of replacement windows to front and rear elevations,05-Oct-12,Senior Planning Officer - South (SC),26 Christian Road Douglas Isle Of Man IM1 2QN 
Permitted,12/01105/B,Erection of a store/tractor shed,08-Oct-12,Senior Planning Officer - North (CB),Coach House Old Castletown Road Crogga Santon Isle Of Man IM4 1EB
Permitted,12/01106/D,Creation of signage to premises,28-Sep-12,Senior Planning Officer - South (SC),Quality Furnishing Fort Street Douglas Isle Of Man IM1 2LJ 
Permitted,12/01107/B,Creation of a raised decking area with fencing to provide an outdoor seating area (Retrospective),15-Oct-12,Senior Planning Officer - South (SC),The Mailbox Capital House Circular Road Douglas Isle Of Man IM1 1AG 
Permitted,12/01108/B,Alterations and erection of extension to dwelling and vehicular access alterations,13-Sep-12,Senior Planning Officer - South (SC),Carla Beck 28 Devonshire Road Douglas Isle Of Man IM2 3RB
Permitted,12/01109/B,Erection of porch to front elevation,28-Sep-12,Senior Planning Officer - South (SC),24 Rheast Mooar Avenue Ramsey Isle Of Man IM8 3LR
Permitted,12/01110/B,Alterations and extensions to dwelling (Amendments to PA 12/00552/B),20-Sep-12,Senior Planning Officer - North (CB),Ballaman Ballnahowe Port Erin Isle Of Man IM9 6JF 
Permitted,12/01111/B,Erection of a detached garage,20-Nov-12,Senior Planning Officer - North (CB),Ballacain Bungalow Mount Rule Douglas Isle Of Man IM4 4HW 
Refused,12/01112/B,Erection of a garage and workshop extension,20-Sep-12,Senior Planning Officer - South (SC),Kione Y Churree Nassau Road Dogmills Ramsey Isle Of Man IM7 4AQ 
Permitted,12/01113/B,"Alterations, erection of extensions, roofing works and installation of dormer windows to dwelling (Amendments to PA 12/00017/B)",13-Sep-12,Senior Planning Officer - North (CB),14 Cronk Drine Union Mills Isle Of Man IM4 4NG
Permitted,12/01114/B,Window alterations to dwelling,14-Sep-12,Senior Planning Officer - North (CB),Majolica Ballagawne Road Colby Isle Of Man IM9 4BB
Permitted,12/01115/B,Erection of extension to replace existing conservatory,14-Sep-12,Senior Planning Officer - South (SC),4 Close Oard Ramsey Isle Of Man IM8 3PY 
Permitted,12/01116/B,Replace existing doorway with a window to rear elevation of dwelling,14-Sep-12,Senior Planning Officer - South (SC),1 Larch Hill Highton Wood Hill Tromode Douglas Isle Of Man IM2 5NQ
Permitted,12/01117/B,Removal of existing front boundary wall to form off street parking in front garden,18-Sep-12,Planning Committee,11 Third Avenue Onchan Isle Of Man IM3 4LZ
Refused,12/01119/C,Change of use to private garden/amenity land,17-Dec-12,Planning Committee,Land To The Rear Of Clybane Rise Douglas Isle Of Man  
Permitted,12/01120/B,Installation of roof lights to dwelling,14-Sep-12,Senior Planning Officer - North (CB),87 Ballabrooie Drive Douglas Isle Of Man IM1 4HH
Permitted,12/01121/B,Alterations and extension to rear of dwelling,14-Sep-12,Senior Planning Officer - North (CB),10 Stanley Road Peel Isle Of Man IM5 1NX
Permitted,12/01122/B,Alterations to existing garage to create a double garage,20-Sep-12,Senior Planning Officer - South (SC),Flat 2  Seafield Ballure Road Ramsey Isle Of Man IM8 1NL
Permitted,12/01123/B,Erection of five dwellings (Amendments to house types approved under PA 10/00544/B),15-Oct-12,Senior Planning Officer - North (CB),"Plots C13,C16,C17,C24 And C 26, Residential Development  Field 311825 And Parts Of Fields 315097, 311826, 311827 & 314444 Between Derby Road / Poortown Road & QE2 High School And East Of Reayrt Ny Keylley Peel Isle Of Man  "
Permitted,12/01124/B,Erection of a building to provide three apartments and associated integral parking,16-Oct-12,Head of Development Management,Site Of Former No 2 Princes Street Douglas Isle Of Man  
Permitted,12/01126/GB,"Installation of replacement windows, doors and thatching to dwelling, rebuild boundary wall and creation of parking bay (partial retrospective) (In association with 12/01127/CON)",12-Nov-12,Head of Development Management,Cranstal Cottage Cranstal Bride Isle Of Man IM7 4BP 
Permitted,12/01127/CON,"Registered Building consent for the installation of replacement windows, doors and thatching to dwelling, rebuild boundary wall and creation of parking bay (partial retrospective) (In association with 12/01126/GB) Registered Building Nos. 3",12-Nov-12,Head of Development Management,Cranstal Cottage Cranstal Bride Isle Of Man IM7 4BP 
Permitted,12/01128/B,"Erection of a sludge import, thickening and storage facility",17-Oct-12,Planning Committee,Meary Veg Sewage Treatment Works Balnahowe Santon Isle Of Man IM4 1HL 
Permitted,12/01129/B,Removal of condition 3 from 09/00428/B regarding the suspension of permitted development rights from the Town and Country Planning (Permitted Development) Order,02-Oct-12,Planning Committee,Aigney Mie Shore Road Bay Ny Carrickey Port St. Mary Isle Of Man IM9 5LZ
Permitted,12/01130/B,Erection of garden shed and greenhouse,27-Sep-12,Senior Planning Officer - North (CB),Aigney Mie Shore Road Bay Ny Carrickey Port St. Mary Isle Of Man IM9 5LZ
Application Withdrawn,12/01131/B,Variation of condition 4 of PA 10/01329/B concerning the demolition of structures prior to the occupation of the replacement dwelling,08-Oct-12,Withdrawn,Close Leece Farm Patrick Road St Johns Isle Of Man IM4 3BR
Permitted,12/01132/B,Installation of replacement windows (Retrospective),20-Sep-12,Senior Planning Officer - South (SC),Flat 2   9 Princes Road Douglas Isle Of Man IM2 4HX
Permitted,12/01133/B,Erection of porch to front elevation,20-Sep-12,Senior Planning Officer - North (CB),10 Close Corneil Port Erin Isle Of Man IM9 6BN
Permitted,12/01134/B,Alterations and extension to dwelling (Amendments to PA 11/00876/B),20-Sep-12,Senior Planning Officer - North (CB),Mountain View 36 Cannan Avenue Kirk Michael Isle Of Man IM6 1HG
Certificate of Lawfulness AGREED,12/01135/LAW,Application for a Certificate of Lawful Use of land for equestrian uses,01-Nov-12,Head of Development Management,Ballawhetstone  Douglas Road Ballabeg Castletown Isle Of Man IM9 4ED
Permitted,12/01136/B,Alterations and replacement entrance conservatory,25-Oct-12,Department Application,Pre-School Assessment Centre  Pulrose Road Douglas Isle Of Man IM2 1AT
Permitted,12/01138/B,Erection of a terrace of three dwellings with parking and new vehicular access onto Ramsey Road,02-Nov-12,Planning Committee,Land Adjacent To Carnaween Battery Road Peel Isle Of Man  
Permitted,12/01139/B,Alterations and extension to dwelling (Amendments to PA 11/01281/B),20-Sep-12,Senior Planning Officer - South (SC),7 Taubman Street Ramsey Isle Of Man IM8 1DH
Permitted,12/01141/B,Demolition of existing rear extension and erection of a replacement extension (Amendments to PA 12/00372/B),20-Sep-12,Senior Planning Officer - South (SC),British Hotel North Quay Douglas Isle Of Man IM1 4LB
Permitted,12/01142/B,Re-instatement of window to side elevation,24-Dec-12,Senior Planning Officer - South (SC),Hairdressers  4 New Road Laxey Isle Of Man IM4 7BE
Permitted,12/01143/B,Extend driveway and widen vehicular access (retrospective),20-Sep-12,Senior Planning Officer - South (SC),38 Port E Chee Avenue Douglas Isle Of Man IM2 5ER
Permitted,12/01144/B,Alterations and extensions to dwelling and alterations to vehicular access,20-Sep-12,Senior Planning Officer - North (CB),The Old Vicarage Kionslieu Hill Foxdale Isle Of Man IM4 3HB
Permitted,12/01145/B,Reduction in height of existing roadside fencing,20-Sep-12,Senior Planning Officer - North (CB),Crogga Mansion House Old Castletown Road Crogga Santon Isle Of Man IM4 1EB
Permitted,12/01146/B,Alterations to existing detached garage,21-Sep-12,Senior Planning Officer - South (SC),Ballagarey Ramsey Road Laxey Isle Of Man IM4 7PT
Permitted,12/01147/B,Erection of a dwelling,23-Oct-12,Senior Planning Officer - South (SC),Land Adjacent To Alberta  Grove Mount Ramsey Isle Of Man  
Permitted,12/01148/B,Installation of a flue,20-Sep-12,Senior Planning Officer - North (CB),17 Wallberry Mews Douglas Isle Of Man IM2 2NE
Permitted,12/01149/D,Erection of signage,28-Sep-12,Senior Planning Officer - South (SC),Building Associated With Wessex Garage Woodbourne Lane Douglas Isle Of Man IM2 3QL
Refused,12/01150/C,Change of use from tourist accommodation to residential accommodation,02-Nov-12,Planning Committee,Waterfall Barn Ballakerkey Farm Shore Road Glen Maye Isle Of Man IM5 3BG 
Permitted,12/01151/B,Installation of a roof lantern,20-Sep-12,Senior Planning Officer - South (SC),5 Thornhill Park Ramsey Isle Of Man IM8 3NA
Permitted,12/01152/B,Demolition of existing garage and erection of an extension to side elevation,20-Sep-12,Senior Planning Officer - North (CB),The Old Post Office  Main Road Colby Isle Of Man IM9 4NS 
Permitted,12/01153/B,Erection of an extension to garage and enlargement of existing balcony,20-Sep-12,Senior Planning Officer - North (CB),20 Lime Street Port St. Mary Isle Of Man IM9 5EF
Application Withdrawn,12/01154/B,Installation of replacement windows to front elevation,24-Oct-12,Withdrawn,Glenwood Glen Road Laxey Isle Of Man IM4 7AH
Permitted,12/01155/B,Erection of a replacement sun room extension and window alterations,20-Sep-12,Senior Planning Officer - South (SC),Ballamoar Farm Doarlish Ard Foxdale Isle Of Man IM4 3BH 
Permitted,12/01156/GB,Installation of telecommunication antennas and equipment ( In association with 12/01157/CON),19-Nov-12,Head of Development Management,The George Hotel The Parade Castletown Isle Of Man IM9 1LG
Permitted,12/01157/CON,Registered Building Consent for installation of telecommunication antennas and equipment (RB no 38 in association with 12/01156/GB),19-Nov-12,Head of Development Management,The George Hotel The Parade Castletown Isle Of Man IM9 1LG
Permitted,12/01158/GB,Installation of four face mounted antennas to existing chimneys (In association with 12/01159/CON),10-Dec-12,Head of Development Management,Nightlife Market Place West Ramsey Isle Of Man IM8 1JU
Permitted,12/01159/CON,Registered Building consent for the installation of four face mounted antennas to existing chimneys and installation of internal wall mounted equipment cabinets (In association with 12/01158/GB) Registered Building Nos. 144,10-Dec-12,Head of Development Management,Nightlife Market Place West Ramsey Isle Of Man IM8 1JU
Refused,12/01160/B,Installation of flood lighting to riding arena,25-Oct-12,Senior Planning Officer - South (SC),Field Number 614732 Baldrine Farm Baldrine Road Baldrine Isle Of Man  
Committee Declined to consider,12/01161/A,Approval in principle for the erection of a detached agricultural dwelling,16-Oct-12,Planning Committee,Ballanybaa Blue Point Road The Lhen Ramsey Isle Of Man IM7 3EQ 
Permitted,12/01162/B,Erection of a single storey extension to replace existing garage,20-Sep-12,Senior Planning Officer - North (CB),The Old Chapel House Strang Hill Strang Douglas Isle Of Man IM4 4NX
Permitted,12/01163/B,Removal of two dormer windows and installation of two roof lights to dwelling,20-Sep-12,Senior Planning Officer - South (SC),8 Albert Street Douglas Isle Of Man IM1 2QA
Permitted,12/01164/B,Erection of kitchen extension and decking to rear elevation,20-Sep-12,Senior Planning Officer - South (SC),2 Mount Bradda Douglas Isle Of Man IM1 4AR
Permitted,12/01165/B,Installation of replacement double doors to front elevation,20-Sep-12,Senior Planning Officer - North (CB),The Anchorage Athol Park Port Erin Isle Of Man IM9 6EX
Permitted,12/01166/B,Erection of an agricultural building,01-Oct-12,Senior Planning Officer - South (SC),Ballaskelly Farm  Mountain Road Onchan Isle Of Man IM4 5BL
