Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,12/00040/B,Installation of replacement windows,01-Mar-12,Senior Planning Officer - South (SC),34 Glenfaba Road Peel Isle Of Man IM5 1BX
Permitted,12/00041/B,Erection of a lean to storage structure in rear garden (Retrospective),02-Mar-12,Senior Planning Officer - South (SC),27 The Crescent Douglas Isle Of Man IM2 5ET
Permitted,12/00042/B,Alterations and erection of an extension to dwelling,01-Mar-12,Senior Planning Officer - North (CB),5 Ballachrink Colby Isle Of Man IM9 4PB
Permitted,12/00044/B,Replacement of existing garage door with a window and erection of a first floor extension,01-Mar-12,Senior Planning Officer - North (CB),26 Ballanoa Meadow Santon Isle Of Man IM4 1HQ 
Permitted,12/00045/B,Erection of a greenhouse and a garden shed,01-Mar-12,Senior Planning Officer - North (CB),Horizon House Glen Road Colby Isle Of Man IM9 4HW
Permitted,12/00046/B,Erection of a replacement garage block with living accommodation,01-Mar-12,Senior Planning Officer - South (SC),Africa House Woodbourne Road Douglas Isle Of Man IM2 3AP
Permitted,12/00047/B,Installation of replacement windows,01-Mar-12,Senior Planning Officer - North (CB),Rusticana Rencell Laxey Isle Of Man IM4 7BN 
Permitted,12/00048/B,Alterations and extension to dwelling,09-Mar-12,Head of Development Management,Kinleys Croft Bernahara Road Andreas Isle Of Man IM7 2EL
Permitted,12/00049/B,Erection of an extension to dwelling,01-Mar-12,Senior Planning Officer - North (CB),8 Westlands Close Ramsey Isle Of Man IM8 3PU
Permitted,12/00050/B,Widen existing field access,01-Mar-12,Senior Planning Officer - South (SC),Field 314751 Peel Road St Johns Isle Of Man  
Permitted,12/00051/B,Alterations and erection of an extension to dwelling,01-Mar-12,Senior Planning Officer - North (CB),20 Ballamillaghyn Estate Mount Rule Douglas Isle Of Man IM4 4HX
Permitted,12/00052/B,Conversion of store building into recreation area/cafe,01-Mar-12,Senior Planning Officer - South (SC),Glenlough Camp Site Ballahutchin Hill Union Mills Isle Of Man IM4 4AT 
Permitted,12/00053/B,Alterations and first floor extension to dwelling,01-Mar-12,Senior Planning Officer - South (SC),101 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2HT 
Permitted,12/00054/B,Replace existing patio doors with windows and doorway,01-Mar-12,Senior Planning Officer - North (CB),1 The Falls Tromode Douglas Isle Of Man IM4 4PZ 
Permitted,12/00055/B,Creation of parking area and vehicular access,01-Mar-12,Senior Planning Officer - South (SC),West Mount Rheast Lane Peel Isle Of Man IM5 1BE
Permitted,12/00056/B,Refurbishment works and erection of an extension to form a detached dwelling,03-Apr-12,Planning Committee,Lea Cottage Barrule Road Foxdale Isle Of Man IM4 3ES
Permitted,12/00057/B,Construction of access track and motor home parking bays in camp field with provision of screening and landscaping,01-Mar-12,Senior Planning Officer - South (SC),Glenlough Camp Site Ballahutchin Hill Union Mills Isle Of Man IM4 4AT 
Permitted,12/00058/B,Alterations to form new access into camp site,01-Mar-12,Senior Planning Officer - South (SC),Glenlough Camp Site Ballahutchin Hill Union Mills Isle Of Man IM4 4AT 
Permitted,12/00059/B,Erection of an extension and installation of a solar panel to dwelling,01-Mar-12,Senior Planning Officer - South (SC),22 Ballasteen Road Andreas Isle Of Man IM7 4HG
Permitted,12/00060/B,Erection of porch extension to rear elevation,07-Mar-12,Senior Planning Officer - North (CB),1 Knocksharry Cottages Ramsey Road Peel Isle Of Man IM5 2AF
Permitted,12/00061/B,Extension to dwelling,12-Mar-12,Senior Planning Officer - North (CB),Mill House Wheel Hill Laxey Isle Of Man IM4 7NL
Permitted,12/00062/B,"Erection of 20 industrial units (including storage and distribution) (amendment to approved PA 04/00024/B) with access, parking and drainage infrastructure",07-Mar-12,Planning Committee,Land Adjacent To New Units Balthane Industrial Estate Balthane Ballasalla Isle Of Man  
